Age,M,F
0-4,74583921,72549814
5-9,68062287,66421724
10-14,62024857,60703252
15-19,55573075,54593507
20-24,48463948,48172470
25-29,41275479,41783954
30-34,34628689,35851001
35-39,29435520,30938936
40-44,24118912,25297741
45-49,20064963,21008860
50-54,16444342,17381628
55-59,13028192,13972169
60-64,9585054,10603539
65-69,6822971,7792421
70-74,4713403,5677280
75-79,2924533,3667653
80-84,1452766,1927570
85-89,566070,807071
90-94,151433,234106
95-99,28647,48095
100+,2350,4665
