Age,M,F
0-4,697011,652022
5-9,657895,616657
10-14,618892,580840
15-19,568365,534133
20-24,511499,484232
25-29,441036,421998
30-34,396751,382114
35-39,365297,352619
40-44,317506,307022
45-49,267044,259353
50-54,218814,216842
55-59,176677,180188
60-64,132662,141186
65-69,91585,101437
70-74,55180,62578
75-79,30015,34959
80-84,13652,16813
85-89,4649,5976
90-94,1140,1544
95-99,140,193
100+,6,11
