Age,M,F
0-4,85258727,82905224
5-9,76287209,74439381
10-14,66966575,65595118
15-19,57520302,56639063
20-24,48854215,48447137
25-29,41375792,41352613
30-34,35107011,35428151
35-39,29191884,29757105
40-44,23611946,24126053
45-49,18877373,19507622
50-54,14720977,15653096
55-59,11544176,12634241
60-64,8690471,9924991
65-69,6207394,7378151
70-74,4061337,5114844
75-79,2310979,3115138
80-84,1028222,1527295
85-89,340033,555588
90-94,70420,127050
95-99,9581,19530
100+,418,978
