Age,M,F
0-4,35305,33098
5-9,34372,32011
10-14,34455,32198
15-19,31567,29106
20-24,28320,26874
25-29,24679,23811
30-34,22804,23301
35-39,21013,21681
40-44,20203,19925
45-49,20903,20413
50-54,19533,18438
55-59,16146,16192
60-64,12753,12439
65-69,9489,9842
70-74,5810,6149
75-79,4149,4808
80-84,2069,2721
85-89,904,1440
90-94,243,447
95-99,44,99
100+,3,11
