Age,M,F
0-4,27656,25996
5-9,27832,26000
10-14,27302,26081
15-19,25216,24029
20-24,24943,23509
25-29,22004,20808
30-34,19089,18593
35-39,15843,16239
40-44,14756,15157
45-49,14964,14984
50-54,15250,14228
55-59,13496,12650
60-64,10068,10722
65-69,7595,8156
70-74,4667,5393
75-79,2097,2905
80-84,1196,1996
85-89,489,1002
90-94,131,322
95-99,19,88
100+,1,11
