Age,M,F
0-4,4203200,3974179
5-9,3946639,3749866
10-14,3254664,3095700
15-19,2753705,2636639
20-24,2996353,2877900
25-29,3384427,3301865
30-34,3196465,3219357
35-39,2567199,2591176
40-44,2164167,2230490
45-49,1890978,2005109
50-54,1661005,1833994
55-59,1562981,1801194
60-64,1145032,1376944
65-69,721614,948418
70-74,330831,479510
75-79,225684,362665
80-84,169797,313167
85-89,52616,110168
90-94,18015,46784
95-99,1899,8828
100+,142,745
