,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/05/2020 23:00,19665,549,651,
1,Zhejiang,China,2/05/2020 23:00,954,0,81,
2,Guangdong,China,2/05/2020 23:00,944,0,49,
3,Henan,China,2/05/2020 23:00,851,2,54,
4,Hunan,China,2/05/2020 23:00,711,0,56,
5,Jiangxi,China,2/05/2020 23:00,600,0,37,
6,Anhui,China,2/05/2020 23:00,591,0,23,
7,Chongqing,China,2/05/2020 23:00,389,2,15,
8,Jiangsu,China,2/05/2020 23:00,373,0,29,
9,Shandong,China,2/05/2020 23:00,343,0,21,
10,Sichuan,China,2/05/2020 23:00,321,1,27,
11,Shanghai,China,2/05/2020 23:00,254,1,25,
12,Beijing,China,2/05/2020 23:00,274,1,31,
13,Fujian,China,2/05/2020 23:00,215,0,11,
14,Heilongjiang,China,2/05/2020 23:00,227,3,8,
15,Shaanxi,China,2/05/2020 23:00,173,0,6,
16,Hebei,China,2/05/2020 23:00,157,1,7,
17,Guangxi,China,2/05/2020 23:00,168,0,14,
18,Yunnan,China,2/05/2020 23:00,128,0,5,
19,Hainan,China,2/05/2020 23:00,100,1,5,
20,Shanxi,China,2/05/2020 23:00,90,0,6,
21,Liaoning,China,2/05/2020 23:00,89,0,4,
22,Tianjin,China,2/05/2020 23:00,69,1,2,
23,Guizhou,China,2/05/2020 23:00,69,1,6,
24,Gansu,China,2/05/2020 23:00,62,0,6,
25,Jilin,China,2/05/2020 23:00,59,0,2,
26,Inner Mongolia,China,2/05/2020 23:00,46,0,4,
27,,Japan,2/06/2020 20:00,25,0,1,
28,Yokohama,Japan,2/06/2020 21:30,20,0,0,
29,Ningxia,China,2/05/2020 23:00,40,0,1,
30,Xinjiang,China,2/05/2020 23:00,36,0,0,
31,,Singapore,2/05/2020 23:00,28,0,1,
32,,Thailand,2/05/2020 23:00,25,0,8,
33,Hong Kong,Hong Kong,2/05/2020 23:00,21,1,0,
34,,S. Korea,2/05/2020 23:00,23,0,1,
35,Qinghai,China,2/05/2020 23:00,18,0,3,
36,,Germany,2/05/2020 23:00,12,0,0,
37,,Malaysia,2/05/2020 23:00,12,0,1,
38,Taiwan,Taiwan,2/05/2020 23:00,11,0,0,
39,Macau,Macao,2/05/2020 23:00,10,0,0,
40,,Vietnam,2/05/2020 23:00,10,0,3,"San Benito, Los Angeles, Orange, Santa Clara"
41,,France,2/05/2020 23:00,6,0,0,
42,California,USA,2/05/2020 23:00,6,0,0,
43,,UAE,2/05/2020 23:00,5,0,0,
44,New South Wales,Australia,2/05/2020 23:00,4,0,3,
45,Victoria,Australia,2/05/2020 23:00,4,0,0,
46,Queensland,Australia,2/05/2020 23:00,4,0,0,
47,Ontario,Canada,2/05/2020 23:00,3,0,0,
48,,India,2/05/2020 23:00,3,0,0,
49,,Philippines,2/05/2020 23:00,3,1,0,
50,,Italy,2/05/2020 23:00,2,0,0,
51,,Russia,2/05/2020 23:00,2,0,0,Chicago
52,,UK,2/05/2020 23:00,2,0,0,
53,Illinois,USA,2/05/2020 23:00,2,0,0,
54,South Australia,Australia,2/05/2020 23:00,2,0,0,
55,British Columbia,Canada,2/05/2020 23:00,2,0,0,
56,,Cambodia,2/05/2020 23:00,1,0,0,
57,,Finland,2/05/2020 23:00,1,0,1,
58,Tibet,China,2/05/2020 23:00,1,0,0,
59,,Nepal,2/05/2020 23:00,1,0,0,
60,,Spain,2/05/2020 23:00,1,0,0,
61,,Sri Lanka,2/05/2020 23:00,1,0,1,Boston
62,,Sweden,2/05/2020 23:00,1,0,0,Seattle
63,Massachusetts,USA,2/05/2020 23:00,1,0,0,Tempe
64,WA,USA,2/05/2020 23:00,1,0,0,
65,Arizona,USA,2/05/2020 23:00,1,0,0,Madison
66,,Belgium,2/05/2020 23:00,1,0,0,
67,WI,USA,2/05/2020 23:00,1,0,0,
