,Country/Region,Confirmed,Deaths,Recovered
0,World,6948810,401047.0,3402549.0
1,USA,1986656,112055.0,746976.0
2,Brazil,659114,35456.0,302084.0
3,Russia,458689,5725.0,221388.0
4,Spain,288390,27135.0,0.0
5,UK,284868,40465.0,0.0
6,India,246622,6946.0,118695.0
7,Italy,234801,33846.0,165078.0
8,Peru,191758,5301.0,82731.0
9,Germany,185696,8769.0,168900.0
10,Iran,169425,8209.0,132038.0
11,Turkey,169218,4669.0,135322.0
12,France,153634,29142.0,70806.0
13,Chile,127745,1541.0,95631.0
14,Mexico,110026,13170.0,78590.0
15,Saudi Arabia,98869,676.0,71791.0
16,Canada,95017,7773.0,53582.0
17,Pakistan,93983,1935.0,32581.0
18,China,83030,4634.0,78329.0
19,Qatar,67195,51.0,42527.0
20,Bangladesh,63026,846.0,13325.0
21,Belgium,59072,9580.0,16190.0
22,Belarus,47751,263.0,23015.0
23,Netherlands,47335,6011.0,0.0
24,South Africa,45973,952.0,24258.0
25,Sweden,43887,4656.0,0.0
26,Ecuador,41575,3534.0,20568.0
27,UAE,38268,275.0,21061.0
28,Colombia,38027,1205.0,14382.0
29,Singapore,37527,25.0,24559.0
30,Portugal,34351,1474.0,20807.0
31,Egypt,32612,1198.0,8538.0
32,Kuwait,31131,254.0,19282.0
33,Switzerland,30956,1921.0,28700.0
34,Indonesia,30514,1801.0,9907.0
35,Ukraine,26514,777.0,11812.0
36,Poland,25986,1153.0,12641.0
37,Ireland,25183,1678.0,22698.0
38,Philippines,21340,994.0,4441.0
39,Argentina,21037,642.0,6180.0
40,Romania,20290,1322.0,14419.0
41,Afghanistan,19551,327.0,1830.0
42,Dominican Republic,19195,536.0,11919.0
43,Israel,17752,295.0,15042.0
44,Japan,17103,914.0,15079.0
45,Austria,16898,672.0,15789.0
46,Oman,16016,72.0,3451.0
47,Panama,15463,370.0,9719.0
48,Bahrain,14383,24.0,9056.0
49,Bolivia,12728,427.0,1739.0
50,Kazakhstan,12511,53.0,7135.0
51,Armenia,12364,190.0,3720.0
52,Nigeria,12233,342.0,3826.0
53,Denmark,11924,587.0,10721.0
54,Serbia,11741,248.0,11056.0
55,S. Korea,11719,273.0,10531.0
56,Iraq,11098,318.0,4904.0
57,Algeria,10050,698.0,6631.0
58,Czechia,9546,327.0,6884.0
59,Moldova,9511,331.0,5450.0
60,Ghana,9462,44.0,3547.0
61,Norway,8531,238.0,8138.0
62,Malaysia,8303,117.0,6635.0
63,Morocco,8151,208.0,7315.0
64,Cameroon,7599,212.0,4587.0
65,Australia,7255,102.0,6690.0
66,Azerbaijan,7239,84.0,4024.0
67,Finland,6964,322.0,5800.0
68,Guatemala,6485,216.0,1053.0
69,Honduras,5971,248.0,677.0
70,Sudan,5865,347.0,1924.0
71,Tajikistan,4453,48.0,2583.0
72,Senegal,4249,47.0,2512.0
73,Djibouti,4169,26.0,1815.0
74,Guinea,4117,23.0,2857.0
75,Uzbekistan,4094,17.0,3268.0
76,Luxembourg,4035,110.0,3888.0
77,Hungary,3990,545.0,2279.0
78,DRC,3878,82.0,537.0
79,Ivory Coast,3557,36.0,1750.0
80,Nepal,3235,13.0,365.0
81,Thailand,3104,58.0,2971.0
82,Gabon,3101,21.0,833.0
83,Haiti,3072,50.0,24.0
84,Greece,2980,180.0,1374.0
85,El Salvador,2934,53.0,1281.0
86,North Macedonia,2915,151.0,1640.0
87,Bulgaria,2668,160.0,1528.0
88,Bosnia and Herzegovina,2606,159.0,1968.0
89,Kenya,2600,83.0,706.0
90,Somalia,2289,82.0,431.0
91,Croatia,2247,104.0,2121.0
92,Cuba,2173,83.0,1855.0
93,Venezuela,2145,20.0,334.0
94,Mayotte,2079,25.0,1523.0
95,Kyrgyzstan,1974,22.0,1360.0
96,Ethiopia,1934,20.0,281.0
97,Estonia,1931,69.0,1675.0
98,Maldives,1901,8.0,763.0
99,Sri Lanka,1814,11.0,891.0
100,Iceland,1806,10.0,1794.0
101,Lithuania,1705,71.0,1321.0
102,CAR,1570,5.0,37.0
103,Slovakia,1528,28.0,1379.0
104,Mali,1523,90.0,845.0
105,New Zealand,1504,22.0,1481.0
106,Slovenia,1484,109.0,1359.0
107,GuineaBissau,1368,12.0,153.0
108,Lebanon,1320,29.0,768.0
109,Equatorial Guinea,1306,12.0,200.0
110,Costa Rica,1263,10.0,701.0
111,Albania,1232,34.0,925.0
112,Nicaragua,1118,46.0,370.0
113,Hong Kong,1106,4.0,1048.0
114,Paraguay,1090,11.0,532.0
115,Zambia,1089,7.0,912.0
116,Tunisia,1087,49.0,977.0
117,Latvia,1086,25.0,781.0
118,Madagascar,1026,8.0,212.0
119,South Sudan,994,10.0,6.0
120,Niger,970,65.0,867.0
121,Cyprus,960,18.0,807.0
122,Mauritania,947,49.0,104.0
123,Sierra Leone,946,48.0,600.0
124,Burkina Faso,888,53.0,765.0
125,Andorra,852,51.0,741.0
126,Uruguay,845,23.0,726.0
