,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,China,1/31/2020 19:00,7153,249.0,169.0
1,Zhejiang,China,1/31/2020 19:00,537,,14.0
2,Guangdong,China,1/31/2020 19:00,436,,10.0
3,Henan,China,1/31/2020 19:00,352,2.0,3.0
4,Hunan,China,1/31/2020 19:00,332,,3.0
5,Jiangxi,China,1/31/2020 19:00,240,,7.0
6,Chongqing,China,1/31/2020 19:00,238,1.0,1.0
7,Anhui,China,1/31/2020 19:00,237,,3.0
8,Shandong,China,1/31/2020 19:00,184,,2.0
9,Sichuan,China,1/31/2020 19:00,177,1.0,1.0
10,Jiangsu,China,1/31/2020 19:00,168,,5.0
11,Shanghai,China,1/31/2020 19:00,153,1.0,9.0
12,Beijing,China,1/31/2020 19:00,139,1.0,5.0
13,Fujian,China,1/31/2020 19:00,120,,
14,Hebei,China,1/31/2020 19:00,96,1.0,
15,Guangxi,China,1/31/2020 19:00,88,,2.0
16,Shaanxi,China,1/31/2020 19:00,87,,
17,Yunnan,China,1/31/2020 19:00,83,,1.0
18,Liaoning,China,1/31/2020 19:00,60,,1.0
19,Heilongjiang,China,1/31/2020 19:00,59,2.0,
20,Hainan,China,1/31/2020 19:00,58,1.0,1.0
21,Shanxi,China,1/31/2020 19:00,47,,1.0
22,Gansu,China,1/31/2020 19:00,35,,
23,Tianjin,China,1/31/2020 19:00,32,,
24,Guizhou,China,1/31/2020 19:00,29,,2.0
25,Ningxia,China,1/31/2020 19:00,21,,1.0
26,Inner Mongolia,China,1/31/2020 19:00,20,,
27,Xinjiang,China,1/31/2020 19:00,17,,
28,Jilin,China,1/31/2020 19:00,14,,1.0
29,Hong Kong,Hong Kong,1/31/2020 19:00,13,,
30,Taiwan,Taiwan,1/31/2020 19:00,10,,
31,Qinghai,China,1/31/2020 19:00,8,,
32,Macau,Macao,1/31/2020 19:00,7,,
33,Tibet,China,1/31/2020 19:00,1,,
34,WA,USA,1/31/2020 19:00,1,,
35,Illinois,USA,1/31/2020 19:00,2,,
36,California,USA,1/31/2020 19:00,3,,
37,Arizona,USA,1/31/2020 19:00,1,,
38,,Japan,1/31/2020 19:00,17,,1.0
39,,Thailand,1/31/2020 19:00,19,,7.0
40,,S. Korea,1/31/2020 19:00,11,,
41,,Singapore,1/31/2020 19:00,16,,
42,,Vietnam,1/31/2020 19:00,2,,
43,,France,1/31/2020 19:00,6,,
44,,Nepal,1/31/2020 19:00,1,,
45,,Malaysia,1/31/2020 19:00,8,,
46,Ontario,Canada,1/31/2020 19:00,2,,
47,British Columbia,Canada,1/31/2020 19:00,1,,
48,,Cambodia,1/31/2020 19:00,1,,
49,,Sri Lanka,1/31/2020 19:00,1,,
50,New South Wales,Australia,1/31/2020 19:00,4,,2.0
51,Victoria,Australia,1/31/2020 19:00,2,,
52,Queensland,Australia,1/31/2020 19:00,2,,
53,Bavaria,Germany,1/31/2020 19:00,7,,
54,,Finland,1/31/2020 19:00,1,,
55,,UAE,1/31/2020 19:00,4,,
56,,Philippines,1/31/2020 19:00,1,,
57,,India,1/31/2020 19:00,1,,
58,,Italy,1/31/2020 19:00,2,,
59,,Sweden,1/31/2020 19:00,1,,
60,,Russia,1/31/2020 19:00,2,,
61,,Spain,1/31/2020 19:00,1,,
62,,UK,1/31/2020 19:00,2,,
