,Country/Region,Confirmed,Deaths,Recovered
173,Belize,18,2.0,0.0
174,New Caledonia,18,0.0,1.0
175,Timor-Leste,18,0.0,1.0
176,Fiji,17,0.0,0.0
177,Malawi,16,2.0,0.0
178,Eswatini,16,1.0,8.0
179,Nepal,16,0.0,2.0
180,Dominica,16,0.0,8.0
181,Namibia,16,0.0,4.0
182,Botswana,15,1.0,0.0
183,Saint Lucia,15,0.0,11.0
184,Sierra Leone,15,0.0,0.0
185,Curaçao,14,1.0,10.0
186,Grenada,14,0.0,0.0
187,Saint Kitts and Nevis,14,0.0,0.0
188,CAR,12,0.0,4.0
189,St. Vincent Grenadines,12,0.0,1.0
190,Turks and Caicos,11,1.0,0.0
191,Falkland Islands,11,0.0,1.0
192,Greenland,11,0.0,11.0
193,Montserrat,11,0.0,1.0
194,Seychelles,11,0.0,0.0
195,Suriname,10,1.0,6.0
196,MS Zaandam,9,2.0,0.0
197,Gambia,9,1.0,2.0
198,Nicaragua,9,1.0,4.0
199,Vatican City,8,0.0,2.0
200,Mauritania,7,1.0,2.0
201,Papua New Guinea,7,0.0,0.0
202,St. Barth,6,0.0,4.0
203,Western Sahara,6,0.0,0.0
204,Burundi,5,1.0,0.0
205,Bhutan,5,0.0,2.0
206,Sao Tome and Principe,4,0.0,0.0
207,South Sudan,4,0.0,0.0
208,Anguilla,3,0.0,1.0
209,British Virgin Islands,3,0.0,2.0
210,Caribbean Netherlands,3,0.0,0.0
211,Saint Pierre Miquelon,1,0.0,0.0
212,Yemen,1,0.0,0.0
