,Country/Region,Confirmed,Deaths,Recovered
0,World,6441282,381859.0,3007581.0
1,USA,1881205,108059.0,645974.0
2,Brazil,556668,31278.0,240627.0
3,Russia,423741,5037.0,186985.0
4,Spain,287012,27127.0,0.0
5,UK,277985,39369.0,0.0
6,Italy,233515,33530.0,160092.0
7,India,207191,5829.0,100285.0
8,Germany,184091,8674.0,166400.0
9,Peru,174884,4767.0,69257.0
10,Turkey,165555,4585.0,129921.0
11,Iran,157562,7942.0,123077.0
12,France,151325,28940.0,68812.0
13,Chile,108686,1188.0,44946.0
14,Mexico,93435,10167.0,67491.0
15,Canada,92410,7395.0,50357.0
16,Saudi Arabia,89011,549.0,65790.0
17,China,83021,4634.0,78315.0
18,Pakistan,76398,1621.0,27110.0
19,Qatar,60259,43.0,36036.0
20,Belgium,58615,9505.0,15934.0
21,Bangladesh,52445,709.0,11120.0
22,Netherlands,46647,5967.0,0.0
23,Belarus,44255,243.0,19195.0
24,Ecuador,40414,3438.0,20019.0
25,Sweden,38589,4468.0,0.0
26,Singapore,35836,24.0,23175.0
27,South Africa,35812,755.0,18313.0
28,UAE,35788,269.0,18726.0
29,Portugal,32895,1436.0,19869.0
30,Colombia,31833,1009.0,11142.0
31,Switzerland,30874,1920.0,28500.0
32,Kuwait,28649,226.0,14281.0
33,Indonesia,27549,1663.0,7935.0
34,Egypt,27536,1052.0,6827.0
35,Ireland,25066,1658.0,22089.0
36,Poland,24395,1092.0,11726.0
37,Ukraine,24340,727.0,10078.0
38,Romania,19517,1288.0,13526.0
39,Philippines,18997,966.0,4063.0
40,Argentina,18319,569.0,5709.0
41,Dominican Republic,17752,515.0,11075.0
42,Israel,17285,290.0,14940.0
43,Japan,16930,894.0,14650.0
44,Austria,16759,669.0,15629.0
45,Afghanistan,16509,270.0,1450.0
46,Panama,14095,352.0,9514.0
47,Oman,12799,59.0,2812.0
48,Bahrain,12311,19.0,7407.0
49,Denmark,11734,580.0,10489.0
50,Kazakhstan,11571,44.0,5941.0
51,S. Korea,11541,272.0,10446.0
52,Serbia,11454,245.0,6766.0
53,Nigeria,10819,314.0,3240.0
54,Bolivia,10531,343.0,1137.0
55,Armenia,10009,158.0,3427.0
56,Algeria,9626,667.0,6067.0
57,Czechia,9364,323.0,6686.0
58,Moldova,8548,307.0,4738.0
59,Norway,8455,237.0,7727.0
60,Ghana,8297,38.0,2986.0
61,Malaysia,7877,115.0,6470.0
62,Morocco,7866,206.0,6410.0
63,Iraq,7387,235.0,3508.0
64,Australia,7221,102.0,6626.0
65,Finland,6887,320.0,5500.0
66,Cameroon,6585,200.0,3676.0
67,Azerbaijan,5935,71.0,3564.0
68,Honduras,5362,217.0,549.0
69,Guatemala,5336,116.0,795.0
70,Sudan,5310,307.0,1625.0
71,Tajikistan,4100,47.0,2217.0
72,Luxembourg,4020,110.0,3848.0
73,Hungary,3921,532.0,2160.0
74,Guinea,3886,23.0,2267.0
75,Senegal,3836,43.0,1954.0
76,Djibouti,3779,25.0,1607.0
77,Uzbekistan,3760,15.0,2908.0
78,DRC,3326,72.0,482.0
79,Thailand,3083,58.0,2966.0
80,Ivory Coast,3024,33.0,1501.0
81,Greece,2937,179.0,1374.0
82,Gabon,2803,20.0,779.0
83,El Salvador,2653,46.0,1116.0
84,Bulgaria,2538,144.0,1123.0
85,Bosnia and Herzegovina,2535,157.0,1910.0
86,North Macedonia,2391,141.0,1595.0
87,Croatia,2246,103.0,2088.0
88,Haiti,2226,45.0,24.0
89,Nepal,2099,8.0,266.0
90,Kenya,2093,71.0,499.0
91,Cuba,2092,83.0,1827.0
92,Somalia,2089,79.0,361.0
93,Mayotte,1986,24.0,1473.0
94,Estonia,1870,68.0,1632.0
95,Kyrgyzstan,1845,17.0,1219.0
96,Maldives,1841,7.0,608.0
97,Venezuela,1819,18.0,334.0
98,Iceland,1806,10.0,1794.0
99,Sri Lanka,1683,11.0,823.0
100,Lithuania,1682,71.0,1249.0
101,Slovakia,1522,28.0,1372.0
102,New Zealand,1504,22.0,1481.0
103,Slovenia,1475,109.0,1358.0
104,Mali,1351,78.0,769.0
105,Ethiopia,1344,14.0,231.0
106,GuineaBissau,1339,8.0,53.0
107,Equatorial Guinea,1306,12.0,200.0
108,Lebanon,1242,27.0,719.0
109,Albania,1164,33.0,891.0
110,Nicaragua,1118,46.0,370.0
111,Costa Rica,1105,10.0,682.0
112,Hong Kong,1094,4.0,1038.0
113,Zambia,1089,7.0,912.0
114,Tunisia,1086,48.0,965.0
115,Latvia,1071,24.0,760.0
116,CAR,1069,4.0,23.0
117,Paraguay,1013,11.0,498.0
118,South Sudan,994,10.0,6.0
119,Niger,960,65.0,848.0
120,Cyprus,952,17.0,790.0
121,Sierra Leone,896,46.0,480.0
122,Burkina Faso,881,53.0,720.0
123,Madagascar,845,6.0,185.0
124,Andorra,844,51.0,733.0
125,Uruguay,826,23.0,691.0
126,Chad,803,66.0,562.0
127,Georgia,796,13.0,634.0
128,Jordan,755,9.0,549.0
129,Diamond Princess,712,13.0,651.0
130,San Marino,672,42.0,384.0
131,Mauritania,668,31.0,55.0
132,Malta,620,9.0,554.0
133,Congo,611,20.0,179.0
134,Jamaica,588,9.0,322.0
135,Channel Islands,560,46.0,528.0
136,French Guiana,517,1.0,207.0
137,Tanzania,509,21.0,183.0
138,Uganda,489,0.0,82.0
139,Sao Tome and Principe,484,12.0,68.0
140,Réunion,477,1.0,411.0
141,Cabo Verde,466,5.0,237.0
142,Palestine,451,3.0,372.0
143,Togo,445,13.0,230.0
144,Taiwan,443,7.0,427.0
145,Yemen,399,87.0,15.0
146,Rwanda,384,2.0,269.0
147,Malawi,358,4.0,42.0
148,Isle of Man,336,24.0,311.0
149,Mauritius,335,10.0,322.0
150,Vietnam,328,0.0,298.0
151,Montenegro,324,9.0,315.0
152,Liberia,311,28.0,167.0
153,Mozambique,307,2.0,98.0
154,Eswatini,294,3.0,198.0
155,Benin,244,3.0,148.0
156,Myanmar,232,6.0,143.0
157,Zimbabwe,206,4.0,29.0
158,Martinique,200,14.0,98.0
159,Faeroe Islands,187,0.0,187.0
160,Mongolia,185,0.0,44.0
161,Libya,182,5.0,52.0
162,Gibraltar,172,0.0,151.0
163,Guadeloupe,162,14.0,138.0
164,Guyana,153,12.0,70.0
165,Cayman Islands,151,1.0,77.0
166,Bermuda,141,9.0,113.0
167,Brunei,141,2.0,138.0
168,Comoros,132,2.0,27.0
169,Cambodia,125,0.0,123.0
170,Syria,123,6.0,50.0
171,Trinidad and Tobago,117,8.0,108.0
172,Bahamas,102,11.0,49.0
173,Aruba,101,3.0,98.0
174,Monaco,99,4.0,90.0
175,Barbados,92,7.0,76.0
176,Angola,86,4.0,18.0
177,Liechtenstein,82,1.0,55.0
178,Sint Maarten,77,15.0,60.0
179,Burundi,63,1.0,33.0
180,French Polynesia,60,0.0,60.0
181,Suriname,54,1.0,9.0
182,Bhutan,47,0.0,9.0
183,Macao,45,0.0,45.0
184,Saint Martin,41,3.0,33.0
185,Botswana,40,1.0,23.0
186,Eritrea,39,0.0,39.0
187,Antigua and Barbuda,26,3.0,19.0
188,St. Vincent Grenadines,26,0.0,15.0
189,Gambia,25,1.0,20.0
190,Namibia,25,0.0,16.0
191,TimorLeste,24,0.0,24.0
192,Grenada,23,0.0,18.0
193,Curaçao,20,1.0,15.0
194,New Caledonia,20,0.0,18.0
195,Laos,19,0.0,16.0
196,Belize,18,2.0,16.0
197,Dominica,18,0.0,16.0
198,Fiji,18,0.0,15.0
199,Saint Lucia,18,0.0,18.0
200,Saint Kitts and Nevis,15,0.0,15.0
201,Falkland Islands,13,0.0,13.0
202,Greenland,13,0.0,11.0
203,Turks and Caicos,12,1.0,11.0
204,Vatican City,12,0.0,2.0
205,Montserrat,11,1.0,10.0
206,Seychelles,11,0.0,11.0
207,MS Zaandam,9,2.0,0.0
208,Western Sahara,9,1.0,6.0
209,British Virgin Islands,8,1.0,7.0
210,Papua New Guinea,8,0.0,8.0
211,Caribbean Netherlands,7,0.0,7.0
212,St. Barth,6,0.0,6.0
213,Anguilla,3,0.0,3.0
214,Lesotho,2,0.0,1.0
