,Country/Region,Confirmed,Deaths,Recovered
0,World,1775210,108544.0,401517.0
1,USA,530384,20513.0,29444.0
2,Spain,163027,16606.0,59109.0
3,Italy,152271,19468.0,32534.0
4,France,129654,13832.0,26391.0
5,Germany,124908,2736.0,57400.0
6,UK,78991,9875.0,344.0
7,Iran,70029,4357.0,41947.0
8,Turkey,52167,1101.0,2965.0
9,Belgium,28018,3346.0,5986.0
10,Switzerland,25107,1036.0,12100.0
11,Netherlands,24413,2643.0,250.0
12,Canada,23318,653.0,6309.0
13,Brazil,20727,1124.0,173.0
14,Portugal,15987,470.0,266.0
15,Austria,13806,337.0,6604.0
16,Russia,13584,106.0,1045.0
17,Israel,10743,101.0,1341.0
18,S. Korea,10480,211.0,7243.0
19,Sweden,10151,887.0,381.0
20,Ireland,8928,320.0,25.0
21,India,8446,288.0,969.0
22,Ecuador,7257,315.0,411.0
23,Chile,6927,73.0,1864.0
24,Peru,6848,181.0,1739.0
25,Norway,6409,119.0,32.0
26,Poland,6356,208.0,375.0
27,Australia,6303,56.0,3265.0
28,Japan,6005,99.0,762.0
29,Denmark,5996,260.0,1955.0
30,Romania,5990,291.0,758.0
31,Czechia,5831,129.0,411.0
32,Pakistan,5011,86.0,762.0
33,Malaysia,4530,73.0,1995.0
34,Philippines,4428,247.0,157.0
35,Saudi Arabia,4033,52.0,720.0
36,Mexico,3844,233.0,633.0
37,Indonesia,3842,327.0,286.0
38,UAE,3736,20.0,588.0
39,Serbia,3380,74.0,118.0
40,Luxembourg,3270,62.0,500.0
41,Panama,2974,74.0,17.0
42,Finland,2905,49.0,300.0
43,Dominican Republic,2759,135.0,108.0
44,Qatar,2728,6.0,247.0
45,Colombia,2709,100.0,214.0
46,Thailand,2518,35.0,1135.0
47,Ukraine,2511,73.0,79.0
48,Singapore,2299,8.0,528.0
49,Belarus,2226,23.0,172.0
50,Greece,2081,93.0,269.0
51,South Africa,2028,25.0,410.0
52,Argentina,1975,83.0,440.0
53,Egypt,1939,146.0,426.0
54,Algeria,1825,275.0,460.0
55,Iceland,1689,8.0,841.0
56,Moldova,1560,30.0,75.0
57,Morocco,1545,111.0,146.0
58,Croatia,1534,21.0,323.0
59,Iraq,1318,72.0,601.0
60,New Zealand,1312,4.0,422.0
61,Hungary,1310,85.0,115.0
62,Estonia,1304,24.0,93.0
63,Slovenia,1188,50.0,148.0
64,Kuwait,1154,1.0,133.0
65,Azerbaijan,1058,11.0,200.0
66,Bahrain,1040,6.0,555.0
67,Lithuania,1026,23.0,54.0
68,Hong Kong,1001,4.0,336.0
69,Armenia,967,13.0,173.0
70,Bosnia and Herzegovina,946,37.0,139.0
71,Kazakhstan,865,10.0,81.0
72,Cameroon,820,12.0,98.0
73,Uzbekistan,767,4.0,42.0
74,North Macedonia,760,34.0,41.0
75,Slovakia,728,2.0,23.0
76,Diamond Princess,712,11.0,619.0
77,Tunisia,685,28.0,43.0
