,Country/Region,Confirmed,Deaths,Recovered
0,World,3390385,239048.0,1077723.0
1,USA,1125080,65529.0,160173.0
2,Spain,242988,24824.0,142450.0
3,Italy,207428,28236.0,78249.0
4,UK,177454,27510.0,0.0
5,France,167346,24594.0,50212.0
6,Germany,163936,6708.0,126900.0
7,Turkey,122392,3258.0,53808.0
8,Russia,114431,1169.0,13220.0
9,Iran,95646,6091.0,76318.0
10,Brazil,91589,6329.0,38039.0
11,Canada,54810,3387.0,22515.0
12,Belgium,49032,7703.0,11892.0
13,Peru,40459,1124.0,11129.0
14,Netherlands,39791,4893.0,0.0
15,India,37257,1223.0,10007.0
16,Switzerland,29705,1754.0,23900.0
17,Ecuador,26336,1063.0,1913.0
18,Portugal,25351,1007.0,1647.0
19,Saudi Arabia,24097,169.0,3555.0
20,Sweden,21520,2653.0,1005.0
21,Ireland,20833,1265.0,13386.0
22,Mexico,19224,1859.0,11423.0
23,Pakistan,18092,417.0,4351.0
24,Singapore,17101,16.0,1268.0
25,Chile,17008,234.0,9018.0
26,Israel,16101,225.0,9156.0
27,Austria,15531,589.0,13110.0
28,Belarus,14917,93.0,2918.0
29,Qatar,14096,12.0,1436.0
30,Japan,14088,430.0,2460.0
31,Poland,13105,651.0,3491.0
32,UAE,13038,111.0,2543.0
33,Romania,12567,744.0,4328.0
34,Ukraine,10861,272.0,1413.0
35,S. Korea,10774,248.0,9072.0
36,Indonesia,10551,800.0,1591.0
37,Denmark,9311,460.0,6729.0
38,Serbia,9205,185.0,1379.0
39,Philippines,8772,579.0,1084.0
40,Bangladesh,8238,170.0,174.0
41,Norway,7770,210.0,32.0
42,Czechia,7726,240.0,3359.0
43,Dominican Republic,7288,313.0,1387.0
44,Australia,6767,93.0,5745.0
45,Panama,6532,188.0,576.0
46,Colombia,6507,293.0,1439.0
47,Malaysia,6071,103.0,4210.0
48,South Africa,5951,116.0,2382.0
49,Egypt,5895,406.0,1460.0
50,Finland,5051,218.0,3000.0
51,Morocco,4569,171.0,1083.0
52,Argentina,4428,220.0,1292.0
53,Kuwait,4377,30.0,1602.0
54,Algeria,4154,453.0,1821.0
55,Moldova,3980,122.0,1272.0
56,Luxembourg,3802,92.0,3213.0
57,Kazakhstan,3597,25.0,922.0
58,Bahrain,3170,8.0,1555.0
59,Thailand,2960,54.0,2719.0
60,Hungary,2863,323.0,609.0
61,Greece,2612,140.0,1374.0
62,Oman,2447,11.0,495.0
63,Afghanistan,2335,68.0,310.0
64,Iraq,2153,94.0,1414.0
65,Armenia,2148,33.0,977.0
66,Croatia,2085,75.0,1421.0
67,Uzbekistan,2075,9.0,1212.0
68,Ghana,2074,17.0,212.0
69,Nigeria,1932,58.0,319.0
70,Azerbaijan,1854,25.0,1365.0
71,Cameroon,1832,61.0,934.0
72,Iceland,1798,10.0,1689.0
73,Bosnia and Herzegovina,1781,70.0,755.0
74,Estonia,1694,52.0,253.0
75,Bulgaria,1555,68.0,276.0
76,Cuba,1537,64.0,714.0
77,Guinea,1537,7.0,342.0
78,North Macedonia,1494,81.0,807.0
79,New Zealand,1479,19.0,1252.0
80,Slovenia,1434,92.0,233.0
81,Slovakia,1403,23.0,558.0
82,Lithuania,1399,45.0,594.0
83,Ivory Coast,1275,14.0,574.0
84,Bolivia,1167,62.0,132.0
85,Djibouti,1097,2.0,672.0
86,Hong Kong,1040,4.0,859.0
87,Senegal,1024,9.0,356.0
88,Tunisia,994,41.0,305.0
89,Latvia,870,16.0,348.0
90,Cyprus,857,15.0,296.0
91,Honduras,804,75.0,112.0
92,Albania,782,31.0,488.0
93,Kyrgyzstan,756,8.0,504.0
94,Andorra,745,43.0,468.0
95,Lebanon,729,24.0,192.0
96,Niger,728,33.0,478.0
97,Costa Rica,725,6.0,355.0
98,Diamond Princess,712,13.0,645.0
99,Sri Lanka,690,7.0,162.0
100,Burkina Faso,649,44.0,517.0
101,Uruguay,643,17.0,417.0
102,Somalia,601,28.0,31.0
103,Guatemala,599,16.0,66.0
104,San Marino,580,41.0,82.0
105,DRC,572,31.0,73.0
106,Georgia,566,7.0,207.0
107,Mayotte,539,4.0,235.0
108,Channel Islands,538,41.0,406.0
109,Mali,508,26.0,196.0
110,Maldives,491,1.0,17.0
111,Tanzania,480,16.0,167.0
112,Malta,467,4.0,383.0
113,Jordan,459,8.0,364.0
114,Sudan,442,31.0,39.0
115,Taiwan,429,6.0,324.0
116,El Salvador,424,10.0,124.0
117,Jamaica,422,8.0,29.0
118,Réunion,420,0.0,300.0
119,Kenya,411,21.0,150.0
120,Palestine,353,2.0,76.0
121,Venezuela,335,10.0,142.0
122,Mauritius,332,10.0,312.0
123,Montenegro,322,7.0,233.0
124,Isle of Man,316,22.0,271.0
125,Equatorial Guinea,315,1.0,9.0
126,Gabon,276,3.0,67.0
127,Vietnam,270,0.0,219.0
128,Paraguay,266,10.0,113.0
129,Guinea-Bissau,257,1.0,19.0
130,Rwanda,243,0.0,104.0
131,Congo,220,9.0,19.0
132,Faeroe Islands,187,0.0,184.0
133,Martinique,179,14.0,83.0
134,Liberia,152,18.0,45.0
135,Guadeloupe,152,12.0,95.0
136,Myanmar,151,6.0,31.0
137,Gibraltar,144,0.0,131.0
138,Brunei,138,1.0,124.0
139,Sierra Leone,136,7.0,21.0
140,Ethiopia,133,3.0,66.0
141,Madagascar,132,0.0,94.0
