,Country/Region,Confirmed,Deaths,Recovered
0,World,2919404,203164.0,836612.0
1,USA,960651,54256.0,118162.0
2,Spain,223759,22902.0,95708.0
3,Italy,195351,26384.0,63120.0
4,France,161488,22614.0,44594.0
5,Germany,156513,5877.0,109800.0
6,UK,148377,20319.0,0.0
7,Turkey,107773,2706.0,25582.0
8,Iran,89328,5650.0,68193.0
9,China,82816,4632.0,77346.0
10,Russia,74588,681.0,6250.0
11,Brazil,59196,4045.0,29160.0
12,Canada,45354,2465.0,16425.0
13,Belgium,45325,6917.0,10417.0
14,Netherlands,37190,4409.0,0.0
15,Switzerland,28894,1599.0,21300.0
16,India,26283,825.0,5939.0
17,Peru,25331,700.0,7797.0
18,Portugal,23392,880.0,1277.0
19,Ecuador,22719,576.0,1366.0
20,Ireland,18561,1063.0,9233.0
21,Sweden,18177,2192.0,1005.0
22,Saudi Arabia,16299,136.0,2215.0
23,Israel,15298,199.0,6435.0
24,Austria,15148,536.0,12103.0
25,Japan,13231,360.0,1656.0
26,Mexico,12872,1221.0,7149.0
27,Chile,12858,181.0,6746.0
28,Pakistan,12723,269.0,2866.0
29,Singapore,12693,12.0,1002.0
30,Poland,11273,524.0,2126.0
31,S. Korea,10718,240.0,8635.0
32,Romania,10635,601.0,2890.0
33,UAE,9813,71.0,1887.0
34,Belarus,9590,67.0,1573.0
35,Qatar,9358,10.0,929.0
36,Indonesia,8607,720.0,1042.0
37,Denmark,8445,418.0,5669.0
38,Ukraine,8125,201.0,782.0
39,Serbia,7779,151.0,1152.0
40,Norway,7493,201.0,32.0
41,Czechia,7352,218.0,2453.0
42,Philippines,7294,494.0,792.0
43,Australia,6695,80.0,5372.0
44,Dominican Republic,5926,273.0,822.0
45,Malaysia,5742,98.0,3762.0
46,Panama,5338,154.0,319.0
47,Colombia,5142,233.0,1067.0
48,Bangladesh,4998,140.0,113.0
49,Finland,4475,186.0,2500.0
50,South Africa,4361,86.0,1473.0
51,Egypt,4319,307.0,1114.0
