,Country/Region,Confirmed,Deaths,Recovered
0,World,6562696,386787.0,3161280.0
1,USA,1901783,109142.0,688670.0
2,Brazil,583980,32547.0,266132.0
3,Russia,432277,5215.0,195957.0
4,Spain,287406,27128.0,0.0
5,UK,279856,39728.0,0.0
6,Italy,233836,33601.0,160938.0
7,India,216824,6088.0,104071.0
8,Germany,184425,8699.0,167300.0
9,Peru,178914,4894.0,72319.0
10,Turkey,166422,4609.0,130852.0
11,Iran,160696,8012.0,125206.0
12,France,151677,29021.0,69455.0
13,Chile,113628,1275.0,86173.0
14,Mexico,97326,10637.0,70308.0
15,Canada,93085,7498.0,51048.0
16,Saudi Arabia,91182,579.0,68159.0
17,China,83021,4634.0,78314.0
18,Pakistan,80463,1688.0,28923.0
19,Qatar,62160,45.0,37542.0
20,Belgium,58685,9522.0,15959.0
21,Bangladesh,55140,746.0,11590.0
22,Netherlands,46733,5977.0,0.0
23,Belarus,45116,248.0,20171.0
24,Ecuador,40966,3486.0,20019.0
25,Sweden,40803,4542.0,0.0
26,South Africa,37525,792.0,19682.0
27,Singapore,36405,24.0,23582.0
28,UAE,36359,270.0,19153.0
29,Colombia,33354,1045.0,12288.0
30,Portugal,33261,1447.0,20079.0
31,Switzerland,30893,1921.0,28600.0
32,Kuwait,29359,230.0,15750.0
33,Egypt,28615,1088.0,7350.0
34,Indonesia,28233,1698.0,8406.0
35,Ireland,25111,1659.0,22698.0
36,Ukraine,24823,735.0,10440.0
37,Poland,24687,1115.0,12014.0
38,Philippines,19748,974.0,4153.0
39,Romania,19669,1296.0,13800.0
40,Argentina,19268,583.0,5896.0
41,Dominican Republic,18040,516.0,11224.0
42,Israel,17377,291.0,14983.0
43,Afghanistan,17267,294.0,1522.0
44,Japan,16986,900.0,14771.0
45,Austria,16771,670.0,15672.0
46,Panama,14609,357.0,9519.0
47,Oman,13538,67.0,2845.0
48,Bahrain,12815,20.0,7410.0
49,Kazakhstan,11796,48.0,6240.0
50,Denmark,11771,580.0,10552.0
51,S. Korea,11590,273.0,10467.0
52,Serbia,11523,245.0,6852.0
53,Nigeria,11166,315.0,3329.0
54,Bolivia,10991,376.0,1298.0
55,Armenia,10524,170.0,3454.0
56,Algeria,9733,673.0,6218.0
57,Czechia,9438,324.0,6749.0
58,Moldova,8795,310.0,4863.0
59,Ghana,8548,38.0,3132.0
60,Norway,8477,237.0,7727.0
61,Iraq,8168,256.0,4095.0
62,Malaysia,7970,115.0,6531.0
63,Morocco,7922,206.0,6866.0
64,Australia,7229,102.0,6640.0
65,Finland,6911,321.0,5500.0
66,Cameroon,6585,200.0,3676.0
67,Azerbaijan,6260,76.0,3665.0
68,Guatemala,5586,123.0,824.0
69,Honduras,5527,225.0,563.0
70,Sudan,5499,314.0,1711.0
71,Tajikistan,4191,48.0,2347.0
72,Luxembourg,4024,110.0,3861.0
73,Djibouti,3935,26.0,1636.0
74,Guinea,3933,23.0,2332.0
75,Senegal,3932,45.0,2063.0
76,Hungary,3931,534.0,2190.0
77,Uzbekistan,3843,16.0,3014.0
78,DRC,3495,75.0,492.0
79,Ivory Coast,3110,35.0,1530.0
80,Thailand,3084,58.0,2968.0
81,Greece,2937,179.0,1374.0
82,Gabon,2902,20.0,801.0
83,El Salvador,2705,49.0,1179.0
84,Bulgaria,2560,146.0,1206.0
85,Bosnia and Herzegovina,2551,157.0,1939.0
86,Haiti,2507,48.0,24.0
87,North Macedonia,2492,145.0,1605.0
88,Nepal,2300,9.0,278.0
89,Croatia,2246,103.0,2095.0
90,Kenya,2216,74.0,553.0
91,Somalia,2146,79.0,406.0
92,Cuba,2107,83.0,1830.0
