,Country/Region,Confirmed,Deaths,Recovered
0,World,7585099,423086.0,3835183.0
1,USA,2089701,116034.0,816086.0
2,Brazil,805649,41058.0,396692.0
3,Russia,502436,6532.0,261150.0
4,India,298283,8501.0,146972.0
5,UK,291409,41279.0,0.0
6,Spain,289787,27136.0,0.0
7,Italy,236142,34167.0,171338.0
8,Peru,214788,6109.0,102429.0
9,Germany,186795,8851.0,171200.0
10,Iran,180156,8584.0,142663.0
11,Turkey,174023,4763.0,147860.0
12,France,155561,29346.0,72149.0
13,Chile,154092,2648.0,126444.0
14,Mexico,129184,15357.0,93930.0
15,Pakistan,119536,2356.0,38391.0
16,Saudi Arabia,116021,857.0,80019.0
17,Canada,97530,7994.0,57658.0
18,China,83057,4634.0,78361.0
19,Bangladesh,78052,1049.0,16747.0
20,Qatar,75071,69.0,51331.0
21,Belgium,59711,9636.0,16453.0
22,South Africa,58568,1284.0,33252.0
23,Belarus,51816,293.0,26643.0
24,Sweden,49479,4814.0,0.0
25,Netherlands,48251,6044.0,0.0
26,Colombia,45212,1488.0,17790.0
27,Ecuador,44440,3720.0,21862.0
28,UAE,40986,286.0,25234.0
29,Egypt,39726,1377.0,10691.0
30,Singapore,39387,25.0,27286.0
31,Portugal,35910,1504.0,22002.0
32,Indonesia,35295,2000.0,12636.0
33,Kuwait,34432,279.0,24137.0
34,Switzerland,31044,1937.0,28800.0
35,Ukraine,29070,854.0,13141.0
36,Poland,28201,1215.0,13696.0
37,Argentina,27373,765.0,8332.0
38,Ireland,25238,1703.0,22698.0
39,Philippines,24175,1036.0,5165.0
40,Afghanistan,22890,426.0,3326.0
41,Dominican Republic,21437,561.0,12541.0
42,Romania,21182,1369.0,15283.0
43,Oman,19954,89.0,6623.0
44,Panama,18586,418.0,10977.0
45,Israel,18569,300.0,15250.0
46,Japan,17292,920.0,15383.0
47,Austria,17034,674.0,15949.0
48,Iraq,16675,457.0,6568.0
49,Bahrain,16667,34.0,11487.0
50,Bolivia,15281,512.0,2261.0
51,Armenia,14669,245.0,5466.0
52,Nigeria,14554,387.0,4494.0
53,Kazakhstan,13558,67.0,8593.0
54,Serbia,12102,252.0,11348.0
55,Denmark,12035,593.0,10955.0
56,S. Korea,11947,276.0,10654.0
57,Moldova,10727,375.0,6072.0
58,Algeria,10589,741.0,7255.0
59,Ghana,10358,48.0,3824.0
60,Czechia,9855,328.0,7166.0
