,Country/Region,Confirmed,Deaths,Recovered
0,China,80703,3098,20272
1,Italy,7375,366,6387
2,S. Korea,7313,50,7133
3,Iran,6566,194,4238
4,France,1126,19,1095
5,Germany,1040,0,1022
6,Diamond Princess,696,7,444
7,Spain,674,17,625
8,USA,531,21,495
9,Japan,502,7,419
10,Switzerland,337,2,332
11,UK,273,3,252
12,Netherlands,265,3,262
13,Sweden,203,0,202
14,Belgium,200,0,199
15,Norway,176,0,175
16,Singapore,150,0,60
17,Hong Kong,115,3,53
18,Austria,104,0,102
19,Malaysia,99,0,75
20,Bahrain,85,0,71
21,Australia,80,3,55
22,Greece,73,0,73
23,Canada,64,0,56
24,Kuwait,64,0,63
25,Iraq,60,6,53
26,Iceland,58,0,57
27,Thailand,50,1,18
28,Egypt,49,1,47
29,Taiwan,45,1,29
30,UAE,45,0,38
31,India,43,0,40
32,Israel,39,0,36
33,San Marino,36,1,35
34,Denmark,35,0,34
35,Czechia,32,0,32
36,Lebanon,32,0,31
37,Portugal,30,0,30
38,Vietnam,30,0,14
39,Brazil,25,0,25
40,Finland,25,0,24
41,Ireland,21,0,21
42,Algeria,20,0,20
43,Palestine,19,0,19
44,Russia,17,0,14
45,Oman,16,0,14
46,Slovenia,16,0,16
47,Qatar,15,0,15
48,Romania,15,0,11
49,Ecuador,14,0,14
50,Georgia,13,0,13
51,Argentina,12,1,11
52,Croatia,12,0,12
53,Saudi Arabia,11,0,10
54,Poland,11,0,11
55,Philippines,10,1,7
56,Macao,10,0,0
57,Estonia,10,0,10
58,Chile,10,0,10
59,Azerbaijan,9,0,9
60,Mexico,7,0,6
61,Pakistan,7,0,6
62,Hungary,7,0,7
63,Belarus,6,0,6
64,Indonesia,6,0,6
65,Peru,6,0,6
66,Dominican Republic,5,0,5
67,Luxembourg,5,0,5
68,New Zealand,5,0,5
69,Costa Rica,5,0,5
70,French Guiana,5,0,5
71,Slovakia,5,0,5
72,Afghanistan,4,0,4
73,Senegal,4,0,3
74,Bulgaria,4,0,4
75,Maldives,4,0,4
76,Latvia,3,0,2
77,North Macedonia,3,0,3
78,Bangladesh,3,0,3
79,Bosnia and Herzegovina,3,0,3
80,Malta,3,0,3
81,South Africa,3,0,3
82,Cambodia,2,0,1
83,Morocco,2,0,2
84,Tunisia,2,0,2
85,Cameroon,2,0,2
86,Faeroe Islands,2,0,2
87,Andorra,1,0,1
88,Armenia,1,0,1
89,Jordan,1,0,1
90,Lithuania,1,0,1
91,Monaco,1,0,1
92,Nepal,1,0,0
93,Nigeria,1,0,1
94,Sri Lanka,1,0,0
95,Ukraine,1,0,1
96,Bhutan,1,0,1
97,Colombia,1,0,1
98,Gibraltar,1,0,0
99,Vatican City,1,0,1
100,Liechtenstein,1,0,1
101,Moldova,1,0,1
102,Paraguay,1,0,1
103,Serbia,1,0,1
104,Togo,1,0,1
