,Country/Region,Confirmed,Deaths,Recovered
0,World,3207166,227368.0,996827.0
1,USA,1056646,61180.0,145320.0
2,Spain,236899,24275.0,132929.0
3,Italy,203591,27682.0,71252.0
4,France,166420,24087.0,48228.0
5,UK,165221,26097.0,0.0
6,Germany,161197,6405.0,120400.0
7,Turkey,117589,3081.0,44022.0
8,Russia,99399,972.0,10286.0
9,Iran,93657,5957.0,73791.0
10,Brazil,78162,5466.0,34132.0
11,Canada,51248,2985.0,20100.0
12,Belgium,47859,7501.0,11283.0
13,Netherlands,38802,4711.0,0.0
14,Peru,33931,943.0,10037.0
15,India,33062,1079.0,8437.0
16,Switzerland,29407,1716.0,22600.0
17,Portugal,24505,973.0,1470.0
18,Ecuador,24258,871.0,1557.0
19,Saudi Arabia,21402,157.0,2953.0
20,Sweden,20302,2462.0,1005.0
21,Ireland,20253,1190.0,13386.0
22,Mexico,16752,1569.0,11423.0
23,Israel,15834,215.0,8233.0
24,Singapore,15641,14.0,1188.0
25,Pakistan,15525,343.0,3425.0
26,Austria,15402,580.0,12779.0
27,Chile,14885,216.0,8057.0
28,Japan,13736,394.0,1899.0
29,Belarus,13181,84.0,2072.0
30,Poland,12640,624.0,3025.0
31,Qatar,12564,10.0,1243.0
32,Romania,11978,688.0,3569.0
33,UAE,11929,98.0,2329.0
34,S. Korea,10761,246.0,8922.0
35,Ukraine,9866,250.0,1103.0
36,Indonesia,9771,784.0,1391.0
37,Denmark,9008,443.0,6366.0
38,Serbia,8724,173.0,1292.0
39,Philippines,8212,558.0,1023.0
40,Norway,7680,207.0,32.0
41,Czechia,7563,227.0,3096.0
42,Bangladesh,7103,163.0,150.0
43,Australia,6746,89.0,5667.0
44,Dominican Republic,6652,293.0,1228.0
45,Panama,6200,176.0,484.0
46,Colombia,5949,269.0,1268.0
47,Malaysia,5945,100.0,4087.0
48,South Africa,5350,103.0,2073.0
49,Egypt,5268,380.0,1335.0
50,Finland,4906,206.0,2800.0
51,Morocco,4321,168.0,928.0
52,Argentina,4127,207.0,1192.0
53,Algeria,3848,444.0,1702.0
54,Moldova,3771,107.0,1114.0
55,Luxembourg,3769,89.0,3134.0
56,Kuwait,3740,24.0,1389.0
57,Kazakhstan,3138,25.0,819.0
58,Thailand,2947,54.0,2665.0
59,Bahrain,2869,8.0,1370.0
60,Hungary,2727,300.0,536.0
61,Greece,2576,139.0,577.0
62,Oman,2274,10.0,364.0
63,Croatia,2062,67.0,1288.0
64,Iraq,2003,92.0,1346.0
65,Uzbekistan,2002,9.0,1096.0
66,Afghanistan,1939,60.0,252.0
67,Armenia,1932,30.0,900.0
68,Cameroon,1806,61.0,934.0
69,Iceland,1797,10.0,1656.0
70,Azerbaijan,1766,23.0,1267.0
71,Bosnia and Herzegovina,1677,65.0,710.0
72,Ghana,1671,16.0,188.0
73,Estonia,1666,50.0,236.0
74,Nigeria,1532,44.0,255.0
75,New Zealand,1474,19.0,1229.0
76,Cuba,1467,58.0,617.0
77,Bulgaria,1447,64.0,243.0
78,North Macedonia,1442,73.0,627.0
79,Slovenia,1418,89.0,230.0
80,Slovakia,1391,22.0,484.0
81,Lithuania,1375,45.0,563.0
82,Guinea,1351,7.0,313.0
83,Ivory Coast,1183,14.0,525.0
84,Djibouti,1077,2.0,599.0
85,Bolivia,1053,55.0,110.0
86,Hong Kong,1038,4.0,830.0
87,Tunisia,980,40.0,294.0
88,Senegal,882,9.0,315.0
89,Latvia,849,15.0,348.0
90,Cyprus,843,15.0,148.0
91,Albania,766,30.0,455.0
92,Andorra,743,42.0,423.0
93,Honduras,738,66.0,73.0
94,Kyrgyzstan,729,8.0,437.0
95,Lebanon,721,24.0,150.0
96,Costa Rica,713,6.0,323.0
97,Diamond Princess,712,13.0,645.0
98,Niger,709,31.0,403.0
99,Sri Lanka,649,7.0,136.0
100,Burkina Faso,638,42.0,476.0
101,Uruguay,625,15.0,394.0
102,Somalia,582,28.0,20.0
103,San Marino,563,41.0,69.0
104,Guatemala,557,16.0,62.0
105,Channel Islands,537,38.0,386.0
106,Georgia,517,6.0,178.0
107,DRC,491,30.0,59.0
108,Mali,482,25.0,129.0
