,Country/Region,Confirmed,Deaths,Recovered
0,World,2723169,190917.0,745413.0
1,USA,886442,50234.0,85922.0
2,Spain,213024,22157.0,89250.0
3,Italy,189973,25549.0,57576.0
4,France,158183,21856.0,42088.0
5,Germany,153129,5575.0,103300.0
6,UK,138078,18738.0,0.0
7,Turkey,101790,2491.0,18491.0
8,Iran,87026,5481.0,64843.0
9,China,82798,4632.0,77207.0
10,Russia,62773,555.0,4891.0
11,Brazil,49492,3313.0,26573.0
12,Belgium,42797,6490.0,9800.0
13,Canada,42110,2147.0,14761.0
14,Netherlands,35729,4177.0,0.0
15,Switzerland,28496,1549.0,20600.0
16,India,23039,721.0,5012.0
17,Portugal,22353,820.0,1201.0
18,Peru,20914,572.0,7422.0
19,Ireland,17607,794.0,9233.0
20,Sweden,16755,2021.0,550.0
21,Austria,15002,522.0,11694.0
22,Israel,14803,192.0,5611.0
23,Saudi Arabia,13930,121.0,1925.0
24,Japan,12368,328.0,1494.0
25,Chile,11812,168.0,5804.0
26,Ecuador,11183,560.0,1328.0
27,Singapore,11178,12.0,924.0
28,Pakistan,11057,235.0,2337.0
29,S. Korea,10702,240.0,8411.0
30,Mexico,10544,970.0,2627.0
31,Poland,10511,454.0,1740.0
32,Romania,10096,545.0,2478.0
33,UAE,8756,56.0,1637.0
34,Denmark,8073,394.0,5384.0
35,Belarus,8022,60.0,938.0
36,Indonesia,7775,647.0,960.0
37,Qatar,7764,10.0,750.0
38,Norway,7401,194.0,32.0
39,Serbia,7276,139.0,1063.0
40,Czechia,7187,210.0,2152.0
41,Ukraine,7170,187.0,504.0
42,Philippines,6981,462.0,722.0
43,Australia,6667,75.0,5045.0
44,Malaysia,5603,95.0,3542.0
45,Dominican Republic,5543,265.0,581.0
46,Panama,4992,144.0,255.0
47,Colombia,4561,215.0,927.0
48,Finland,4284,172.0,2000.0
49,Bangladesh,4186,127.0,108.0
50,South Africa,3953,75.0,1473.0
51,Egypt,3891,287.0,1004.0
52,Luxembourg,3665,83.0,728.0
53,Morocco,3568,155.0,456.0
54,Argentina,3435,165.0,919.0
55,Algeria,3007,407.0,1355.0
56,Moldova,2926,80.0,661.0
57,Thailand,2839,50.0,2430.0
58,Greece,2463,125.0,577.0
59,Kuwait,2399,14.0,498.0
60,Kazakhstan,2289,20.0,560.0
61,Hungary,2284,239.0,390.0
62,Bahrain,2217,8.0,1082.0
63,Croatia,1981,50.0,883.0
64,Iceland,1789,10.0,1509.0
65,Uzbekistan,1758,7.0,561.0
66,Oman,1716,9.0,307.0
67,Iraq,1677,83.0,1171.0
68,Estonia,1592,45.0,192.0
69,Azerbaijan,1548,20.0,948.0
70,Armenia,1523,24.0,659.0
71,New Zealand,1451,16.0,1065.0
72,Bosnia and Herzegovina,1413,54.0,485.0
73,Lithuania,1398,40.0,399.0
74,Slovenia,1366,79.0,211.0
75,Cameroon,1334,43.0,668.0
76,Slovakia,1325,15.0,288.0
77,North Macedonia,1300,56.0,301.0
78,Afghanistan,1279,42.0,179.0
79,Cuba,1235,43.0,365.0
80,Ghana,1154,9.0,99.0
81,Bulgaria,1097,52.0,190.0
82,Hong Kong,1036,4.0,699.0
83,Ivory Coast,1004,14.0,359.0
84,Djibouti,986,2.0,252.0
85,Nigeria,981,31.0,197.0
86,Tunisia,918,38.0,190.0
87,Guinea,862,6.0,170.0
88,Cyprus,795,13.0,98.0
89,Latvia,778,11.0,133.0
90,Andorra,723,37.0,333.0
91,Diamond Princess,712,13.0,645.0
92,Lebanon,688,22.0,140.0
93,Costa Rica,686,6.0,196.0
94,Bolivia,672,40.0,44.0
95,Niger,671,24.0,256.0
96,Albania,663,27.0,385.0
97,Kyrgyzstan,631,8.0,302.0
98,Burkina Faso,616,41.0,410.0
99,Uruguay,549,12.0,337.0
100,Channel Islands,521,29.0,295.0
101,Honduras,519,47.0,31.0
102,San Marino,501,40.0,63.0
103,Palestine,480,4.0,92.0
104,Senegal,479,6.0,257.0
105,Malta,445,3.0,204.0
106,Jordan,437,7.0,318.0
107,Taiwan,427,6.0,253.0
108,Georgia,425,5.0,111.0
109,Réunion,412,0.0,238.0
110,DRC,377,25.0,47.0
111,Sri Lanka,368,7.0,107.0
112,Guatemala,342,10.0,25.0
113,Mauritius,331,9.0,266.0
114,Somalia,328,16.0,8.0
115,Mayotte,326,4.0,125.0
116,Kenya,320,14.0,89.0
117,Montenegro,316,5.0,123.0
118,Mali,309,21.0,77.0
119,Isle of Man,307,16.0,221.0
120,Venezuela,298,10.0,122.0
121,Tanzania,284,10.0,11.0
122,Vietnam,268,0.0,224.0
123,Jamaica,252,6.0,28.0
124,El Salvador,250,8.0,67.0
125,Paraguay,213,9.0,67.0
126,Equatorial Guinea,209,1.0,7.0
127,Faeroe Islands,187,0.0,178.0
128,Congo,186,6.0,16.0
129,Gabon,167,2.0,24.0
130,Martinique,164,14.0,73.0
131,Sudan,162,13.0,14.0
132,Rwanda,154,0.0,87.0
133,Guadeloupe,148,12.0,76.0
134,Brunei,138,1.0,119.0
135,Gibraltar,133,0.0,129.0
136,Myanmar,132,5.0,9.0
137,Cambodia,122,0.0,110.0
138,Madagascar,121,0.0,58.0
139,Ethiopia,116,3.0,21.0
140,Trinidad and Tobago,115,8.0,45.0
141,Maldives,108,0.0,16.0
142,French Guiana,107,1.0,84.0
143,Liberia,101,8.0,20.0
144,Aruba,100,2.0,68.0
145,Bermuda,99,5.0,39.0
146,Monaco,94,4.0,35.0
147,Togo,88,6.0,59.0
148,Cabo Verde,82,1.0,1.0
149,Liechtenstein,81,1.0,55.0
150,Barbados,76,6.0,30.0
151,Zambia,76,3.0,37.0
152,Uganda,74,0.0,46.0
153,Sint Maarten,73,12.0,22.0
154,Bahamas,72,11.0,14.0
155,Haiti,72,5.0,2.0
156,Guyana,70,7.0,9.0
157,Cayman Islands,66,1.0,7.0
158,Sierra Leone,64,1.0,10.0
159,Libya,60,2.0,15.0
160,French Polynesia,57,0.0,36.0
161,Benin,54,1.0,27.0
162,Guinea-Bissau,50,0.0,3.0
163,Nepal,48,0.0,9.0
164,Mozambique,46,0.0,9.0
165,Macao,45,0.0,27.0
166,Syria,42,3.0,6.0
167,Eritrea,39,0.0,6.0
168,Saint Martin,38,2.0,19.0
169,Mongolia,35,0.0,8.0
170,Malawi,33,3.0,3.0
171,Chad,33,0.0,8.0
172,Eswatini,31,1.0,8.0
173,Zimbabwe,28,4.0,2.0
174,Angola,25,2.0,6.0
175,Antigua and Barbuda,24,3.0,10.0
176,Timor-Leste,23,0.0,1.0
177,Botswana,22,1.0,0.0
178,Laos,19,0.0,4.0
179,Belize,18,2.0,5.0
180,Fiji,18,0.0,8.0
181,New Caledonia,18,0.0,17.0
182,CAR,16,0.0,10.0
183,Dominica,16,0.0,9.0
184,Namibia,16,0.0,7.0
185,Grenada,15,0.0,6.0
186,Saint Kitts and Nevis,15,0.0,1.0
187,Saint Lucia,15,0.0,15.0
188,Curaçao,14,1.0,11.0
189,St. Vincent Grenadines,13,0.0,3.0
190,Falkland Islands,12,0.0,11.0
191,Nicaragua,11,3.0,7.0
192,Burundi,11,1.0,4.0
193,Turks and Caicos,11,1.0,4.0
194,Greenland,11,0.0,11.0
195,Montserrat,11,0.0,2.0
196,Seychelles,11,0.0,6.0
197,Gambia,10,1.0,2.0
198,Suriname,10,1.0,6.0
199,MS Zaandam,9,2.0,0.0
200,Vatican City,9,0.0,2.0
201,Papua New Guinea,8,0.0,0.0
202,Mauritania,7,1.0,6.0
203,Bhutan,7,0.0,3.0
204,St. Barth,6,0.0,6.0
205,Western Sahara,6,0.0,5.0
206,British Virgin Islands,5,1.0,3.0
207,Caribbean Netherlands,5,0.0,0.0
208,Sao Tome and Principe,4,0.0,0.0
209,South Sudan,4,0.0,0.0
210,Anguilla,3,0.0,1.0
211,Saint Pierre Miquelon,1,0.0,0.0
212,Yemen,1,0.0,0.0
