,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,China,2/28/2020 23:00,66337,2727,28895
1,Guangdong,China,2/28/2020 23:00,1349,7,972
2,Zhejiang,China,2/28/2020 23:00,1205,1,987
3,Shandong,China,2/28/2020 23:00,756,6,411
4,Henan,China,2/28/2020 23:00,1272,21,1161
5,Anhui,China,2/28/2020 23:00,990,6,842
6,Jiangxi,China,2/28/2020 23:00,935,1,811
7,Hunan,China,2/28/2020 23:00,1018,4,841
8,Heilongjiang,China,2/28/2020 23:00,480,13,295
9,Sichuan,China,2/28/2020 23:00,538,3,350
10,Chongqing,China,2/28/2020 23:00,576,6,422
11,Jiangsu,China,2/28/2020 23:00,631,0,519
12,Beijing,China,2/28/2020 23:00,411,8,271
13,Guangxi,China,2/28/2020 23:00,252,2,172
14,Fujian,China,2/28/2020 23:00,296,1,241
15,Shanghai,China,2/28/2020 23:00,337,3,279
16,Hebei,China,2/28/2020 23:00,318,6,277
17,Shaanxi,China,2/28/2020 23:00,245,1,200
18,Yunnan,China,2/28/2020 23:00,174,2,156
19,Tianjin,China,2/28/2020 23:00,136,3,105
20,Hainan,China,2/28/2020 23:00,168,5,136
21,Guizhou,China,2/28/2020 23:00,146,2,112
22,Liaoning,China,2/28/2020 23:00,121,1,93
23,Shanxi,China,2/28/2020 23:00,133,0,112
24,Inner Mongolia,China,2/28/2020 23:00,75,0,46
25,Xinjiang,China,2/28/2020 23:00,76,3,52
26,Jilin,China,2/28/2020 23:00,93,1,73
27,Ningxia,China,2/28/2020 23:00,73,0,68
28,Gansu,China,2/28/2020 23:00,91,2,82
29,Qinghai,China,2/28/2020 23:00,18,0,18
30,Tibet,China,2/28/2020 23:00,1,0,1
31,,S. Korea,2/28/2020 23:00,2931,17,24
32,,Italy,2/28/2020 23:00,889,21,46
33,Yokohama,Japan,2/28/2020 23:00,705,6,10
34,,Iran,2/28/2020 23:00,388,34,73
35,,Japan,2/28/2020 23:00,234,5,32
36,,Singapore,2/28/2020 23:00,98,0,69
37,Hong Kong,Hong Kong,2/28/2020 23:00,94,2,30
38,,Germany,2/28/2020 23:00,60,0,16
39,,France,2/28/2020 23:00,57,2,11
40,,Kuwait,2/28/2020 23:00,45,0,0
41,,Thailand,2/28/2020 23:00,41,0,28
42,,Bahrain,2/28/2020 23:00,38,0,0
43,Taiwan,Taiwan,2/28/2020 23:00,34,1,9
44,,Spain,2/28/2020 23:00,33,0,2
45,,Malaysia,2/28/2020 23:00,25,0,20
46,,UK,2/28/2020 23:00,20,0,8
47,,UAE,2/28/2020 23:00,19,0,5
48,,Vietnam,2/28/2020 23:00,16,0,16
49,,Switzerland,2/28/2020 23:00,15,0,0
50,,Sweden,2/28/2020 23:00,11,0,0
51,Macau,Macao,2/28/2020 23:00,10,0,8
52,,Iraq,2/28/2020 23:00,8,0,0
53,,Israel,2/28/2020 23:00,7,0,1
54,,Austria,2/28/2020 23:00,6,0,0
55,,Norway,2/28/2020 23:00,6,0,0
56,,Oman,2/28/2020 23:00,6,0,0
57,,Croatia,2/28/2020 23:00,5,0,0
58,,Greece,2/28/2020 23:00,4,0,0
59,,Lebanon,2/28/2020 23:00,4,0,0
60,,Philippines,2/28/2020 23:00,3,1,2
61,,Finland,2/28/2020 23:00,3,0,1
62,,India,2/28/2020 23:00,3,0,3
63,,Romania,2/28/2020 23:00,3,0,1
64,,Denmark,2/28/2020 23:00,2,0,0
65,,Georgia,2/28/2020 23:00,2,0,0
66,,Mexico,2/28/2020 23:00,2,0,0
67,,Netherlands,2/28/2020 23:00,2,0,0
68,,Pakistan,2/28/2020 23:00,2,0,0
69,,Russia,2/28/2020 23:00,2,0,2
70,,Afghanistan,2/28/2020 23:00,1,0,0
71,,Algeria,2/28/2020 23:00,1,0,0
72,,Azerbaijan,2/28/2020 23:00,1,0,0
73,,Belarus,2/28/2020 23:00,1,0,0
74,Brussels,Belgium,2/28/2020 23:00,1,0,1
75,,Brazil,2/28/2020 23:00,1,0,0
76,,Cambodia,2/28/2020 23:00,1,0,1
77,,Egypt,2/28/2020 23:00,1,0,1
78,,Estonia,2/28/2020 23:00,1,0,0
79,,Iceland,2/28/2020 23:00,1,0,0
80,,Lithuania,2/28/2020 23:00,1,0,0
81,,North Macedonia,2/28/2020 23:00,1,0,0
82,,Monaco,2/28/2020 23:00,1,0,0
83,,Nepal,2/28/2020 23:00,1,0,1
84,,New Zealand,2/28/2020 23:00,1,0,0
85,,Nigeria,2/28/2020 23:00,1,0,0
86,,San Marino,2/28/2020 23:00,1,0,0
87,,Sri Lanka,2/28/2020 23:00,1,0,1
88,British Columbia,Canada,2/28/2020 23:00,7,0,3
89,Ontario,Canada,2/28/2020 23:00,7,0,3
90,Quebec,Canada,2/28/2020 23:00,1,0,0
91,Massachusetts,USA,2/28/2020 23:00,1,0,0
92,Illinois,USA,2/28/2020 23:00,2,0,2
93,Wisconsin,USA,2/28/2020 23:00,1,0,0
94,WA,USA,2/28/2020 23:00,1,0,1
95,California,USA,2/28/2020 23:00,12,0,2
96,Arizona,USA,2/28/2020 23:00,1,0,1
97,Texas,USA,2/28/2020 23:00,1,0,0
98,Nebraska,USA,2/28/2020 23:00,44,0,0
99,Oregon,USA,2/28/2020 23:00,1,0,0
100,Queensland,Australia,2/28/2020 23:00,9,0,5
101,New South Wales,Australia,2/28/2020 23:00,4,0,4
102,Victoria,Australia,2/28/2020 23:00,7,0,4
103,South Australia,Australia,2/28/2020 23:00,3,0,2
104,Western Australia,Australia,2/28/2020 23:00,2,0,0
