,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/01/2020 23:00,9074,294,215,
1,Zhejiang,China,2/01/2020 23:00,661,0,23,
2,Guangdong,China,2/01/2020 23:00,604,0,14,
3,Henan,China,2/01/2020 23:00,493,2,4,
4,Hunan,China,2/01/2020 23:00,463,0,8,
5,Anhui,China,2/01/2020 23:00,340,0,5,
6,Jiangxi,China,2/01/2020 23:00,333,0,10,
7,Chongqing,China,2/01/2020 23:00,262,1,3,
8,Jiangsu,China,2/01/2020 23:00,236,0,6,
9,Sichuan,China,2/01/2020 23:00,231,1,3,
10,Shandong,China,2/01/2020 23:00,225,0,5,
11,Beijing,China,2/01/2020 23:00,183,1,9,
12,Shanghai,China,2/01/2020 23:00,177,1,10,
13,Fujian,China,2/01/2020 23:00,159,0,0,
14,Shaanxi,China,2/01/2020 23:00,116,0,0,
15,Guangxi,China,2/01/2020 23:00,111,0,2,
16,Hebei,China,2/01/2020 23:00,104,1,3,
17,Heilongjiang,China,2/01/2020 23:00,95,2,2,
18,Yunnan,China,2/01/2020 23:00,93,0,2,
19,Liaoning,China,2/01/2020 23:00,64,0,1,
20,Hainan,China,2/01/2020 23:00,63,1,1,
21,Shanxi,China,2/01/2020 23:00,56,0,1,
22,Tianjin,China,2/01/2020 23:00,45,0,0,
23,Gansu,China,2/01/2020 23:00,40,0,0,
24,Guizhou,China,2/01/2020 23:00,38,0,2,
25,Ningxia,China,2/01/2020 23:00,28,0,0,
26,Inner Mongolia,China,2/01/2020 23:00,27,0,1,
27,Jilin,China,2/01/2020 23:00,23,0,1,
28,Xinjiang,China,2/01/2020 23:00,21,0,0,
29,,Japan,2/01/2020 23:00,20,0,1,
30,,Thailand,2/01/2020 23:00,19,0,5,
31,,Singapore,2/01/2020 23:00,18,0,0,
32,,S. Korea,2/01/2020 23:00,15,0,0,
33,Hong Kong,Hong Kong,2/01/2020 23:00,14,0,0,
34,Taiwan,Taiwan,2/01/2020 23:00,10,0,0,
35,Qinghai,China,2/01/2020 23:00,9,0,0,
36,,Germany,2/01/2020 23:00,8,0,0,
37,,Malaysia,2/01/2020 23:00,8,0,0,
38,Macau,Macao,2/01/2020 23:00,7,0,0,
39,,France,2/01/2020 23:00,6,0,0,
40,,Vietnam,2/01/2020 23:00,6,0,1,
41,New South Wales,Australia,2/01/2020 23:00,4,0,2,
42,Victoria,Australia,2/01/2020 23:00,4,0,0,
43,,UAE,2/01/2020 23:00,4,0,0,
44,Queensland,Australia,2/01/2020 23:00,2,0,0,
45,Ontario,Canada,2/01/2020 23:00,3,0,0,
46,California,USA,2/01/2020 23:00,3,0,0,"Los Angeles, Orange, Santa Clara"
47,,Italy,2/01/2020 23:00,2,0,0,
48,,Philippines,2/01/2020 23:00,2,1,0,
49,,Russia,2/01/2020 23:00,2,0,0,
50,,UK,2/01/2020 23:00,2,0,0,
51,Illinois,USA,2/01/2020 23:00,2,0,0,Chicago
52,South Australia,Australia,2/01/2020 23:00,2,0,0,
53,,Cambodia,2/01/2020 23:00,1,0,0,
54,British Columbia,Canada,2/01/2020 23:00,1,0,0,
55,,Finland,2/01/2020 23:00,1,0,0,
56,,India,2/01/2020 23:00,1,0,0,
57,Tibet,China,2/01/2020 23:00,1,0,0,
58,,Nepal,2/01/2020 23:00,1,0,0,
59,,Spain,2/01/2020 23:00,1,0,0,
60,,Sri Lanka,2/01/2020 23:00,1,0,0,
61,,Sweden,2/01/2020 23:00,1,0,0,
62,Massachusetts,USA,2/01/2020 23:00,1,0,0,Boston
63,WA,USA,2/01/2020 23:00,1,0,0,Seattle
64,Arizona,USA,2/01/2020 23:00,1,0,0,Tempe
