,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/21/2020 23:00,63454,2250,13557,
1,Guangdong,China,2/21/2020 23:00,1339,5,720,
2,Zhejiang,China,2/21/2020 23:00,1205,1,694,
3,Shandong,China,2/21/2020 23:00,750,4,293,
4,Henan,China,2/21/2020 23:00,1270,19,802,
5,Anhui,China,2/21/2020 23:00,989,6,567,
6,Jiangxi,China,2/21/2020 23:00,934,1,544,
7,Hunan,China,2/21/2020 23:00,1013,4,670,
8,Heilongjiang,China,2/21/2020 23:00,479,12,183,
9,Sichuan,China,2/21/2020 23:00,526,3,242,
10,Chongqing,China,2/21/2020 23:00,572,6,316,
11,Jiangsu,China,2/21/2020 23:00,631,0,387,
12,Beijing,China,2/21/2020 23:00,399,4,178,
13,Guangxi,China,2/21/2020 23:00,249,2,99,
14,Fujian,China,2/21/2020 23:00,293,1,150,
15,Shanghai,China,2/21/2020 23:00,334,2,211,
16,Hebei,China,2/21/2020 23:00,309,6,184,
17,Shaanxi,China,2/21/2020 23:00,245,1,140,
18,Yunnan,China,2/21/2020 23:00,174,2,96,
19,Tianjin,China,2/21/2020 23:00,135,3,62,
20,Hainan,China,2/21/2020 23:00,168,4,96,
21,Hong Kong,Hong Kong,2/21/2020 23:00,68,2,6,
22,Guizhou,China,2/21/2020 23:00,146,2,90,
23,Liaoning,China,2/21/2020 23:00,121,1,66,
24,Shanxi,China,2/21/2020 23:00,132,0,78,
25,Inner Mongolia,China,2/21/2020 23:00,75,0,22,
26,Xinjiang,China,2/21/2020 23:00,76,2,24,
27,Jilin,China,2/21/2020 23:00,91,1,46,
28,Ningxia,China,2/21/2020 23:00,71,0,48,
29,Taiwan,Taiwan,2/21/2020 23:00,26,1,2,
30,Gansu,China,2/21/2020 23:00,91,2,76,
31,Macau,Macao,2/21/2020 23:00,10,0,6,
32,Qinghai,China,2/21/2020 23:00,18,0,18,
33,Tibet,China,2/21/2020 23:00,1,0,1,
34,Yokohama,Japan,2/21/2020 23:00,634,2,3,
35,,S. Korea,2/21/2020 23:00,346,2,17,
36,,Japan,2/21/2020 23:00,110,1,22,
37,,Singapore,2/21/2020 23:00,86,0,47,
38,,Thailand,2/21/2020 23:00,35,0,15,
39,,Italy,2/21/2020 23:00,21,1,1,
40,,Malaysia,2/21/2020 23:00,22,0,17,
41,,Iran,2/21/2020 23:00,18,4,0,
42,,Germany,2/21/2020 23:00,16,0,14,
43,,Vietnam,2/21/2020 23:00,16,0,15,
44,,France,2/21/2020 23:00,12,1,7,
45,,UAE,2/21/2020 23:00,11,0,3,
46,,UK,2/21/2020 23:00,9,0,8,
47,,Philippines,2/21/2020 23:00,3,1,2,
48,,India,2/21/2020 23:00,3,0,3,
49,,Russia,2/21/2020 23:00,2,0,2,
50,,Spain,2/21/2020 23:00,2,0,2,
51,Brussels,Belgium,2/21/2020 23:00,1,0,1,
52,,Cambodia,2/21/2020 23:00,1,0,1,
53,,Egypt,2/21/2020 23:00,1,0,1,
54,,Finland,2/21/2020 23:00,1,0,1,
55,,Israel,2/21/2020 23:00,1,0,0,
56,,Lebanon,2/21/2020 23:00,1,0,0,
57,,Nepal,2/21/2020 23:00,1,0,1,
58,,Sri Lanka,2/21/2020 23:00,1,0,1,
59,,Sweden,2/21/2020 23:00,1,0,0,
60,British Columbia,Canada,2/21/2020 23:00,6,0,0,
61,Ontario,Canada,2/21/2020 23:00,3,0,1,
62,Illinois,USA,2/21/2020 23:00,2,0,2,Chicago
63,Massachusetts,USA,2/21/2020 23:00,1,0,0,Boston
64,WA,USA,2/21/2020 23:00,1,0,1,Seattle
65,Arizona,USA,2/21/2020 23:00,1,0,0,Tempe
66,Wisconsin,USA,2/21/2020 23:00,1,0,0,Madison
67,Texas,USA,2/21/2020 23:00,1,0,0,San Antonio
68,California,USA,2/21/2020 23:00,10,0,2,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt"
69,Nebraska,USA,2/21/2020 23:00,18,0,0,
70,Victoria,Australia,2/21/2020 23:00,6,0,4,
71,New South Wales,Australia,2/21/2020 23:00,4,0,4,
72,Queensland,Australia,2/21/2020 23:00,7,0,0,
73,Western Australia,Australia,2/21/2020 23:00,1,0,0,
74,South Australia,Australia,2/21/2020 23:00,3,0,2,
