,Country/Region,Confirmed,Deaths,Recovered
0,World,7190447,408240.0,3532224.0
1,USA,2026493,113055.0,773480.0
2,Brazil,710887,37312.0,325602.0
3,Russia,476658,5971.0,230688.0
4,Spain,288797,27136.0,0.0
5,UK,287399,40597.0,0.0
6,India,265928,7473.0,129095.0
7,Italy,235278,33964.0,166584.0
8,Peru,199696,5571.0,89556.0
9,Germany,186205,8783.0,169600.0
10,Iran,173832,8351.0,136360.0
11,Turkey,171121,4711.0,141380.0
12,France,154188,29209.0,71062.0
13,Chile,138846,2264.0,95631.0
14,Mexico,117103,13699.0,84419.0
15,Saudi Arabia,105283,746.0,74524.0
16,Pakistan,103671,2067.0,34355.0
17,Canada,96244,7835.0,55000.0
18,China,83040,4634.0,78341.0
19,Qatar,70158,57.0,45935.0
20,Bangladesh,68504,930.0,14560.0
21,Belgium,59348,9606.0,16315.0
22,South Africa,50879,1080.0,26099.0
23,Belarus,49453,276.0,23880.0
24,Netherlands,47739,6016.0,0.0
25,Sweden,45722,4694.0,0.0
26,Ecuador,43378,3642.0,21020.0
27,Colombia,40719,1308.0,16427.0
28,UAE,39376,281.0,22275.0
29,Singapore,38296,25.0,25368.0
30,Egypt,35444,1271.0,9375.0
31,Portugal,34885,1485.0,21156.0
32,Kuwait,32510,269.0,21242.0
33,Indonesia,32033,1883.0,10904.0
34,Switzerland,30972,1923.0,28700.0
35,Ukraine,27462,797.0,12195.0
36,Poland,27160,1166.0,12998.0
37,Ireland,25207,1683.0,22698.0
38,Argentina,23620,693.0,7305.0
39,Philippines,22474,1011.0,4637.0
40,Afghanistan,20917,369.0,2171.0
41,Romania,20604,1339.0,14826.0
42,Dominican Republic,20126,539.0,12158.0
43,Israel,18032,298.0,15102.0
44,Oman,17486,81.0,3793.0
45,Japan,17174,916.0,15148.0
46,Austria,16968,672.0,15839.0
47,Panama,16854,398.0,10401.0
48,Bahrain,15417,27.0,10326.0
49,Bolivia,13643,465.0,2086.0
50,Iraq,13481,370.0,5572.0
