,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/06/2020 21:30,22112,618,817,
1,Guangdong,China,2/06/2020 21:30,1018,1,69,
2,Zhejiang,China,2/06/2020 21:30,1006,0,98,
3,Henan,China,2/06/2020 21:30,914,3,68,
4,Hunan,China,2/06/2020 21:30,772,0,91,
5,Jiangxi,China,2/06/2020 21:30,661,0,45,
6,Anhui,China,2/06/2020 21:30,665,0,34,
7,Chongqing,China,2/06/2020 21:30,411,2,24,
8,Jiangsu,China,2/06/2020 21:30,408,0,38,
9,Shandong,China,2/06/2020 21:30,379,0,31,
10,Sichuan,China,2/06/2020 21:30,344,1,37,
11,Beijing,China,2/06/2020 21:30,274,1,33,
12,Shanghai,China,2/06/2020 21:30,269,1,25,
13,Heilongjiang,China,2/06/2020 21:30,277,3,8,
14,Fujian,China,2/06/2020 21:30,215,0,14,
15,Shaanxi,China,2/06/2020 21:30,184,0,11,
16,Guangxi,China,2/06/2020 21:30,172,0,17,
17,Hebei,China,2/06/2020 21:30,171,1,16,
18,Yunnan,China,2/06/2020 21:30,135,0,7,
19,Hainan,China,2/06/2020 21:30,114,2,8,
20,Shanxi,China,2/06/2020 21:30,96,0,12,
21,Liaoning,China,2/06/2020 21:30,94,0,5,
22,Tianjin,China,2/06/2020 21:30,79,1,2,
23,Guizhou,China,2/06/2020 21:30,77,1,6,
24,Gansu,China,2/06/2020 21:30,67,0,9,
25,Jilin,China,2/06/2020 21:30,65,1,4,
26,Inner Mongolia,China,2/06/2020 21:30,50,0,4,
27,,Japan,2/06/2020 21:30,25,0,1,
28,Yokohama,Japan,2/06/2020 21:30,61,0,0,
29,Ningxia,China,2/06/2020 21:30,43,0,1,
30,Xinjiang,China,2/06/2020 21:30,39,0,0,
31,,Singapore,2/06/2020 21:30,30,0,1,
32,,Thailand,2/06/2020 21:30,25,0,8,
33,Hong Kong,Hong Kong,2/06/2020 21:30,24,1,0,
34,,S. Korea,2/06/2020 21:30,24,0,1,
35,Qinghai,China,2/06/2020 21:30,18,0,3,
36,Taiwan,Taiwan,2/06/2020 21:30,16,0,1,
37,,Malaysia,2/06/2020 21:30,14,0,1,
38,,Germany,2/06/2020 21:30,13,0,0,
39,,Vietnam,2/06/2020 21:30,12,0,3,
40,Macau,Macao,2/06/2020 21:30,10,0,1,
41,,France,2/06/2020 21:30,6,0,0,
42,California,USA,2/06/2020 21:30,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
43,,UAE,2/06/2020 21:30,5,0,0,
44,Queensland,Australia,2/06/2020 21:30,5,0,0,
45,New South Wales,Australia,2/06/2020 21:30,4,0,3,
46,Victoria,Australia,2/06/2020 21:30,4,0,0,
47,Ontario,Canada,2/06/2020 21:30,3,0,0,
48,,India,2/06/2020 21:30,3,0,0,
49,,Philippines,2/06/2020 21:30,3,1,0,
50,,UK,2/06/2020 21:30,3,0,0,
51,,Italy,2/06/2020 21:30,3,0,0,
52,,Russia,2/06/2020 21:30,2,0,0,
53,Illinois,USA,2/06/2020 21:30,2,0,0,Chicago
54,South Australia,Australia,2/06/2020 21:30,2,0,0,
55,British Columbia,Canada,2/06/2020 21:30,4,0,0,
56,,Cambodia,2/06/2020 21:30,1,0,0,
57,,Finland,2/06/2020 21:30,1,0,1,
58,Tibet,China,2/06/2020 21:30,1,0,0,
59,,Nepal,2/06/2020 21:30,1,0,0,
60,,Spain,2/06/2020 21:30,1,0,0,
61,,Sri Lanka,2/06/2020 21:30,1,0,1,
62,,Sweden,2/06/2020 21:30,1,0,0,
63,Massachusetts,USA,2/06/2020 21:30,1,0,0,Boston
64,WA,USA,2/06/2020 21:30,1,0,0,Seattle
65,Arizona,USA,2/06/2020 21:30,1,0,0,Tempe
66,,Belgium,2/06/2020 21:30,1,0,0,
67,WI,USA,2/06/2020 21:30,1,0,0,Madison
