,Country/Region,Confirmed,Deaths,Recovered
0,World,4337437,292451.0,1597865.0
1,China,82919,4633.0,78171.0
2,USA,1408636,83425.0,296746.0
3,Spain,269520,26920.0,180470.0
4,Russia,232243,2116.0,43512.0
5,UK,226463,32692.0,0.0
6,Italy,221216,30911.0,109039.0
7,France,178060,26991.0,57785.0
8,Brazil,177602,12404.0,72597.0
9,Germany,173171,7738.0,147200.0
10,Turkey,141475,3894.0,98889.0
11,Iran,110767,6733.0,88357.0
12,India,74292,2415.0,24420.0
13,Peru,72059,2057.0,23324.0
14,Canada,71157,5169.0,34042.0
15,Belgium,53779,8761.0,13732.0
16,Netherlands,42984,5510.0,0.0
17,Saudi Arabia,42925,264.0,15257.0
18,Mexico,36327,3573.0,23100.0
19,Pakistan,32674,724.0,8555.0
20,Chile,31721,335.0,14125.0
21,Ecuador,30419,2327.0,3433.0
22,Switzerland,30380,1867.0,26800.0
23,Portugal,27913,1163.0,3013.0
24,Sweden,27272,3313.0,4971.0
25,Qatar,25149,14.0,3019.0
26,Belarus,24873,142.0,6974.0
27,Singapore,24671,21.0,3851.0
28,Ireland,23242,1488.0,17110.0
29,UAE,19661,203.0,6012.0
30,Poland,16921,839.0,6131.0
31,Bangladesh,16660,250.0,3147.0
32,Israel,16529,260.0,12083.0
33,Ukraine,16023,425.0,3373.0
34,Japan,15968,657.0,8531.0
35,Austria,15961,623.0,14148.0
36,Romania,15778,1002.0,7685.0
37,Indonesia,14749,1007.0,3063.0
38,Colombia,12272,493.0,2971.0
39,Philippines,11350,751.0,2106.0
40,South Africa,11350,206.0,4357.0
41,S. Korea,10936,258.0,9670.0
42,Dominican Republic,10900,402.0,3221.0
43,Denmark,10591,527.0,8580.0
44,Kuwait,10277,75.0,3101.0
45,Serbia,10243,220.0,3600.0
46,Egypt,10093,544.0,2326.0
47,Panama,8616,249.0,4687.0
48,Czechia,8198,283.0,4865.0
49,Norway,8157,228.0,32.0
50,Australia,6964,97.0,6229.0
51,Malaysia,6742,109.0,5223.0
52,Argentina,6563,319.0,1862.0
53,Morocco,6418,188.0,2991.0
54,Algeria,6067,515.0,2998.0
55,Finland,6003,275.0,4300.0
56,Bahrain,5531,9.0,2192.0
57,Kazakhstan,5279,32.0,2223.0
58,Moldova,5154,182.0,2069.0
59,Ghana,5127,22.0,494.0
60,Afghanistan,4963,127.0,610.0
61,Nigeria,4787,158.0,959.0
62,Luxembourg,3894,102.0,3610.0
63,Oman,3721,17.0,1250.0
64,Armenia,3538,47.0,1430.0
65,Hungary,3313,425.0,1007.0
66,Thailand,3017,56.0,2798.0
67,Iraq,2913,112.0,1903.0
68,Bolivia,2831,122.0,299.0
69,Greece,2744,152.0,1374.0
70,Azerbaijan,2693,33.0,1680.0
71,Cameroon,2689,125.0,1524.0
72,Uzbekistan,2519,10.0,2010.0
73,Guinea,2298,11.0,816.0
74,Croatia,2207,91.0,1808.0
75,Bosnia and Herzegovina,2158,117.0,1168.0
76,Honduras,2080,116.0,206.0
77,Bulgaria,2023,95.0,476.0
78,Senegal,1995,19.0,742.0
79,Ivory Coast,1857,21.0,820.0
80,Cuba,1804,78.0,1277.0
81,Iceland,1801,10.0,1776.0
82,Estonia,1746,61.0,777.0
83,North Macedonia,1674,92.0,1205.0
84,Sudan,1661,80.0,173.0
85,New Zealand,1497,21.0,1398.0
86,Lithuania,1491,50.0,850.0
87,Slovakia,1465,27.0,983.0
88,Slovenia,1461,102.0,259.0
89,Djibouti,1256,3.0,886.0
90,Somalia,1170,52.0,126.0
91,Guatemala,1114,26.0,111.0
