,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/04/2020 20:00,16678,479,522,
1,Zhejiang,China,2/04/2020 20:00,829,0,62,
2,Guangdong,China,2/04/2020 20:00,813,0,30,
3,Henan,China,2/04/2020 20:00,764,2,41,
4,Hunan,China,2/04/2020 20:00,593,0,33,
5,Anhui,China,2/04/2020 20:00,480,0,20,
6,Jiangxi,China,2/04/2020 20:00,476,0,20,
7,Chongqing,China,2/04/2020 20:00,366,2,14,
8,Jiangsu,China,2/04/2020 20:00,308,0,12,
9,Sichuan,China,2/04/2020 20:00,301,1,23,
10,Shandong,China,2/04/2020 20:00,298,0,13,
11,Beijing,China,2/04/2020 20:00,228,1,23,
12,Shanghai,China,2/04/2020 20:00,233,1,12,
13,Fujian,China,2/04/2020 20:00,194,0,7,
14,Heilongjiang,China,2/04/2020 20:00,155,2,4,
15,Shaanxi,China,2/04/2020 20:00,142,0,2,
16,Guangxi,China,2/04/2020 20:00,150,0,10,
17,Hebei,China,2/04/2020 20:00,136,1,5,
18,Yunnan,China,2/04/2020 20:00,122,0,5,
19,Liaoning,China,2/04/2020 20:00,81,0,2,
20,Shanxi,China,2/04/2020 20:00,81,0,6,
21,Hainan,China,2/04/2020 20:00,80,1,5,
22,Tianjin,China,2/04/2020 20:00,67,0,2,
23,Guizhou,China,2/04/2020 20:00,58,0,2,
24,Gansu,China,2/04/2020 20:00,57,0,4,
25,Jilin,China,2/04/2020 20:00,54,0,1,
26,Inner Mongolia,China,2/04/2020 20:00,35,0,1,
27,Ningxia,China,2/04/2020 20:00,34,0,1,
28,Xinjiang,China,2/04/2020 20:00,29,0,0,
29,,Thailand,2/04/2020 20:00,25,0,8,
30,,Singapore,2/04/2020 20:00,24,0,1,
31,,Japan,2/04/2020 20:00,22,0,1,
32,Hong Kong,Hong Kong,2/04/2020 20:00,17,1,0,
33,,S. Korea,2/04/2020 20:00,16,0,0,
34,Qinghai,China,2/04/2020 20:00,15,0,0,
35,,Germany,2/04/2020 20:00,12,0,0,
36,Taiwan,Taiwan,2/04/2020 20:00,11,0,0,
37,Macau,Macao,2/04/2020 20:00,10,0,0,
38,,Malaysia,2/04/2020 20:00,10,0,0,
39,,Vietnam,2/04/2020 20:00,10,0,3,
40,,France,2/04/2020 20:00,6,0,0,
41,California,USA,2/04/2020 20:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
42,,UAE,2/04/2020 20:00,5,0,0,
43,New South Wales,Australia,2/04/2020 20:00,4,0,3,
44,Victoria,Australia,2/04/2020 20:00,4,0,0,
45,Ontario,Canada,2/04/2020 20:00,3,0,0,
46,,India,2/04/2020 20:00,3,0,0,
47,Queensland,Australia,2/04/2020 20:00,3,0,0,
48,,Italy,2/04/2020 20:00,2,0,0,
49,,Philippines,2/04/2020 20:00,2,1,0,
50,,Russia,2/04/2020 20:00,2,0,0,
51,,UK,2/04/2020 20:00,2,0,0,
52,Illinois,USA,2/04/2020 20:00,2,0,0,Chicago
53,South Australia,Australia,2/04/2020 20:00,2,0,0,
54,,Cambodia,2/04/2020 20:00,1,0,0,
55,British Columbia,Canada,2/04/2020 20:00,1,0,0,
56,,Finland,2/04/2020 20:00,1,0,0,
57,Tibet,China,2/04/2020 20:00,1,0,0,
58,,Nepal,2/04/2020 20:00,1,0,0,
59,,Spain,2/04/2020 20:00,1,0,0,
60,,Sri Lanka,2/04/2020 20:00,1,0,1,
61,,Sweden,2/04/2020 20:00,1,0,0,
62,Massachusetts,USA,2/04/2020 20:00,1,0,0,Boston
63,WA,USA,2/04/2020 20:00,1,0,0,Seattle
64,Arizona,USA,2/04/2020 20:00,1,0,0,Tempe
65,,Belgium,2/04/2020 20:00,1,0,0,
