,Country/Region,Confirmed,Deaths,Recovered
0,World,3643271,252240,1240705.0
1,China,82880,4633,77853.0
2,USA,1212835,69921,200626.0
3,Spain,248301,25428,154718.0
4,Italy,211938,29079,85231.0
5,UK,190584,28734,0.0
6,France,169462,25201,52736.0
7,Germany,166152,6993,135100.0
8,Russia,145268,1356,19865.0
9,Turkey,127659,3461,73285.0
10,Brazil,108266,7343,48221.0
11,Iran,98647,6277,80475.0
12,Canada,60772,3854,26993.0
13,Peru,47372,1344,15413.0
14,Belgium,50267,7924,12441.0
15,India,46437,1566,14142.0
16,Netherlands,40770,5082,0.0
17,Ecuador,31881,1569,3433.0
18,Saudi Arabia,28656,191,5431.0
19,Switzerland,29981,1784,25400.0
20,Portugal,25524,1063,1743.0
21,Mexico,23471,2154,15938.0
22,Sweden,22721,2769,4074.0
23,Pakistan,20941,476,5801.0
24,Chile,20643,270,10710.0
25,Ireland,21772,1319,13386.0
26,Singapore,18778,18,1519.0
27,Belarus,17489,103,3771.0
28,Qatar,16191,12,1924.0
29,Israel,16246,235,10465.0
30,Austria,15621,600,13462.0
31,Japan,15078,536,4496.0
32,UAE,14730,137,3153.0
33,Poland,14006,698,4280.0
34,Romania,13512,818,5454.0
35,Ukraine,12331,303,1875.0
36,Indonesia,11587,864,2197.0
37,Bangladesh,10143,182,1403.0
38,S. Korea,10801,252,9283.0
39,Denmark,9670,493,7296.0
40,Philippines,9485,623,1408.0
41,Serbia,9557,197,1723.0
42,Colombia,7973,358,2013.0
43,Dominican Republic,8235,346,1905.0
44,Norway,7904,214,32.0
45,Czechia,7819,252,4006.0
46,South Africa,7220,138,2746.0
47,Panama,7197,200,726.0
48,Egypt,6813,436,1730.0
49,Australia,6825,95,5889.0
50,Malaysia,6353,105,4567.0
51,Kuwait,5278,40,2032.0
52,Finland,5327,240,3500.0
53,Morocco,5053,179,1838.0
54,Argentina,4887,260,1472.0
55,Algeria,4648,465,2067.0
56,Moldova,4248,132,1544.0
57,Kazakhstan,4049,29,1279.0
58,Luxembourg,3828,96,3412.0
59,Bahrain,3533,8,1762.0
60,Afghanistan,2894,90,421.0
61,Hungary,3035,351,709.0
62,Thailand,2987,54,2747.0
63,Nigeria,2802,93,481.0
64,Oman,2637,12,858.0
65,Ghana,2719,18,294.0
66,Greece,2632,146,1374.0
67,Armenia,2507,39,1111.0
