,Country/Region,Confirmed,Deaths,Recovered
0,China,80739,3120,18877
1,S. Korea,7478,53,7259
2,Italy,7375,366,6387
3,Iran,7161,237,4530
4,France,1209,21,1176
5,Germany,1164,0,1146
6,Spain,1050,26,992
7,Diamond Princess,696,7,444
8,USA,566,22,529
9,Japan,530,9,420
10,Switzerland,374,2,369
11,Netherlands,321,3,318
12,UK,321,3,300
13,Sweden,248,0,247
14,Belgium,239,0,238
15,Norway,183,0,182
16,Singapore,160,0,67
17,Malaysia,117,0,93
18,Hong Kong,115,3,53
19,Austria,112,0,110
20,Bahrain,109,0,95
21,Australia,93,3,68
22,Greece,74,0,74
23,Canada,67,0,59
24,Iraq,65,6,58
25,Kuwait,65,0,64
26,Iceland,60,0,59
27,Denmark,59,0,58
28,UAE,59,0,47
29,Egypt,55,1,53
30,San Marino,51,2,49
31,Thailand,50,1,16
32,Taiwan,45,1,29
33,India,43,0,39
34,Israel,39,0,35
35,Czechia,35,0,35
36,Lebanon,32,0,31
37,Portugal,31,0,31
38,Vietnam,31,0,15
39,Finland,30,0,29
40,Brazil,25,0,25
41,Palestine,25,0,25
42,Philippines,24,1,21
43,Slovenia,23,0,23
44,Ireland,21,0,21
45,Algeria,20,0,20
46,Indonesia,19,0,19
47,Oman,18,0,9
48,Qatar,18,0,18
49,Russia,17,0,14
50,Poland,16,0,16
51,Ecuador,15,0,15
52,Georgia,15,0,15
53,Romania,15,0,10
54,Saudi Arabia,15,0,14
55,Argentina,12,1,11
56,Croatia,12,0,12
57,Macao,10,0,0
58,Estonia,10,0,10
59,Chile,10,0,10
60,Azerbaijan,9,0,9
61,Costa Rica,9,0,9
62,Hungary,9,0,9
63,Mexico,7,0,6
64,Pakistan,7,0,6
65,Peru,7,0,7
66,South Africa,7,0,7
67,Belarus,6,0,6
68,Latvia,6,0,5
69,Slovakia,6,0,6
70,Dominican Republic,5,0,5
71,Luxembourg,5,0,5
72,New Zealand,5,0,5
73,French Guiana,5,0,5
74,Afghanistan,4,0,4
75,North Macedonia,4,0,4
76,Senegal,4,0,3
77,Bulgaria,4,0,4
78,Maldives,4,0,4
79,Bangladesh,3,0,3
80,Bosnia and Herzegovina,3,0,3
81,Colombia,3,0,3
82,Malta,3,0,3
83,Cambodia,2,0,1
84,Morocco,2,0,2
85,Nigeria,2,0,2
86,Tunisia,2,0,2
87,Albania,2,0,2
88,Cameroon,2,0,2
89,Faeroe Islands,2,0,2
90,Martinique,2,0,2
91,Saint Martin,2,0,2
92,Andorra,1,0,1
93,Armenia,1,0,1
94,Jordan,1,0,1
95,Lithuania,1,0,1
96,Monaco,1,0,1
97,Nepal,1,0,0
98,Sri Lanka,1,0,0
99,Ukraine,1,0,1
100,Bhutan,1,0,1
101,Brunei,1,0,1
102,Channel Islands,1,0,1
103,Gibraltar,1,0,0
104,Vatican City,1,0,1
105,Liechtenstein,1,0,1
106,Moldova,1,0,1
107,Paraguay,1,0,1
108,St. Barth,1,0,1
109,Serbia,1,0,1
110,Togo,1,0,1
