,Country/Region,Confirmed,Deaths,Recovered
0,World,1603652,95692,369116.0
1,USA,468566,16691,26106.0
2,Spain,153222,15447,55668.0
3,Italy,143626,18279,30455.0
4,Germany,118235,2607,52407.0
5,France,117749,12210,23206.0
6,UK,65077,7978,135.0
7,Iran,66220,4110,35465.0
8,Turkey,42282,908,2142.0
9,Belgium,24983,2523,5568.0
10,Switzerland,24051,948,10600.0
11,Netherlands,21762,2396,250.0
12,Canada,20765,509,5580.0
13,Brazil,18145,954,173.0
14,Portugal,13956,409,233.0
15,Austria,13244,295,6064.0
16,Russia,10131,76,795.0
17,S. Korea,10423,204,7117.0
18,Israel,9968,86,1061.0
19,Sweden,9141,793,205.0
20,India,6725,227,641.0
21,Ecuador,4965,272,368.0
22,Ireland,6574,263,25.0
23,Chile,5972,57,1274.0
24,Norway,6219,108,32.0
25,Australia,6152,51,3141.0
26,Poland,5575,174,318.0
27,Denmark,5635,237,1773.0
28,Czechia,5569,112,346.0
29,Japan,5347,99,685.0
30,Romania,5202,248,729.0
31,Peru,5256,138,1438.0
32,Pakistan,4489,65,727.0
33,Malaysia,4228,67,1830.0
34,Philippines,4076,203,140.0
35,Saudi Arabia,3287,44,685.0
36,Indonesia,3293,280,282.0
37,Mexico,3181,174,633.0
38,Luxembourg,3115,52,500.0
39,Serbia,2867,66,118.0
40,UAE,2990,14,268.0
41,Finland,2605,42,300.0
42,Panama,2752,66,16.0
43,Qatar,2376,6,227.0
44,Thailand,2423,32,1013.0
45,Dominican Republic,2349,118,80.0
46,Colombia,2223,69,174.0
47,Ukraine,1892,57,61.0
48,Singapore,1910,6,492.0
49,Greece,1955,87,269.0
50,South Africa,1934,18,410.0
51,Belarus,1486,16,169.0
52,Argentina,1894,79,365.0
53,Algeria,1666,235,405.0
54,Egypt,1699,118,348.0
55,Iceland,1648,6,751.0
56,Croatia,1407,20,231.0
57,Moldova,1289,29,56.0
58,Morocco,1374,97,114.0
59,New Zealand,1239,1,373.0
60,Iraq,1232,69,550.0
61,Estonia,1207,24,93.0
62,Hungary,980,66,112.0
63,Slovenia,1124,43,137.0
64,Lithuania,955,16,54.0
65,Kuwait,910,1,123.0
66,Azerbaijan,926,9,159.0
67,Hong Kong,974,4,309.0
68,Armenia,921,10,149.0
69,Bahrain,887,5,530.0
70,Bosnia and Herzegovina,858,35,129.0
71,Kazakhstan,781,8,64.0
72,Cameroon,803,12,61.0
73,Slovakia,701,2,23.0
74,Diamond Princess,712,11,619.0
75,North Macedonia,663,30,41.0
76,Tunisia,643,25,25.0
77,Bulgaria,618,24,54.0
78,Uzbekistan,582,3,42.0
79,Latvia,589,3,16.0
80,Lebanon,582,19,76.0
81,Andorra,583,25,71.0
82,Cyprus,564,10,53.0
83,Cuba,515,15,51.0
84,Costa Rica,539,3,30.0
85,Afghanistan,484,15,32.0
86,Oman,457,3,109.0
87,Uruguay,456,7,206.0
88,Ivory Coast,444,3,52.0
89,Burkina Faso,443,24,146.0
90,Bangladesh,330,21,33.0
91,Albania,409,23,182.0
92,Niger,410,11,40.0
93,Honduras,343,23,7.0
94,Taiwan,380,5,91.0
95,Ghana,378,6,4.0
96,Jordan,372,7,170.0
97,Réunion,362,0,40.0
98,Channel Islands,361,8,40.0
99,Malta,337,2,16.0
100,San Marino,333,34,50.0
101,Mauritius,314,7,23.0
102,Kyrgyzstan,280,4,35.0
103,Nigeria,288,7,51.0
104,Bolivia,264,18,2.0
105,Palestine,263,1,45.0
106,Senegal,250,2,137.0
107,Vietnam,255,0,144.0
108,Montenegro,252,2,4.0
109,Georgia,218,3,54.0
110,DRC,180,18,13.0
111,Isle of Man,190,1,103.0
112,Guinea,194,0,11.0
113,Mayotte,184,2,50.0
114,Sri Lanka,190,7,54.0
115,Kenya,184,7,22.0
116,Faeroe Islands,184,0,145.0
117,Venezuela,171,9,84.0
118,Martinique,154,6,50.0
119,Djibouti,140,1,36.0
120,Guadeloupe,143,8,67.0
121,Brunei,135,1,99.0
122,Paraguay,124,5,18.0
123,Guatemala,95,3,17.0
124,Gibraltar,123,0,60.0
125,Cambodia,119,0,72.0
126,El Salvador,103,6,15.0
127,Rwanda,113,0,7.0
128,Trinidad and Tobago,109,8,1.0
129,Madagascar,93,0,11.0
130,Mali,74,7,22.0
131,Monaco,84,1,5.0
132,French Guiana,83,0,43.0
133,Aruba,82,0,20.0
134,Liechtenstein,78,1,55.0
135,Togo,73,3,25.0
136,Barbados,66,3,11.0
137,Ethiopia,56,2,4.0
138,Jamaica,63,4,13.0
139,Congo,60,5,5.0
140,Uganda,53,0,0.0
141,French Polynesia,51,0,0.0
142,Sint Maarten,43,6,3.0
143,Bermuda,48,4,25.0
144,Cayman Islands,45,1,6.0
145,Macao,45,0,10.0
146,Gabon,44,1,1.0
147,Bahamas,41,8,5.0
148,Zambia,39,1,25.0
149,Guyana,37,6,8.0
150,Liberia,31,4,3.0
151,Guinea-Bissau,36,0,0.0
152,Benin,26,1,5.0
153,Eritrea,33,0,0.0
154,Tanzania,25,1,5.0
155,Saint Martin,32,2,11.0
156,Haiti,30,2,0.0
157,Myanmar,23,3,2.0
158,Libya,24,1,8.0
159,Angola,19,2,2.0
160,Antigua and Barbuda,19,2,0.0
161,Syria,19,2,4.0
162,Maldives,19,0,13.0
163,Equatorial Guinea,18,0,3.0
164,New Caledonia,18,0,1.0
165,Mozambique,17,0,1.0
166,Dominica,15,0,5.0
167,Fiji,15,0,0.0
168,Laos,16,0,0.0
169,Mongolia,16,0,4.0
170,Namibia,16,0,3.0
171,Sudan,15,2,2.0
172,Curaçao,14,1,7.0
173,Saint Lucia,14,0,1.0
174,Botswana,13,1,0.0
175,Somalia,12,1,1.0
176,Grenada,12,0,0.0
177,St. Vincent Grenadines,12,0,1.0
178,Eswatini,12,0,7.0
179,Zimbabwe,11,3,0.0
180,Chad,11,0,2.0
181,Greenland,11,0,11.0
182,Saint Kitts and Nevis,11,0,0.0
183,Seychelles,11,0,0.0
184,Belize,9,1,0.0
185,Suriname,10,1,4.0
186,MS Zaandam,9,2,0.0
187,Malawi,8,1,0.0
188,Nepal,9,0,1.0
