,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,China,1/26/2020 23:00,1423,76.0,44.0
1,Guangdong,China,1/26/2020 23:00,146,,2.0
2,Zhejiang,China,1/26/2020 23:00,128,,1.0
3,Henan,China,1/26/2020 23:00,128,1.0,
4,Chongqing,China,1/26/2020 23:00,110,,
5,Hunan,China,1/26/2020 23:00,100,,
6,Anhui,China,1/26/2020 23:00,70,,
7,Sichuan,China,1/26/2020 23:00,69,,
8,Beijing,China,1/26/2020 23:00,68,,2.0
9,Shandong,China,1/26/2020 23:00,63,,
10,Shanghai,China,1/26/2020 23:00,53,1.0,1.0
11,Jiangxi,China,1/26/2020 23:00,48,,
12,Jiangsu,China,1/26/2020 23:00,47,,1.0
13,Guangxi,China,1/26/2020 23:00,46,,
14,Fujian,China,1/26/2020 23:00,35,,
15,Liaoning,China,1/26/2020 23:00,23,,
16,Hainan,China,1/26/2020 23:00,22,,
17,Shaanxi,China,1/26/2020 23:00,22,,
18,Heilongjiang,China,1/26/2020 23:00,21,1.0,
19,Yunnan,China,1/26/2020 23:00,19,,
20,Hebei,China,1/26/2020 23:00,18,1.0,
21,Tianjin,China,1/26/2020 23:00,14,,
22,Gansu,China,1/26/2020 23:00,14,,
23,Shanxi,China,1/26/2020 23:00,13,,
24,Inner Mongolia,China,1/26/2020 23:00,11,,
25,Hong Kong,Hong Kong,1/26/2020 23:00,8,,
26,Guizhou,China,1/26/2020 23:00,7,,
27,Jilin,China,1/26/2020 23:00,6,,
28,Macau,Macao,1/26/2020 23:00,6,,
29,Xinjiang,China,1/26/2020 23:00,5,,
30,Ningxia,China,1/26/2020 23:00,4,,
31,Taiwan,Taiwan,1/26/2020 23:00,4,,
32,Qinghai,China,1/26/2020 23:00,4,,
33,WA,USA,1/26/2020 23:00,1,,
34,Illinois,USA,1/26/2020 23:00,1,,
35,California,USA,1/26/2020 23:00,2,,
36,Arizona,USA,1/26/2020 23:00,1,,
37,,Japan,1/26/2020 23:00,4,,1.0
38,,Thailand,1/26/2020 23:00,8,,2.0
39,,S. Korea,1/26/2020 23:00,3,,
40,,Singapore,1/26/2020 23:00,4,,
41,,Vietnam,1/26/2020 23:00,2,,
42,,France,1/26/2020 23:00,3,,
43,,Australia,1/26/2020 23:00,4,,
44,,Nepal,1/26/2020 23:00,1,,
45,,Malaysia,1/26/2020 23:00,4,,
46,Ontario,Canada,1/26/2020 23:00,1,,
