,Country/Region,Confirmed,Deaths,Recovered
0,World,2406575,165031.0,625098.0
1,USA,764636,40575.0,71187.0
2,Spain,198674,20453.0,77357.0
3,Italy,178972,23660.0,47055.0
4,France,152894,19718.0,36578.0
5,Germany,145742,4642.0,88000.0
6,UK,120067,16060.0,0.0
7,Turkey,86306,2017.0,11976.0
8,China,82735,4632.0,77062.0
9,Iran,82211,5118.0,57023.0
10,Russia,42853,361.0,3291.0
11,Brazil,38654,2462.0,22130.0
12,Belgium,38496,5683.0,8757.0
13,Canada,35056,1587.0,11843.0
14,Netherlands,32655,3684.0,250.0
15,Switzerland,27740,1393.0,17800.0
16,Portugal,20206,714.0,610.0
17,India,17615,559.0,2854.0
18,Peru,15628,400.0,6811.0
19,Ireland,15251,610.0,77.0
20,Austria,14749,452.0,10501.0
21,Sweden,14385,1540.0,550.0
22,Israel,13491,172.0,3754.0
23,Japan,10797,236.0,1159.0
24,S. Korea,10661,234.0,8042.0
25,Chile,10088,133.0,4338.0
26,Ecuador,9468,474.0,1061.0
27,Saudi Arabia,9362,97.0,1398.0
28,Poland,9287,360.0,1040.0
29,Romania,8746,451.0,1892.0
30,Pakistan,8348,168.0,1868.0
31,Mexico,7497,650.0,2627.0
32,Denmark,7384,355.0,4141.0
33,Norway,7078,165.0,32.0
34,UAE,6781,41.0,1286.0
35,Czechia,6746,186.0,1298.0
36,Australia,6612,71.0,4230.0
37,Singapore,6588,11.0,768.0
38,Indonesia,6575,582.0,686.0
39,Serbia,6318,122.0,753.0
40,Philippines,6259,409.0,572.0
41,Ukraine,5449,141.0,347.0
42,Qatar,5448,8.0,518.0
43,Malaysia,5389,89.0,3197.0
44,Belarus,4779,47.0,494.0
45,Dominican Republic,4680,226.0,363.0
46,Panama,4273,120.0,140.0
47,Colombia,3792,179.0,711.0
48,Finland,3783,94.0,1700.0
49,Luxembourg,3550,73.0,627.0
50,South Africa,3158,54.0,903.0
51,Egypt,3144,239.0,732.0
52,Argentina,2941,134.0,709.0
53,Morocco,2855,141.0,327.0
54,Thailand,2765,47.0,1928.0
55,Algeria,2629,375.0,1047.0
56,Moldova,2472,67.0,457.0
