,Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
0,Hubei,China,2/09/2020 23:00,29631,1795,871,
1,Guangdong,China,2/09/2020 23:00,1151,147,1,
2,Zhejiang,China,2/09/2020 23:00,1092,205,0,
3,Henan,China,2/09/2020 23:00,1073,169,6,
4,Hunan,China,2/09/2020 23:00,879,194,1,
5,Anhui,China,2/09/2020 23:00,830,89,3,
6,Jiangxi,China,2/09/2020 23:00,771,102,1,
7,Jiangsu,China,2/09/2020 23:00,492,80,0,
8,Chongqing,China,2/09/2020 23:00,468,51,2,
9,Shandong,China,2/09/2020 23:00,459,63,1,
10,Sichuan,China,2/09/2020 23:00,405,76,1,
11,Beijing,China,2/09/2020 23:00,337,44,2,
12,Heilongjiang,China,2/09/2020 23:00,331,15,7,
13,Shanghai,China,2/09/2020 23:00,295,48,1,
14,Fujian,China,2/09/2020 23:00,261,36,0,
15,Shaanxi,China,2/09/2020 23:00,213,26,0,
16,Hebei,China,2/09/2020 23:00,218,35,2,
17,Guangxi,China,2/09/2020 23:00,210,18,1,
18,Yunnan,China,2/09/2020 23:00,141,19,0,
19,Hainan,China,2/09/2020 23:00,136,19,3,
20,Shanxi,China,2/09/2020 23:00,119,25,0,
21,Liaoning,China,2/09/2020 23:00,107,12,0,
22,Guizhou,China,2/09/2020 23:00,109,7,1,
23,Tianjin,China,2/09/2020 23:00,94,4,1,
24,Gansu,China,2/09/2020 23:00,83,16,2,
25,Jilin,China,2/09/2020 23:00,80,12,1,
26,Yokohama,Japan,2/09/2020 23:00,70,0,0,
27,Inner Mongolia,China,2/09/2020 23:00,58,5,0,
28,Ningxia,China,2/09/2020 23:00,49,13,0,
29,Xinjiang,China,2/09/2020 23:00,49,0,0,
30,,Singapore,2/09/2020 23:00,43,6,0,
31,,Thailand,2/09/2020 23:00,32,10,0,
32,Hong Kong,Hong Kong,2/09/2020 23:00,36,0,1,
33,,S. Korea,2/09/2020 23:00,27,3,0,
34,,Japan,2/09/2020 23:00,26,4,0,
35,Qinghai,China,2/09/2020 23:00,18,3,0,
36,Taiwan,Taiwan,2/09/2020 23:00,18,1,0,
37,,Malaysia,2/09/2020 23:00,17,3,0,
38,,Germany,2/09/2020 23:00,14,0,0,
39,,Vietnam,2/09/2020 23:00,14,3,0,
40,,France,2/09/2020 23:00,11,0,0,
41,Macau,Macao,2/09/2020 23:00,10,1,0,
42,,UAE,2/09/2020 23:00,7,0,0,
43,California,USA,2/09/2020 23:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
44,Queensland,Australia,2/09/2020 23:00,5,0,0,
45,New South Wales,Australia,2/09/2020 23:00,4,3,0,
46,Victoria,Australia,2/09/2020 23:00,4,2,0,
47,British Columbia,Canada,2/09/2020 23:00,4,0,0,
48,Ontario,Canada,2/09/2020 23:00,3,0,0,
49,,India,2/09/2020 23:00,3,0,0,
50,,Philippines,2/09/2020 23:00,3,2,1,
51,,UK,2/09/2020 23:00,4,0,0,
52,,Italy,2/09/2020 23:00,3,0,0,
53,,Russia,2/09/2020 23:00,2,0,0,
54,Illinois,USA,2/09/2020 23:00,2,2,0,Chicago
55,South Australia,Australia,2/09/2020 23:00,2,0,0,
56,,Cambodia,2/09/2020 23:00,1,1,0,
57,,Finland,2/09/2020 23:00,1,1,0,
58,,Sri Lanka,2/09/2020 23:00,1,1,0,
59,Tibet,China,2/09/2020 23:00,1,0,0,
60,,Nepal,2/09/2020 23:00,1,0,0,
61,,Spain,2/09/2020 23:00,2,0,0,
62,,Sweden,2/09/2020 23:00,1,0,0,
63,Massachusetts,USA,2/09/2020 23:00,1,0,0,Boston
64,WA,USA,2/09/2020 23:00,1,0,0,Seattle
65,Arizona,USA,2/09/2020 23:00,1,0,0,Tempe
66,Brussels,Belgium,2/09/2020 23:00,1,0,0,
67,WI,USA,2/09/2020 23:00,1,0,0,Madison
