,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/22/2020 23:00,64084,2346,15303,
1,Guangdong,China,2/22/2020 23:00,1342,6,742,
2,Zhejiang,China,2/22/2020 23:00,1205,1,739,
3,Shandong,China,2/22/2020 23:00,754,4,311,
4,Henan,China,2/22/2020 23:00,1271,19,862,
5,Anhui,China,2/22/2020 23:00,989,6,620,
6,Jiangxi,China,2/22/2020 23:00,934,1,611,
7,Hunan,China,2/22/2020 23:00,1016,4,704,
8,Heilongjiang,China,2/22/2020 23:00,480,12,215,
9,Sichuan,China,2/22/2020 23:00,526,3,256,
10,Chongqing,China,2/22/2020 23:00,573,6,328,
11,Jiangsu,China,2/22/2020 23:00,631,0,411,
12,Beijing,China,2/22/2020 23:00,399,4,189,
13,Guangxi,China,2/22/2020 23:00,249,2,104,
14,Fujian,China,2/22/2020 23:00,293,1,165,
15,Shanghai,China,2/22/2020 23:00,335,3,249,
16,Hebei,China,2/22/2020 23:00,311,6,204,
17,Shaanxi,China,2/22/2020 23:00,245,1,154,
18,Yunnan,China,2/22/2020 23:00,174,2,107,
19,Tianjin,China,2/22/2020 23:00,135,3,65,
20,Hainan,China,2/22/2020 23:00,168,4,104,
21,Hong Kong,Hong Kong,2/22/2020 23:00,70,2,11,
22,Guizhou,China,2/22/2020 23:00,146,2,91,
23,Liaoning,China,2/22/2020 23:00,121,1,68,
24,Shanxi,China,2/22/2020 23:00,132,0,81,
25,Inner Mongolia,China,2/22/2020 23:00,75,0,26,
26,Xinjiang,China,2/22/2020 23:00,76,2,25,
27,Jilin,China,2/22/2020 23:00,91,1,52,
28,Ningxia,China,2/22/2020 23:00,71,0,48,
29,Taiwan,Taiwan,2/22/2020 23:00,26,1,2,
30,Gansu,China,2/22/2020 23:00,91,2,76,
31,Macau,Macao,2/22/2020 23:00,10,0,6,
32,Qinghai,China,2/22/2020 23:00,18,0,18,
33,Tibet,China,2/22/2020 23:00,1,0,1,
34,Yokohama,Japan,2/22/2020 23:00,634,2,3,
35,,S. Korea,2/22/2020 23:00,556,4,18,
36,,Japan,2/22/2020 23:00,135,1,22,
37,,Singapore,2/22/2020 23:00,89,0,49,
38,,Thailand,2/22/2020 23:00,35,0,15,
39,,Italy,2/22/2020 23:00,79,2,1,
40,,Malaysia,2/22/2020 23:00,22,0,17,
41,,Iran,2/22/2020 23:00,29,6,0,
42,,Germany,2/22/2020 23:00,16,0,14,
43,,Vietnam,2/22/2020 23:00,16,0,15,
44,,France,2/22/2020 23:00,12,1,10,
45,,UAE,2/22/2020 23:00,13,0,3,
46,,UK,2/22/2020 23:00,9,0,8,
47,,Philippines,2/22/2020 23:00,3,1,2,
48,,India,2/22/2020 23:00,3,0,3,
49,,Russia,2/22/2020 23:00,2,0,2,
50,,Spain,2/22/2020 23:00,2,0,2,
51,Brussels,Belgium,2/22/2020 23:00,1,0,1,
52,,Cambodia,2/22/2020 23:00,1,0,1,
53,,Egypt,2/22/2020 23:00,1,0,1,
54,,Finland,2/22/2020 23:00,1,0,1,
55,,Israel,2/22/2020 23:00,1,0,0,
56,,Lebanon,2/22/2020 23:00,1,0,0,
57,,Nepal,2/22/2020 23:00,1,0,1,
58,,Sri Lanka,2/22/2020 23:00,1,0,1,
59,,Sweden,2/22/2020 23:00,1,0,0,
60,,Iraq,2/22/2020 23:00,1,0,0,
61,British Columbia,Canada,2/22/2020 23:00,6,0,0,
62,Ontario,Canada,2/22/2020 23:00,3,0,1,
63,Illinois,USA,2/22/2020 23:00,2,0,2,Chicago
64,Massachusetts,USA,2/22/2020 23:00,1,0,0,Boston
65,WA,USA,2/22/2020 23:00,1,0,1,Seattle
66,Arizona,USA,2/22/2020 23:00,1,0,0,Tempe
67,Wisconsin,USA,2/22/2020 23:00,1,0,0,Madison
68,Texas,USA,2/22/2020 23:00,1,0,0,San Antonio
69,California,USA,2/22/2020 23:00,10,0,2,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt"
70,Nebraska,USA,2/22/2020 23:00,18,0,0,
71,Victoria,Australia,2/22/2020 23:00,6,0,4,
72,New South Wales,Australia,2/22/2020 23:00,4,0,4,
73,Queensland,Australia,2/22/2020 23:00,8,0,0,
74,Western Australia,Australia,2/22/2020 23:00,1,0,0,
75,South Australia,Australia,2/22/2020 23:00,3,0,2,
