,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,China,2/29/2020 23:00,66907,2761,31190
1,Guangdong,China,2/29/2020 23:00,1349,7,1009
2,Zhejiang,China,2/29/2020 23:00,1205,1,1027
3,Shandong,China,2/29/2020 23:00,756,6,431
4,Henan,China,2/29/2020 23:00,1272,22,1185
5,Anhui,China,2/29/2020 23:00,990,6,870
6,Jiangxi,China,2/29/2020 23:00,935,1,831
7,Hunan,China,2/29/2020 23:00,1018,4,853
8,Heilongjiang,China,2/29/2020 23:00,480,13,330
9,Sichuan,China,2/29/2020 23:00,538,3,363
10,Chongqing,China,2/29/2020 23:00,576,6,438
11,Jiangsu,China,2/29/2020 23:00,631,0,531
12,Beijing,China,2/29/2020 23:00,413,8,276
13,Guangxi,China,2/29/2020 23:00,252,2,179
14,Fujian,China,2/29/2020 23:00,296,1,243
15,Shanghai,China,2/29/2020 23:00,337,3,287
16,Hebei,China,2/29/2020 23:00,318,6,283
17,Shaanxi,China,2/29/2020 23:00,245,1,207
18,Yunnan,China,2/29/2020 23:00,174,2,157
19,Tianjin,China,2/29/2020 23:00,136,3,109
20,Hainan,China,2/29/2020 23:00,168,5,148
21,Guizhou,China,2/29/2020 23:00,146,2,112
22,Liaoning,China,2/29/2020 23:00,121,1,101
23,Shanxi,China,2/29/2020 23:00,133,0,115
24,Inner Mongolia,China,2/29/2020 23:00,75,0,51
25,Xinjiang,China,2/29/2020 23:00,76,3,62
26,Jilin,China,2/29/2020 23:00,93,1,75
27,Ningxia,China,2/29/2020 23:00,73,0,69
28,Gansu,China,2/29/2020 23:00,91,2,82
29,Qinghai,China,2/29/2020 23:00,18,0,18
30,Tibet,China,2/29/2020 23:00,1,0,1
31,,S. Korea,2/29/2020 23:00,3526,17,30
32,,Italy,2/29/2020 23:00,1128,29,50
33,Yokohama,Japan,2/29/2020 23:00,705,6,10
34,,Iran,2/29/2020 23:00,593,43,123
35,,Japan,2/29/2020 23:00,241,6,32
36,,Singapore,2/29/2020 23:00,102,0,72
37,,France,2/29/2020 23:00,100,2,12
38,Hong Kong,Hong Kong,2/29/2020 23:00,95,2,33
39,,Germany,2/29/2020 23:00,79,0,16
40,,Spain,2/29/2020 23:00,58,0,2
41,,Kuwait,2/29/2020 23:00,45,0,0
42,,Thailand,2/29/2020 23:00,42,0,28
43,,Bahrain,2/29/2020 23:00,41,0,0
44,Taiwan,Taiwan,2/29/2020 23:00,39,1,9
45,,Malaysia,2/29/2020 23:00,25,0,20
46,,UK,2/29/2020 23:00,23,0,8
47,,UAE,2/29/2020 23:00,21,0,5
48,,Switzerland,2/29/2020 23:00,19,0,0
49,,Vietnam,2/29/2020 23:00,16,0,16
50,,Norway,2/29/2020 23:00,15,0,0
51,,Iraq,2/29/2020 23:00,13,0,0
52,,Sweden,2/29/2020 23:00,12,0,0
53,,Austria,2/29/2020 23:00,10,0,0
54,Macau,Macao,2/29/2020 23:00,10,0,8
55,,Greece,2/29/2020 23:00,7,0,0
56,,Israel,2/29/2020 23:00,7,0,1
57,,Lebanon,2/29/2020 23:00,7,0,0
58,,Netherlands,2/29/2020 23:00,7,0,0
59,,Croatia,2/29/2020 23:00,6,0,0
60,,Oman,2/29/2020 23:00,6,0,0
61,,Mexico,2/29/2020 23:00,4,0,0
62,,Pakistan,2/29/2020 23:00,4,0,0
63,,Philippines,2/29/2020 23:00,3,1,2
64,,Denmark,2/29/2020 23:00,3,0,0
65,,Finland,2/29/2020 23:00,3,0,1
66,,Georgia,2/29/2020 23:00,3,0,0
67,,India,2/29/2020 23:00,3,0,3
68,,Romania,2/29/2020 23:00,3,0,1
69,,Brazil,2/29/2020 23:00,2,0,0
70,,Russia,2/29/2020 23:00,2,0,2
71,,Afghanistan,2/29/2020 23:00,1,0,0
72,,Algeria,2/29/2020 23:00,1,0,0
73,,Azerbaijan,2/29/2020 23:00,1,0,0
74,,Belarus,2/29/2020 23:00,1,0,0
75,Brussels,Belgium,2/29/2020 23:00,1,0,1
76,,Cambodia,2/29/2020 23:00,1,0,1
77,,Ecuador,2/29/2020 23:00,1,0,0
78,,Egypt,2/29/2020 23:00,1,0,1
79,,Estonia,2/29/2020 23:00,1,0,0
80,,Iceland,2/29/2020 23:00,1,0,0
81,,Ireland,2/29/2020 23:00,1,0,0
