,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,China,1/30/2020 21:30,5806,204.0,116.0
1,Zhejiang,China,1/30/2020 21:30,537,,9.0
2,Guangdong,China,1/30/2020 21:30,393,,11.0
3,Henan,China,1/30/2020 21:30,352,2.0,3.0
4,Hunan,China,1/30/2020 21:30,332,,2.0
5,Jiangxi,China,1/30/2020 21:30,240,,7.0
6,Anhui,China,1/30/2020 21:30,237,,3.0
7,Chongqing,China,1/30/2020 21:30,206,,1.0
8,Shandong,China,1/30/2020 21:30,178,,2.0
9,Sichuan,China,1/30/2020 21:30,177,1.0,1.0
10,Jiangsu,China,1/30/2020 21:30,168,,2.0
11,Shanghai,China,1/30/2020 21:30,128,1.0,9.0
12,Beijing,China,1/30/2020 21:30,121,1.0,5.0
13,Fujian,China,1/30/2020 21:30,101,,
14,Guangxi,China,1/30/2020 21:30,87,,2.0
15,Hebei,China,1/30/2020 21:30,82,1.0,
16,Yunnan,China,1/30/2020 21:30,76,,
17,Shaanxi,China,1/30/2020 21:30,87,,
18,Heilongjiang,China,1/30/2020 21:30,59,2.0,
19,Hainan,China,1/30/2020 21:30,50,1.0,1.0
20,Liaoning,China,1/30/2020 21:30,45,,1.0
21,Shanxi,China,1/30/2020 21:30,39,,1.0
22,Tianjin,China,1/30/2020 21:30,32,,
23,Gansu,China,1/30/2020 21:30,29,,
24,Ningxia,China,1/30/2020 21:30,21,,1.0
25,Inner Mongolia,China,1/30/2020 21:30,20,,
26,Xinjiang,China,1/30/2020 21:30,17,,
27,Guizhou,China,1/30/2020 21:30,15,,1.0
28,Jilin,China,1/30/2020 21:30,14,,1.0
29,Hong Kong,Hong Kong,1/30/2020 21:30,12,,
30,Taiwan,Taiwan,1/30/2020 21:30,9,,
31,Qinghai,China,1/30/2020 21:30,8,,
32,Macau,Macao,1/30/2020 21:30,7,,
33,Tibet,China,1/30/2020 21:30,1,,
34,WA,USA,1/30/2020 21:30,1,,
35,Illinois,USA,1/30/2020 21:30,2,,
36,California,USA,1/30/2020 21:30,2,,
37,Arizona,USA,1/30/2020 21:30,1,,
38,,Japan,1/30/2020 21:30,11,,1.0
39,,Thailand,1/30/2020 21:30,14,,5.0
40,,S. Korea,1/30/2020 21:30,6,,
41,,Singapore,1/30/2020 21:30,10,,
42,,Vietnam,1/30/2020 21:30,2,,
43,,France,1/30/2020 21:30,5,,
44,,Nepal,1/30/2020 21:30,1,,
45,,Malaysia,1/30/2020 21:30,8,,
46,Ontario,Canada,1/30/2020 21:30,2,,
47,British Columbia,Canada,1/30/2020 21:30,1,,
48,,Cambodia,1/30/2020 21:30,1,,
49,,Sri Lanka,1/30/2020 21:30,1,,
50,New South Wales,Australia,1/30/2020 21:30,4,,2.0
51,Victoria,Australia,1/30/2020 21:30,2,,
52,Queensland,Australia,1/30/2020 21:30,3,,
53,Bavaria,Germany,1/30/2020 21:30,4,,
54,,Finland,1/30/2020 21:30,1,,
55,,UAE,1/30/2020 21:30,4,,
56,,Philippines,1/30/2020 21:30,1,,
57,,India,1/30/2020 21:30,1,,
58,,Italy,1/30/2020 21:30,2,,
