,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,China,3/03/2020  23:30,67332,2871,38556
1,Guangdong,China,3/03/2020  23:30,1350,7,1129
2,Zhejiang,China,3/03/2020  23:30,1213,1,1095
3,Shandong,China,3/03/2020  23:30,758,6,511
4,Henan,China,3/03/2020  23:30,1272,22,1234
5,Anhui,China,3/03/2020  23:30,990,6,941
6,Jiangxi,China,3/03/2020  23:30,935,1,884
7,Hunan,China,3/03/2020  23:30,1018,4,913
8,Heilongjiang,China,3/03/2020  23:30,480,13,372
9,Sichuan,China,3/03/2020  23:30,538,3,400
10,Chongqing,China,3/03/2020  23:30,576,6,490
11,Jiangsu,China,3/03/2020  23:30,631,0,569
12,Beijing,China,3/03/2020  23:30,414,8,294
13,Guangxi,China,3/03/2020  23:30,252,2,210
14,Fujian,China,3/03/2020  23:30,296,1,261
15,Shanghai,China,3/03/2020  23:30,338,3,298
16,Hebei,China,3/03/2020  23:30,318,6,300
17,Shaanxi,China,3/03/2020  23:30,245,1,218
18,Yunnan,China,3/03/2020  23:30,174,2,169
19,Tianjin,China,3/03/2020  23:30,136,3,124
20,Hainan,China,3/03/2020  23:30,168,5,155
21,Guizhou,China,3/03/2020  23:30,146,2,114
22,Liaoning,China,3/03/2020  23:30,125,1,106
23,Shanxi,China,3/03/2020  23:30,133,0,124
24,Inner Mongolia,China,3/03/2020  23:30,75,1,60
25,Xinjiang,China,3/03/2020  23:30,76,3,68
26,Jilin,China,3/03/2020  23:30,93,1,84
27,Ningxia,China,3/03/2020  23:30,74,0,69
28,Gansu,China,3/03/2020  23:30,91,2,86
29,Qinghai,China,3/03/2020  23:30,18,0,18
30,Tibet,China,3/03/2020  23:30,1,0,1
31,,S. Korea,3/03/2020  23:30,5328,33,41
32,,Italy,3/03/2020  23:30,2502,79,160
33,,Iran,3/03/2020  23:30,2336,77,435
34,Yokohama,Japan,3/03/2020  23:30,706,6,100
35,,Japan,3/03/2020  23:30,293,6,43
36,,France,3/03/2020  23:30,212,4,12
37,,Germany,3/03/2020  23:30,203,0,16
38,,Spain,3/03/2020  23:30,165,1,2
39,,Singapore,3/03/2020  23:30,110,0,78
40,Hong Kong,Hong Kong,3/03/2020  23:30,101,2,37
41,,Switzerland,3/03/2020  23:30,58,0,2
42,,Kuwait,3/03/2020  23:30,56,0,0
43,,UK,3/03/2020  23:30,51,0,8
44,,Bahrain,3/03/2020  23:30,49,0,0
45,,Thailand,3/03/2020  23:30,43,1,30
46,Taiwan,Taiwan,3/03/2020  23:30,42,1,12
47,,Malaysia,3/03/2020  23:30,36,0,22
48,,Norway,3/03/2020  23:30,33,0,0
49,,Iraq,3/03/2020  23:30,32,0,0
50,,Sweden,3/03/2020  23:30,30,0,0
51,,UAE,3/03/2020  23:30,27,0,5
52,,Austria,3/03/2020  23:30,24,0,0
53,,Netherlands,3/03/2020  23:30,23,0,0
54,,Vietnam,3/03/2020  23:30,16,0,16
55,,Iceland,3/03/2020  23:30,14,0,0
56,Brussels,Belgium,3/03/2020  23:30,13,0,1
57,,Lebanon,3/03/2020  23:30,13,0,0
58,,Israel,3/03/2020  23:30,12,0,1
59,,Oman,3/03/2020  23:30,12,0,2
60,,San Marino,3/03/2020  23:30,10,0,0
61,Macau,Macao,3/03/2020  23:30,10,0,9
62,,Denmark,3/03/2020  23:30,10,0,0
63,,Croatia,3/03/2020  23:30,9,0,0
64,,Algeria,3/03/2020  23:30,8,0,0
65,,Qatar,3/03/2020  23:30,8,0,0
66,,Ecuador,3/03/2020  23:30,7,0,0
67,,Finland,3/03/2020  23:30,7,0,1
68,,Greece,3/03/2020  23:30,7,0,0
69,,India,3/03/2020  23:30,6,0,3
70,,Mexico,3/03/2020  23:30,6,0,0
71,,Czechia,3/03/2020  23:30,5,0,0
72,,Pakistan,3/03/2020  23:30,5,0,0
73,,Portugal,3/03/2020  23:30,4,0,0
74,,Romania,3/03/2020  23:30,4,0,1
75,,Philippines,3/03/2020  23:30,3,1,2
76,,Azerbaijan,3/03/2020  23:30,3,0,0
77,,Georgia,3/03/2020  23:30,3,0,0
78,,Russia,3/03/2020  23:30,3,0,2
79,,Brazil,3/03/2020  23:30,2,0,0
80,,Egypt,3/03/2020  23:30,2,0,1
81,,Estonia,3/03/2020  23:30,2,0,0
82,,Indonesia,3/03/2020  23:30,2,0,0
83,,Ireland,3/03/2020  23:30,2,0,0
84,,New Zealand,3/03/2020  23:30,2,0,0
85,,Senegal,3/03/2020  23:30,2,0,0
86,,Afghanistan,3/03/2020  23:30,1,0,0
87,,Andorra,3/03/2020  23:30,1,0,0
88,,Armenia,3/03/2020  23:30,1,0,0
89,,Belarus,3/03/2020  23:30,1,0,0
90,,Cambodia,3/03/2020  23:30,1,0,1
91,,Dominican Republic,3/03/2020  23:30,1,0,0
92,,Jordan,3/03/2020  23:30,1,0,0
93,,Latvia,3/03/2020  23:30,1,0,0
94,,Lithuania,3/03/2020  23:30,1,0,0
95,,Luxembourg,3/03/2020  23:30,1,0,0
96,,North Macedonia,3/03/2020  23:30,1,0,0
97,,Monaco,3/03/2020  23:30,1,0,0
98,,Morocco,3/03/2020  23:30,1,0,0
99,,Nepal,3/03/2020  23:30,1,0,1
100,,Nigeria,3/03/2020  23:30,1,0,0
101,,Saudi Arabia,3/03/2020  23:30,1,0,0
102,,Sri Lanka,3/03/2020  23:30,1,0,1
103,,Tunisia,3/03/2020  23:30,1,0,0
104,,Ukraine,3/03/2020  23:30,1,0,0
105,,Argentina,3/03/2020  23:30,1,0,0
106,,Chile,3/03/2020  23:30,1,0,0
107,,Liechtenstein,3/03/2020  23:30,1,0,0
108,British Columbia,Canada,3/03/2020  23:30,12,0,3
109,Ontario,Canada,3/03/2020  23:30,20,0,3
110,Quebec,Canada,3/03/2020  23:30,1,0,0
111,WA,USA,3/03/2020  23:30,27,9,1
112,Oregon,USA,3/03/2020  23:30,3,0,0
113,California,USA,3/03/2020  23:30,30,0,2
114,Arizona,USA,3/03/2020  23:30,2,0,1
115,Texas,USA,3/03/2020  23:30,4,0,0
116,Florida,USA,3/03/2020  23:30,3,0,0
117,Georgia,USA,3/03/2020  23:30,2,0,0
118,North Carolina,USA,3/03/2020  23:30,1,0,0
119,New York,USA,3/03/2020  23:30,2,0,0
120,Rhode Island,USA,3/03/2020  23:30,2,0,0
121,Massachusetts,USA,3/03/2020  23:30,2,0,1
122,New Hampshire,USA,3/03/2020  23:30,2,0,0
123,Illinois,USA,3/03/2020  23:30,4,0,2
124,Wisconsin,USA,3/03/2020  23:30,1,0,0
125,From Diamond Princess cruise,USA,3/03/2020  23:30,42,0,0
126,Queensland,Australia,3/03/2020  23:30,11,0,8
127,New South Wales,Australia,3/03/2020  23:30,15,0,4
128,Victoria,Australia,3/03/2020  23:30,9,0,7
129,South Australia,Australia,3/03/2020  23:30,4,0,2
130,Western Australia,Australia,3/03/2020  23:30,2,1,0
131,Tasmania,Australia,3/03/2020  23:30,1,0,0
