,Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
0,Hubei,China,2/10/2020 22:30,31728,2222,974,
1,Guangdong,China,2/10/2020 22:30,1177,181,1,
2,Zhejiang,China,2/10/2020 22:30,1117,250,0,
3,Henan,China,2/10/2020 22:30,1105,198,7,
4,Hunan,China,2/10/2020 22:30,912,213,1,
5,Anhui,China,2/10/2020 22:30,860,105,4,
6,Jiangxi,China,2/10/2020 22:30,804,127,1,
7,Jiangsu,China,2/10/2020 22:30,515,84,0,
8,Chongqing,China,2/10/2020 22:30,486,66,2,
9,Shandong,China,2/10/2020 22:30,486,71,1,
10,Sichuan,China,2/10/2020 22:30,417,82,1,
11,Beijing,China,2/10/2020 22:30,342,48,3,
12,Heilongjiang,China,2/10/2020 22:30,360,27,8,
13,Shanghai,China,2/10/2020 22:30,302,48,1,
14,Fujian,China,2/10/2020 22:30,267,39,0,
15,Hebei,China,2/10/2020 22:30,239,41,2,
16,Shaanxi,China,2/10/2020 22:30,219,31,0,
17,Guangxi,China,2/10/2020 22:30,215,30,1,
18,Yunnan,China,2/10/2020 22:30,149,19,0,
19,Hainan,China,2/10/2020 22:30,142,19,3,
20,Yokohama,Japan,2/10/2020 22:30,135,0,0,
21,Shanxi,China,2/10/2020 22:30,122,26,0,
22,Guizhou,China,2/10/2020 22:30,118,10,1,
23,Liaoning,China,2/10/2020 22:30,108,13,0,
24,Tianjin,China,2/10/2020 22:30,102,8,1,
25,Gansu,China,2/10/2020 22:30,86,21,2,
26,Jilin,China,2/10/2020 22:30,81,13,1,
27,Inner Mongolia,China,2/10/2020 22:30,58,5,0,
28,Ningxia,China,2/10/2020 22:30,53,14,0,
29,Xinjiang,China,2/10/2020 22:30,55,0,0,
30,,Singapore,2/10/2020 22:30,45,7,0,
31,Hong Kong,Hong Kong,2/10/2020 22:30,42,0,1,
32,,Thailand,2/10/2020 22:30,32,10,0,
33,,S. Korea,2/10/2020 22:30,28,3,0,
34,,Japan,2/10/2020 22:30,26,9,0,
35,Qinghai,China,2/10/2020 22:30,18,3,0,
36,Taiwan,Taiwan,2/10/2020 22:30,18,1,0,
37,,Malaysia,2/10/2020 22:30,18,3,0,
38,,Germany,2/10/2020 22:30,14,0,0,
39,,Vietnam,2/10/2020 22:30,14,3,0,
40,,France,2/10/2020 22:30,11,0,0,
41,Macau,Macao,2/10/2020 22:30,10,1,0,
42,,UK,2/10/2020 22:30,8,0,0,
43,,UAE,2/10/2020 22:30,8,0,0,
44,California,USA,2/10/2020 22:30,7,0,0,"San Diego, San Benito, Los Angeles, Orange, Santa Clara"
45,Queensland,Australia,2/10/2020 22:30,5,0,0,
46,New South Wales,Australia,2/10/2020 22:30,4,3,0,
47,Victoria,Australia,2/10/2020 22:30,4,2,0,
48,British Columbia,Canada,2/10/2020 22:30,4,0,0,
49,Ontario,Canada,2/10/2020 22:30,3,0,0,
50,,India,2/10/2020 22:30,3,0,0,
51,,Philippines,2/10/2020 22:30,3,2,1,
52,,Italy,2/10/2020 22:30,3,0,0,
53,,Russia,2/10/2020 22:30,2,0,0,
54,Illinois,USA,2/10/2020 22:30,2,2,0,Chicago
55,South Australia,Australia,2/10/2020 22:30,2,0,0,
56,,Spain,2/10/2020 22:30,2,0,0,
57,,Cambodia,2/10/2020 22:30,1,1,0,
58,,Finland,2/10/2020 22:30,1,1,0,
59,,Sri Lanka,2/10/2020 22:30,1,1,0,
60,Tibet,China,2/10/2020 22:30,1,0,0,
61,,Nepal,2/10/2020 22:30,1,0,0,
62,,Sweden,2/10/2020 22:30,1,0,0,
63,Massachusetts,USA,2/10/2020 22:30,1,0,0,Boston
64,WA,USA,2/10/2020 22:30,1,0,0,Seattle
65,Arizona,USA,2/10/2020 22:30,1,0,0,Tempe
66,Brussels,Belgium,2/10/2020 22:30,1,0,0,
67,WI,USA,2/10/2020 22:30,1,0,0,Madison
