,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/18/2020 23:00,61682,1921,9128,
1,Guangdong,China,2/18/2020 23:00,1331,5,571,
2,Henan,China,2/18/2020 23:00,1262,19,552,
3,Zhejiang,China,2/18/2020 23:00,1173,0,544,
4,Hunan,China,2/18/2020 23:00,1008,4,542,
5,Anhui,China,2/18/2020 23:00,986,6,361,
6,Jiangxi,China,2/18/2020 23:00,934,1,362,
7,Jiangsu,China,2/18/2020 23:00,631,0,296,
8,Chongqing,China,2/18/2020 23:00,555,5,254,
9,Shandong,China,2/18/2020 23:00,544,3,215,
10,Sichuan,China,2/18/2020 23:00,514,3,177,
11,Heilongjiang,China,2/18/2020 23:00,470,12,108,
12,Beijing,China,2/18/2020 23:00,393,4,145,
13,Yokohama,Japan,2/18/2020 23:00,542,0,3,
14,Shanghai,China,2/18/2020 23:00,333,1,177,
15,Hebei,China,2/18/2020 23:00,306,4,136,
16,Fujian,China,2/18/2020 23:00,293,0,96,
17,Guangxi,China,2/18/2020 23:00,244,2,76,
18,Shaanxi,China,2/18/2020 23:00,242,0,89,
19,Yunnan,China,2/18/2020 23:00,172,0,57,
20,Hainan,China,2/18/2020 23:00,163,4,79,
21,Guizhou,China,2/18/2020 23:00,146,2,69,
22,Shanxi,China,2/18/2020 23:00,131,0,61,
23,Tianjin,China,2/18/2020 23:00,128,3,48,
24,Liaoning,China,2/18/2020 23:00,121,1,55,
25,Gansu,China,2/18/2020 23:00,91,2,62,
26,Jilin,China,2/18/2020 23:00,90,1,36,
27,,Singapore,2/18/2020 23:00,81,0,29,
28,Xinjiang,China,2/18/2020 23:00,76,1,14,
29,Ningxia,China,2/18/2020 23:00,70,0,42,
30,Inner Mongolia,China,2/18/2020 23:00,75,0,9,
31,Hong Kong,Hong Kong,2/18/2020 23:00,62,2,4,
32,,Japan,2/18/2020 23:00,76,1,20,
33,,Thailand,2/18/2020 23:00,35,0,15,
34,,S. Korea,2/18/2020 23:00,46,0,16,
35,,Malaysia,2/18/2020 23:00,22,0,11,
36,Qinghai,China,2/18/2020 23:00,18,0,15,
37,Taiwan,Taiwan,2/18/2020 23:00,22,1,2,
38,,Germany,2/18/2020 23:00,16,0,9,
39,,Vietnam,2/18/2020 23:00,16,0,7,
40,,France,2/18/2020 23:00,12,1,7,
41,Macau,Macao,2/18/2020 23:00,10,0,5,
42,,UK,2/18/2020 23:00,9,0,8,
43,,UAE,2/18/2020 23:00,9,0,3,
44,Queensland,Australia,2/18/2020 23:00,5,0,0,
45,British Columbia,Canada,2/18/2020 23:00,5,0,0,
46,New South Wales,Australia,2/18/2020 23:00,4,0,4,
47,Victoria,Australia,2/18/2020 23:00,4,0,4,
48,,India,2/18/2020 23:00,3,0,3,
49,Ontario,Canada,2/18/2020 23:00,3,0,1,
50,,Philippines,2/18/2020 23:00,3,1,2,
51,,Italy,2/18/2020 23:00,3,0,0,
52,,Russia,2/18/2020 23:00,2,0,2,
53,South Australia,Australia,2/18/2020 23:00,2,0,0,
54,,Spain,2/18/2020 23:00,2,0,2,
55,,Cambodia,2/18/2020 23:00,1,0,1,
56,,Finland,2/18/2020 23:00,1,0,1,
57,,Sri Lanka,2/18/2020 23:00,1,0,1,
58,Tibet,China,2/18/2020 23:00,1,0,1,
59,,Nepal,2/18/2020 23:00,1,0,1,
60,,Sweden,2/18/2020 23:00,1,0,0,
61,,Egypt,2/18/2020 23:00,1,0,0,
62,Brussels,Belgium,2/18/2020 23:00,1,0,1,
63,Illinois,USA,2/18/2020 23:00,2,0,2,Chicago
64,Massachusetts,USA,2/18/2020 23:00,1,0,0,Boston
65,WA,USA,2/18/2020 23:00,1,0,1,Seattle
66,Arizona,USA,2/18/2020 23:00,1,0,0,Tempe
67,Wisconsin,USA,2/18/2020 23:00,1,0,0,Madison
68,Texas,USA,2/18/2020 23:00,1,0,0,San Antonio
69,California,USA,2/18/2020 23:00,8,0,0,"San Diego, San Benito, Los Angeles, Orange, Santa Clara"
