,Country/Region,Confirmed,Deaths,Recovered
0,World,6840321,397446.0,3332058.0
1,USA,1965708,111390.0,738646.0
2,Brazil,646006,35047.0,288652.0
3,Russia,449834,5528.0,212680.0
4,Spain,288058,27134.0,0.0
5,UK,283311,40261.0,0.0
6,India,236184,6649.0,113233.0
7,Italy,234531,33774.0,163781.0
8,Peru,187400,5162.0,79214.0
9,Germany,185414,8763.0,168500.0
10,Turkey,168340,4648.0,133400.0
11,Iran,167156,8134.0,129741.0
12,France,153055,29111.0,70504.0
13,Chile,122499,1448.0,95631.0
14,Mexico,105680,12545.0,75448.0
15,Saudi Arabia,95748,642.0,70616.0
16,Canada,94335,7703.0,52568.0
17,Pakistan,89249,1838.0,31198.0
18,China,83027,4634.0,78327.0
19,Qatar,65495,49.0,40935.0
20,Bangladesh,60391,811.0,12804.0
21,Belgium,58907,9566.0,16112.0
22,Netherlands,47152,6005.0,0.0
23,Belarus,46868,259.0,22066.0
24,Sweden,43773,4639.0,0.0
25,South Africa,43434,908.0,23088.0
26,Ecuador,41575,3534.0,20568.0
27,UAE,37642,274.0,20337.0
28,Singapore,37183,24.0,24209.0
29,Colombia,36635,1145.0,13638.0
30,Portugal,33969,1465.0,20526.0
31,Egypt,31115,1166.0,8158.0
32,Switzerland,30936,1921.0,28600.0
33,Kuwait,30644,244.0,18277.0
34,Indonesia,29521,1770.0,9443.0
35,Ukraine,25964,762.0,11372.0
36,Poland,25410,1137.0,12410.0
37,Ireland,25163,1670.0,22698.0
38,Argentina,21037,632.0,6088.0
39,Philippines,20626,987.0,4330.0
40,Romania,20103,1316.0,14145.0
41,Afghanistan,18969,309.0,1762.0
42,Dominican Republic,18708,525.0,11736.0
43,Israel,17562,291.0,15026.0
44,Japan,17064,907.0,14972.0
45,Austria,16843,672.0,15742.0
46,Panama,15463,370.0,9719.0
47,Oman,15086,72.0,3451.0
48,Bahrain,13835,22.0,8585.0
49,Kazakhstan,12312,52.0,6903.0
50,Bolivia,12245,415.0,1658.0
51,Denmark,11875,586.0,10653.0
52,Nigeria,11844,333.0,3696.0
53,Armenia,11817,183.0,3513.0
54,S. Korea,11668,273.0,10506.0
55,Serbia,11667,247.0,6931.0
56,Algeria,9935,690.0,6453.0
57,Iraq,9846,285.0,4573.0
58,Czechia,9529,327.0,6881.0
59,Moldova,9247,323.0,5240.0
60,Ghana,9168,42.0,3457.0
61,Norway,8522,238.0,8138.0
62,Malaysia,8266,116.0,6610.0
63,Morocco,8071,208.0,7268.0
64,Cameroon,7392,205.0,4575.0
65,Australia,7251,102.0,6683.0
66,Finland,6941,322.0,5800.0
67,Azerbaijan,6860,82.0,3871.0
68,Guatemala,6154,158.0,979.0
69,Honduras,5880,243.0,648.0
70,Sudan,5865,347.0,1924.0
71,Tajikistan,4370,48.0,2491.0
72,Senegal,4155,45.0,2276.0
73,Djibouti,4123,26.0,1707.0
74,Guinea,4060,23.0,2667.0
75,Luxembourg,4032,110.0,3885.0
76,Uzbekistan,4007,16.0,3247.0
77,Hungary,3970,542.0,2245.0
78,DRC,3764,81.0,512.0
79,Ivory Coast,3431,36.0,1604.0
80,Thailand,3102,58.0,2971.0
81,Gabon,3101,21.0,833.0
82,Greece,2967,180.0,1374.0
83,Nepal,2912,11.0,333.0
84,El Salvador,2849,53.0,1249.0
85,North Macedonia,2790,149.0,1632.0
86,Haiti,2740,50.0,24.0
87,Bulgaria,2627,159.0,1390.0
88,Bosnia and Herzegovina,2606,159.0,1968.0
89,Kenya,2474,79.0,643.0
90,Croatia,2247,103.0,2113.0
91,Somalia,2204,79.0,418.0
92,Venezuela,2145,20.0,334.0
93,Cuba,2133,83.0,1848.0
94,Mayotte,2079,25.0,1523.0
95,Kyrgyzstan,1936,22.0,1340.0
96,Estonia,1910,69.0,1667.0
97,Maldives,1883,7.0,717.0
98,Iceland,1806,10.0,1794.0
99,Ethiopia,1805,19.0,262.0
100,Sri Lanka,1801,11.0,858.0
101,Lithuania,1694,71.0,1302.0
102,Slovakia,1526,28.0,1379.0
103,New Zealand,1504,22.0,1481.0
104,Mali,1485,87.0,816.0
105,Slovenia,1479,109.0,1359.0
106,CAR,1451,4.0,29.0
107,GuineaBissau,1368,12.0,153.0
108,Lebanon,1312,28.0,768.0
109,Equatorial Guinea,1306,12.0,200.0
110,Costa Rica,1228,10.0,695.0
111,Albania,1212,33.0,910.0
112,Nicaragua,1118,46.0,370.0
