,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,China,1/28/2020 23:00,3554,125.0,80.0
1,Zhejiang,China,1/28/2020 23:00,296,,3.0
2,Guangdong,China,1/28/2020 23:00,241,,5.0
3,Hunan,China,1/28/2020 23:00,221,,
4,Henan,China,1/28/2020 23:00,206,2.0,1.0
5,Anhui,China,1/28/2020 23:00,152,,
6,Chongqing,China,1/28/2020 23:00,147,,1.0
7,Shandong,China,1/28/2020 23:00,121,,
8,Jiangxi,China,1/28/2020 23:00,109,,3.0
9,Sichuan,China,1/28/2020 23:00,108,,
10,Jiangsu,China,1/28/2020 23:00,99,,1.0
11,Beijing,China,1/28/2020 23:00,91,1.0,4.0
12,Fujian,China,1/28/2020 23:00,82,,
13,Shanghai,China,1/28/2020 23:00,80,1.0,4.0
14,Guangxi,China,1/28/2020 23:00,58,,2.0
15,Shaanxi,China,1/28/2020 23:00,56,,
16,Hebei,China,1/28/2020 23:00,48,1.0,
17,Yunnan,China,1/28/2020 23:00,44,,
18,Hainan,China,1/28/2020 23:00,43,1.0,
19,Heilongjiang,China,1/28/2020 23:00,37,1.0,
20,Liaoning,China,1/28/2020 23:00,36,,
21,Shanxi,China,1/28/2020 23:00,27,,
22,Tianjin,China,1/28/2020 23:00,25,,
23,Gansu,China,1/28/2020 23:00,24,,
24,Inner Mongolia,China,1/28/2020 23:00,16,,
25,Xinjiang,China,1/28/2020 23:00,13,,
26,Ningxia,China,1/28/2020 23:00,12,,
27,Guizhou,China,1/28/2020 23:00,9,,
28,Jilin,China,1/28/2020 23:00,9,,
29,Hong Kong,Hong Kong,1/28/2020 23:00,8,,
30,Taiwan,Taiwan,1/28/2020 23:00,8,,
31,Macau,Macao,1/28/2020 23:00,7,,
32,Qinghai,China,1/28/2020 23:00,6,,
33,WA,USA,1/28/2020 23:00,1,,
34,Illinois,USA,1/28/2020 23:00,1,,
35,California,USA,1/28/2020 23:00,2,,
36,Arizona,USA,1/28/2020 23:00,1,,
37,,Japan,1/28/2020 23:00,7,,1.0
38,,Thailand,1/28/2020 23:00,14,,5.0
39,,S. Korea,1/28/2020 23:00,4,,
40,,Singapore,1/28/2020 23:00,7,,
41,,Vietnam,1/28/2020 23:00,2,,
42,,France,1/28/2020 23:00,4,,
43,,Nepal,1/28/2020 23:00,1,,
44,,Malaysia,1/28/2020 23:00,7,,
45,Ontario,Canada,1/28/2020 23:00,1,,
46,British Columbia,Canada,1/28/2020 23:00,1,,
47,,Cambodia,1/28/2020 23:00,1,,
48,,Sri Lanka,1/28/2020 23:00,1,,
49,New South Wales,Australia,1/28/2020 23:00,4,,
50,Victoria,Australia,1/28/2020 23:00,1,,
51,Bavaria,Germany,1/28/2020 23:00,4,,
