,Country/Region,Confirmed,Deaths,Recovered
0,World,3062515,211449.0,921320.0
1,China,82830,4633.0,77474.0
2,USA,1010356,56797.0,138990.0
3,Spain,229422,23521.0,120832.0
4,Italy,199414,26977.0,66624.0
5,France,165842,23293.0,45513.0
6,Germany,158758,6126.0,114500.0
7,UK,157149,21092.0,0.0
8,Turkey,112261,2900.0,33791.0
9,Iran,91472,5806.0,70933.0
10,Russia,87147,794.0,7346.0
11,Brazil,66501,4543.0,31142.0
12,Canada,48500,2707.0,18268.0
13,Belgium,46687,7207.0,10878.0
14,Netherlands,38245,4518.0,0.0
15,India,29451,939.0,7137.0
16,Switzerland,29164,1665.0,22200.0
17,Peru,28699,782.0,8425.0
18,Portugal,24027,928.0,1357.0
19,Ecuador,23240,663.0,1557.0
20,Ireland,19648,1102.0,9233.0
21,Sweden,18926,2274.0,1005.0
22,Saudi Arabia,18811,144.0,2531.0
23,Israel,15555,204.0,7200.0
24,Austria,15274,549.0,12362.0
25,Mexico,14677,1351.0,8354.0
26,Singapore,14423,14.0,1095.0
27,Pakistan,13915,292.0,3029.0
28,Chile,13813,198.0,7327.0
29,Japan,13614,385.0,1899.0
30,Poland,11902,562.0,2466.0
31,Romania,11339,641.0,3141.0
32,Belarus,11289,75.0,1740.0
33,Qatar,11244,10.0,1066.0
34,UAE,10839,82.0,2090.0
35,S. Korea,10738,243.0,8764.0
36,Indonesia,9096,765.0,1151.0
37,Ukraine,9009,220.0,864.0
38,Denmark,8698,427.0,5959.0
39,Serbia,8275,162.0,1209.0
40,Philippines,7777,511.0,932.0
41,Norway,7599,205.0,32.0
42,Czechia,7445,223.0,2826.0
43,Australia,6720,83.0,5586.0
44,Dominican Republic,6293,282.0,993.0
45,Bangladesh,5913,152.0,131.0
46,Malaysia,5820,99.0,3957.0
47,Panama,5779,165.0,369.0
48,Colombia,5597,253.0,1210.0
49,South Africa,4793,90.0,1473.0
50,Egypt,4782,337.0,1236.0
51,Finland,4695,193.0,2500.0
52,Morocco,4120,162.0,695.0
53,Argentina,4003,197.0,1140.0
54,Luxembourg,3729,88.0,3123.0
55,Algeria,3517,432.0,1558.0
56,Moldova,3481,102.0,925.0
