,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/23/2020 22:00,64287,2495,16738,
1,Guangdong,China,2/23/2020 22:00,1345,6,772,
2,Zhejiang,China,2/23/2020 22:00,1205,1,765,
3,Shandong,China,2/23/2020 22:00,755,4,325,
4,Henan,China,2/23/2020 22:00,1271,19,930,
5,Anhui,China,2/23/2020 22:00,989,6,648,
6,Jiangxi,China,2/23/2020 22:00,934,1,645,
7,Hunan,China,2/23/2020 22:00,1016,4,721,
8,Heilongjiang,China,2/23/2020 22:00,480,12,224,
9,Sichuan,China,2/23/2020 22:00,527,3,263,
10,Chongqing,China,2/23/2020 22:00,575,6,335,
11,Jiangsu,China,2/23/2020 22:00,631,0,427,
12,Beijing,China,2/23/2020 22:00,399,4,198,
13,Guangxi,China,2/23/2020 22:00,251,2,107,
14,Fujian,China,2/23/2020 22:00,293,1,174,
15,Shanghai,China,2/23/2020 22:00,335,3,249,
16,Hebei,China,2/23/2020 22:00,311,6,221,
17,Shaanxi,China,2/23/2020 22:00,245,1,162,
18,Yunnan,China,2/23/2020 22:00,174,2,115,
19,Tianjin,China,2/23/2020 22:00,135,3,81,
20,Hainan,China,2/23/2020 22:00,168,5,106,
21,Hong Kong,Hong Kong,2/23/2020 22:00,74,2,12,
22,Guizhou,China,2/23/2020 22:00,146,2,102,
23,Liaoning,China,2/23/2020 22:00,121,1,73,
24,Shanxi,China,2/23/2020 22:00,132,0,88,
25,Inner Mongolia,China,2/23/2020 22:00,75,0,30,
26,Xinjiang,China,2/23/2020 22:00,76,2,28,
27,Jilin,China,2/23/2020 22:00,93,1,54,
28,Ningxia,China,2/23/2020 22:00,71,0,57,
29,Taiwan,Taiwan,2/23/2020 22:00,28,1,2,
30,Gansu,China,2/23/2020 22:00,91,2,78,
31,Macau,Macao,2/23/2020 22:00,10,0,6,
32,Qinghai,China,2/23/2020 22:00,18,0,18,
33,Tibet,China,2/23/2020 22:00,1,0,1,
34,Yokohama,Japan,2/23/2020 22:00,691,3,3,
35,,S. Korea,2/23/2020 22:00,763,7,18,
36,,Italy,2/23/2020 22:00,157,3,1,
37,,Japan,2/23/2020 22:00,146,1,23,
38,,Singapore,2/23/2020 22:00,89,0,49,
39,,Thailand,2/23/2020 22:00,35,0,15,
40,,Malaysia,2/23/2020 22:00,22,0,18,
41,,Iran,2/23/2020 22:00,43,8,0,
42,,Germany,2/23/2020 22:00,16,0,14,
43,,Vietnam,2/23/2020 22:00,16,0,15,
44,,France,2/23/2020 22:00,12,1,10,
45,,UAE,2/23/2020 22:00,13,0,3,
46,,UK,2/23/2020 22:00,13,0,8,
47,,Philippines,2/23/2020 22:00,3,1,2,
48,,India,2/23/2020 22:00,3,0,3,
49,,Russia,2/23/2020 22:00,2,0,2,
50,,Spain,2/23/2020 22:00,2,0,2,
51,Brussels,Belgium,2/23/2020 22:00,1,0,1,
52,,Cambodia,2/23/2020 22:00,1,0,1,
53,,Egypt,2/23/2020 22:00,1,0,1,
54,,Finland,2/23/2020 22:00,1,0,1,
55,,Israel,2/23/2020 22:00,2,0,0,
56,,Lebanon,2/23/2020 22:00,1,0,0,
57,,Nepal,2/23/2020 22:00,1,0,1,
58,,Sri Lanka,2/23/2020 22:00,1,0,1,
59,,Sweden,2/23/2020 22:00,1,0,0,
60,,Iraq,2/23/2020 22:00,1,0,0,
61,British Columbia,Canada,2/23/2020 22:00,6,0,0,
62,Ontario,Canada,2/23/2020 22:00,4,0,3,
63,Illinois,USA,2/23/2020 22:00,2,0,2,Chicago
64,Massachusetts,USA,2/23/2020 22:00,1,0,0,Boston
65,WA,USA,2/23/2020 22:00,1,0,1,Seattle
66,Arizona,USA,2/23/2020 22:00,1,0,0,Tempe
67,Wisconsin,USA,2/23/2020 22:00,1,0,0,Madison
68,Texas,USA,2/23/2020 22:00,1,0,0,San Antonio
69,California,USA,2/23/2020 22:00,10,0,2,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt"
70,Nebraska,USA,2/23/2020 22:00,18,0,0,
71,Victoria,Australia,2/23/2020 22:00,6,0,4,
72,New South Wales,Australia,2/23/2020 22:00,4,0,4,
73,Queensland,Australia,2/23/2020 22:00,8,0,0,
74,Western Australia,Australia,2/23/2020 22:00,1,0,0,
75,South Australia,Australia,2/23/2020 22:00,3,0,2,
