,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/20/2020 22:00,62442,2144,11788,
1,Guangdong,China,2/20/2020 22:00,1333,5,664,
2,Henan,China,2/20/2020 22:00,1267,19,717,
3,Zhejiang,China,2/20/2020 22:00,1203,1,647,
4,Hunan,China,2/20/2020 22:00,1010,4,638,
5,Anhui,China,2/20/2020 22:00,988,6,500,
6,Jiangxi,China,2/20/2020 22:00,934,1,489,
7,Jiangsu,China,2/20/2020 22:00,631,0,352,
8,Chongqing,China,2/20/2020 22:00,567,6,299,
9,Shandong,China,2/20/2020 22:00,748,4,270,
10,Sichuan,China,2/20/2020 22:00,525,3,222,
11,Heilongjiang,China,2/20/2020 22:00,479,12,141,
12,Beijing,China,2/20/2020 22:00,396,4,169,
13,Shanghai,China,2/20/2020 22:00,334,2,199,
14,Hebei,China,2/20/2020 22:00,308,5,170,
15,Fujian,China,2/20/2020 22:00,293,1,134,
16,Guangxi,China,2/20/2020 22:00,246,2,95,
17,Shaanxi,China,2/20/2020 22:00,245,1,117,
18,Yunnan,China,2/20/2020 22:00,174,2,79,
19,Hainan,China,2/20/2020 22:00,168,4,89,
20,Guizhou,China,2/20/2020 22:00,146,2,76,
21,Shanxi,China,2/20/2020 22:00,132,0,76,
22,Tianjin,China,2/20/2020 22:00,131,3,59,
23,Liaoning,China,2/20/2020 22:00,121,1,61,
24,Gansu,China,2/20/2020 22:00,91,2,71,
25,Jilin,China,2/20/2020 22:00,91,1,44,
26,Xinjiang,China,2/20/2020 22:00,76,1,22,
27,Ningxia,China,2/20/2020 22:00,71,0,44,
28,Inner Mongolia,China,2/20/2020 22:00,75,0,16,
29,Hong Kong,Hong Kong,2/20/2020 22:00,68,2,6,
30,Qinghai,China,2/20/2020 22:00,18,0,16,
31,Taiwan,Taiwan,2/20/2020 22:00,24,1,2,
32,Macau,Macao,2/20/2020 22:00,10,0,6,
33,Tibet,China,2/20/2020 22:00,1,0,1,
34,Yokohama,Japan,2/20/2020 22:00,634,2,3,
35,,Singapore,2/20/2020 22:00,85,0,37,
36,,Japan,2/20/2020 22:00,94,1,20,
37,,Thailand,2/20/2020 22:00,35,0,15,
38,,S. Korea,2/20/2020 22:00,156,1,16,
39,,Malaysia,2/20/2020 22:00,22,0,17,
40,,Germany,2/20/2020 22:00,16,0,13,
41,,Vietnam,2/20/2020 22:00,16,0,14,
42,,France,2/20/2020 22:00,12,1,7,
43,,UK,2/20/2020 22:00,9,0,8,
44,,UAE,2/20/2020 22:00,9,0,3,
45,,Italy,2/20/2020 22:00,4,0,0,
46,,Iran,2/20/2020 22:00,5,2,0,
47,,Russia,2/20/2020 22:00,2,0,2,
48,,India,2/20/2020 22:00,3,0,3,
49,,Philippines,2/20/2020 22:00,3,1,2,
50,,Spain,2/20/2020 22:00,2,0,2,
51,,Cambodia,2/20/2020 22:00,1,0,1,
52,,Finland,2/20/2020 22:00,1,0,1,
53,,Sri Lanka,2/20/2020 22:00,1,0,1,
54,,Nepal,2/20/2020 22:00,1,0,1,
55,,Sweden,2/20/2020 22:00,1,0,0,
56,,Egypt,2/20/2020 22:00,1,0,1,
57,British Columbia,Canada,2/20/2020 22:00,6,0,0,
58,Ontario,Canada,2/20/2020 22:00,3,0,1,
59,Brussels,Belgium,2/20/2020 22:00,1,0,1,
60,Illinois,USA,2/20/2020 22:00,2,0,2,Chicago
61,Massachusetts,USA,2/20/2020 22:00,1,0,0,Boston
62,WA,USA,2/20/2020 22:00,1,0,1,Seattle
63,Arizona,USA,2/20/2020 22:00,1,0,0,Tempe
64,Wisconsin,USA,2/20/2020 22:00,1,0,0,Madison
65,Texas,USA,2/20/2020 22:00,1,0,0,San Antonio
66,California,USA,2/20/2020 22:00,9,0,0,"San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt"
67,Northern Territory,Australia,2/20/2020 22:00,2,0,0,
68,Victoria,Australia,2/20/2020 22:00,4,0,4,
69,New South Wales,Australia,2/20/2020 22:00,4,0,4,
70,South Australia,Australia,2/20/2020 22:00,2,0,2,
71,Queensland,Australia,2/20/2020 22:00,5,0,0,
