,Country/Region,Confirmed,Deaths,Recovered
0,China,80894,3237,8043
1,Italy,31506,2503,28710
2,Iran,16169,988,10516
3,Spain,11826,533,13050
4,Germany,9367,26,12194
5,USA,6411,109,9003
6,France,7730,175,8268
7,S. Korea,8320,81,6789
8,Switzerland,2742,27,3067
9,UK,1950,71,2457
10,Netherlands,1705,43,1991
11,Austria,1332,4,1633
12,Norway,1471,3,1583
13,Belgium,1243,10,1441
14,Sweden,1196,8,1267
15,Denmark,977,4,1052
16,Japan,878,29,726
17,Malaysia,673,2,728
18,Canada,598,8,706
19,Diamond Princess,712,7,249
20,Portugal,448,1,636
21,Australia,455,5,547
22,Czechia,434,0,519
23,Brazil,346,1,503
24,Qatar,442,0,448
25,Israel,337,0,422
26,Greece,387,5,399
27,Ireland,292,2,359
28,Finland,322,0,349
29,Singapore,266,0,199
30,Pakistan,247,0,292
31,Poland,238,5,281
32,Slovenia,275,1,285
33,Romania,217,0,241
34,Estonia,225,0,257
35,Bahrain,241,1,159
36,Iceland,247,0,245
37,Saudi Arabia,171,0,232
38,Chile,201,0,238
39,Indonesia,172,7,197
40,Thailand,177,1,170
41,Egypt,196,6,176
42,Luxembourg,140,1,201
43,Philippines,187,14,181
44,Hong Kong,168,4,94
45,Turkey,98,1,189
46,India,143,3,152
47,Ecuador,111,2,165
48,Iraq,154,11,111
49,Russia,114,0,139
50,Peru,117,0,144
51,Kuwait,130,0,127
52,San Marino,119,11,122
53,Lebanon,124,4,125
54,South Africa,85,0,116
55,UAE,113,0,87
56,Armenia,78,0,109
57,Panama,69,1,108
58,Slovakia,97,0,105
59,Taiwan,77,1,79
60,Argentina,79,2,92
61,Mexico,82,0,89
62,Colombia,65,0,92
63,Bulgaria,81,2,90
64,Croatia,69,0,84
65,Serbia,72,0,88
66,Uruguay,50,0,79
67,Vietnam,66,0,60
68,Algeria,61,5,36
69,Latvia,60,0,70
70,Costa Rica,50,0,68
71,Brunei,56,0,68
72,Albania,55,1,57
73,Hungary,50,1,55
74,Cyprus,49,0,58
75,Faeroe Islands,47,0,57
76,Jordan,48,0,55
77,Morocco,44,2,51
78,Andorra,39,0,52
79,Belarus,36,0,46
80,Sri Lanka,44,0,48
81,Malta,38,0,46
82,Palestine,44,0,44
83,North Macedonia,31,0,42
84,Oman,33,0,26
85,Bosnia and Herzegovina,34,0,37
86,Georgia,34,0,37
87,Cambodia,33,0,36
88,Moldova,30,0,34
89,Senegal,27,0,34
90,Kazakhstan,33,0,36
91,Venezuela,33,0,36
92,Dominican Republic,21,1,32
93,Azerbaijan,34,1,27
94,Lithuania,26,0,33
95,Tunisia,27,0,28
96,Liechtenstein,19,0,28
97,Guadeloupe,18,0,27
98,Martinique,15,1,22
99,Afghanistan,22,0,21
100,Burkina Faso,15,0,19
101,New Zealand,20,0,20
102,Uzbekistan,11,0,18
103,Macao,13,0,7
104,Ukraine,14,2,14
105,Jamaica,13,0,12
106,Bangladesh,10,0,10
107,Cameroon,10,0,13
108,Maldives,13,0,13
109,Bolivia,12,0,12
110,Réunion,9,0,12
111,French Guiana,11,0,11
112,Paraguay,9,0,11
113,Rwanda,7,0,11
114,Cuba,7,0,9
115,Monaco,9,0,9
116,Ivory Coast,4,0,8
117,Honduras,8,0,9
118,Guatemala,8,1,7
119,Nigeria,3,0,7
120,Gibraltar,3,0,6
121,Guam,5,0,8
122,Montenegro,2,0,8
123,Channel Islands,6,0,7
124,DRC,3,0,7
125,Ghana,7,0,7
126,Kenya,4,0,7
127,Trinidad and Tobago,5,0,7
128,Ethiopia,6,0,6
129,Mongolia,5,0,6
130,Puerto Rico,5,0,6
131,Seychelles,4,0,6
132,Guyana,4,1,3
133,Aruba,3,0,4
134,Equatorial Guinea,1,0,4
135,Curaçao,3,0,3
136,French Polynesia,3,0,3
137,Gabon,3,0,3
138,Kyrgyzstan,0,0,3
139,Mauritius,0,0,3
140,Mayotte,3,0,3
141,St. Barth,3,0,3
142,Saint Martin,2,0,3
143,Tanzania,1,0,3
144,Sudan,1,1,1
145,Barbados,2,0,2
146,Benin,1,0,2
147,Bermuda,0,0,2
148,Greenland,1,0,2
149,Liberia,2,0,2
150,Mauritania,1,0,2
151,Namibia,2,0,2
152,New Caledonia,0,0,2
153,Saint Lucia,2,0,2
154,U.S. Virgin Islands,2,0,2
155,Zambia,0,0,2
156,Cayman Islands,1,1,0
157,Nepal,1,0,0
158,Antigua and Barbuda,1,0,1
159,Bahamas,1,0,1
160,Bhutan,1,0,1
161,CAR,1,0,1
162,Congo,1,0,1
163,Djibouti,0,0,1
164,Gambia,1,0,1
165,Guinea,1,0,1
166,Vatican City,1,0,1
167,Montserrat,0,0,1
168,St. Vincent Grenadines,1,0,1
169,Sint Maarten,0,0,1
170,Somalia,1,0,1
171,Suriname,1,0,1
172,Eswatini,1,0,1
173,Togo,1,0,1
