,Country/Region,Confirmed,Deaths,Recovered
0,China,80430,3013,52367
1,S. Korea,6088,40,135
2,Italy,3858,148,414
3,Iran,3513,108,739
4,Diamond Princess,696,6,212
5,Germany,545,0,17
6,France,423,7,12
7,Japan,364,6,43
8,Spain,282,3,3
9,USA,221,12,9
10,Switzerland,120,1,3
11,Singapore,117,0,81
12,UK,116,1,18
13,Hong Kong,105,2,37
14,Sweden,94,0,1
15,Norway,91,0,0
16,Netherlands,82,0,0
17,Australia,60,2,22
18,Kuwait,58,0,0
19,Bahrain,55,0,4
20,Malaysia,55,0,22
21,Belgium,50,0,1
22,Thailand,47,1,31
23,Canada,45,0,8
24,Taiwan,44,1,12
25,Austria,43,0,2
26,Iraq,36,3,0
27,Iceland,35,0,0
28,Greece,31,0,0
29,India,30,0,3
30,UAE,28,0,5
31,San Marino,21,1,0
32,Denmark,20,0,1
33,Algeria,17,0,0
34,Israel,17,0,2
35,Lebanon,16,0,0
36,Oman,16,0,2
37,Vietnam,16,0,16
38,Ecuador,13,0,0
39,Ireland,13,0,0
40,Czechia,12,0,0
41,Finland,12,0,1
42,Macao,10,0,9
43,Croatia,10,0,0
44,Georgia,9,0,0
45,Portugal,9,0,0
46,Brazil,8,0,0
47,Qatar,8,0,0
48,Palestine,7,0,0
49,Azerbaijan,6,0,0
50,Belarus,6,0,0
51,Mexico,6,0,1
52,Romania,6,0,1
53,Slovenia,6,0,0
54,Estonia,5,0,0
55,Pakistan,5,0,0
56,Saudi Arabia,5,0,1
57,New Zealand,4,0,0
58,Russia,4,0,2
59,Senegal,4,0,0
60,Chile,4,0,0
61,Hungary,4,0,0
62,Philippines,3,1,2
63,Egypt,3,0,1
64,Indonesia,2,0,0
65,Luxembourg,2,0,0
66,Morocco,2,0,0
67,Argentina,2,0,0
68,Bosnia and Herzegovina,2,0,0
69,Afghanistan,1,0,0
70,Andorra,1,0,0
71,Armenia,1,0,0
72,Cambodia,1,0,1
73,Dominican Republic,1,0,0
74,Jordan,1,0,0
75,Latvia,1,0,1
76,Lithuania,1,0,0
77,North Macedonia,1,0,0
78,Monaco,1,0,0
79,Nepal,1,0,1
80,Nigeria,1,0,0
81,Sri Lanka,1,0,1
82,Tunisia,1,0,0
83,Ukraine,1,0,0
84,Costa Rica,1,0,0
85,Gibraltar,1,0,0
86,Liechtenstein,1,0,0
87,Poland,1,0,0
88,South Africa,1,0,0
