,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/11/2020 23:00,33366,1068,2639,
1,Guangdong,China,2/11/2020 23:00,1219,1,241,
2,Zhejiang,China,2/11/2020 23:00,1131,0,279,
3,Henan,China,2/11/2020 23:00,1135,8,232,
4,Hunan,China,2/11/2020 23:00,946,2,263,
5,Anhui,China,2/11/2020 23:00,889,4,117,
6,Jiangxi,China,2/11/2020 23:00,844,1,152,
7,Jiangsu,China,2/11/2020 23:00,543,0,106,
8,Chongqing,China,2/11/2020 23:00,505,3,79,
9,Shandong,China,2/11/2020 23:00,497,1,80,
10,Sichuan,China,2/11/2020 23:00,436,1,87,
11,Heilongjiang,China,2/11/2020 23:00,378,8,28,
12,Beijing,China,2/11/2020 23:00,352,3,56,
13,Shanghai,China,2/11/2020 23:00,306,1,53,
14,Fujian,China,2/11/2020 23:00,272,0,46,
15,Hebei,China,2/11/2020 23:00,251,2,49,
16,Shaanxi,China,2/11/2020 23:00,225,0,36,
17,Guangxi,China,2/11/2020 23:00,222,1,31,
18,Yunnan,China,2/11/2020 23:00,154,0,21,
19,Hainan,China,2/11/2020 23:00,151,3,20,
20,Yokohama,Japan,2/11/2020 23:00,174,0,0,
21,Guizhou,China,2/11/2020 23:00,131,1,17,
22,Shanxi,China,2/11/2020 23:00,124,0,30,
23,Liaoning,China,2/11/2020 23:00,116,0,19,
24,Tianjin,China,2/11/2020 23:00,107,2,10,
25,Gansu,China,2/11/2020 23:00,86,2,24,
26,Jilin,China,2/11/2020 23:00,83,1,18,
27,Inner Mongolia,China,2/11/2020 23:00,60,0,5,
28,Xinjiang,China,2/11/2020 23:00,59,0,3,
29,Ningxia,China,2/11/2020 23:00,58,0,22,
30,Hong Kong,Hong Kong,2/11/2020 23:00,49,1,0,
31,,Singapore,2/11/2020 23:00,47,0,9,
32,,Thailand,2/11/2020 23:00,33,0,10,
33,,S. Korea,2/11/2020 23:00,28,0,4,
34,,Japan,2/11/2020 23:00,28,0,9,
35,Qinghai,China,2/11/2020 23:00,18,0,5,
36,Taiwan,Taiwan,2/11/2020 23:00,18,0,1,
37,,Malaysia,2/11/2020 23:00,18,0,3,
38,,Germany,2/11/2020 23:00,16,0,0,
39,,Vietnam,2/11/2020 23:00,15,0,6,
40,,France,2/11/2020 23:00,11,0,0,
41,Macau,Macao,2/11/2020 23:00,10,0,1,
42,,UK,2/11/2020 23:00,8,0,1,
43,,UAE,2/11/2020 23:00,8,0,1,
44,California,USA,2/11/2020 23:00,7,0,0,"San Diego, San Benito, Los Angeles, Orange, Santa Clara"
45,Queensland,Australia,2/11/2020 23:00,5,0,0,
46,New South Wales,Australia,2/11/2020 23:00,4,0,3,
47,Victoria,Australia,2/11/2020 23:00,4,0,2,
48,British Columbia,Canada,2/11/2020 23:00,4,0,0,
49,Ontario,Canada,2/11/2020 23:00,3,0,0,
50,,India,2/11/2020 23:00,3,0,0,
51,,Philippines,2/11/2020 23:00,3,1,2,
52,,Italy,2/11/2020 23:00,3,0,0,
53,,Russia,2/11/2020 23:00,2,0,0,
54,Illinois,USA,2/11/2020 23:00,2,0,2,Chicago
55,South Australia,Australia,2/11/2020 23:00,2,0,0,
56,,Spain,2/11/2020 23:00,2,0,0,
57,,Cambodia,2/11/2020 23:00,1,0,1,
58,,Finland,2/11/2020 23:00,1,0,1,
59,,Sri Lanka,2/11/2020 23:00,1,0,1,
60,Tibet,China,2/11/2020 23:00,1,0,0,
61,,Nepal,2/11/2020 23:00,1,0,0,
62,,Sweden,2/11/2020 23:00,1,0,0,
63,Massachusetts,USA,2/11/2020 23:00,1,0,0,Boston
64,WA,USA,2/11/2020 23:00,1,0,0,Seattle
65,Arizona,USA,2/11/2020 23:00,1,0,0,Tempe
66,Brussels,Belgium,2/11/2020 23:00,1,0,0,
67,WI,USA,2/11/2020 23:00,1,0,0,Madison
