,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,China,3/04/2020  22:00,67466,2902,40479
1,Guangdong,China,3/04/2020  22:00,1350,7,1159
2,Zhejiang,China,3/04/2020  22:00,1215,1,1118
3,Shandong,China,3/04/2020  22:00,758,6,576
4,Henan,China,3/04/2020  22:00,1272,22,1239
5,Anhui,China,3/04/2020  22:00,990,6,956
6,Jiangxi,China,3/04/2020  22:00,935,1,901
7,Hunan,China,3/04/2020  22:00,1018,4,933
8,Heilongjiang,China,3/04/2020  22:00,481,13,379
9,Sichuan,China,3/04/2020  22:00,539,3,418
10,Chongqing,China,3/04/2020  22:00,576,6,502
11,Jiangsu,China,3/04/2020  22:00,631,0,580
12,Beijing,China,3/04/2020  22:00,418,8,297
13,Guangxi,China,3/04/2020  22:00,252,2,214
14,Fujian,China,3/04/2020  22:00,296,1,270
15,Shanghai,China,3/04/2020  22:00,338,3,298
16,Hebei,China,3/04/2020  22:00,318,6,301
17,Shaanxi,China,3/04/2020  22:00,245,1,222
18,Yunnan,China,3/04/2020  22:00,174,2,169
19,Tianjin,China,3/04/2020  22:00,136,3,128
20,Hainan,China,3/04/2020  22:00,168,5,158
21,Guizhou,China,3/04/2020  22:00,146,2,114
22,Liaoning,China,3/04/2020  22:00,125,1,106
23,Shanxi,China,3/04/2020  22:00,133,0,124
24,Inner Mongolia,China,3/04/2020  22:00,75,1,63
25,Xinjiang,China,3/04/2020  22:00,76,3,69
26,Jilin,China,3/04/2020  22:00,93,1,86
27,Ningxia,China,3/04/2020  22:00,74,0,69
28,Gansu,China,3/04/2020  22:00,91,2,87
29,Qinghai,China,3/04/2020  22:00,18,0,18
30,Tibet,China,3/04/2020  22:00,1,0,1
31,,S. Korea,3/04/2020  22:00,5766,35,88
32,,Italy,3/04/2020  22:00,3089,107,276
33,,Iran,3/04/2020  22:00,2922,92,552
34,Yokohama,Japan,3/04/2020  22:00,706,6,212
35,,Japan,3/04/2020  22:00,331,6,43
36,,France,3/04/2020  22:00,285,4,12
37,,Germany,3/04/2020  22:00,262,0,16
38,,Spain,3/04/2020  22:00,228,2,2
39,,Singapore,3/04/2020  22:00,112,0,79
40,Hong Kong,Hong Kong,3/04/2020  22:00,105,2,43
41,,Switzerland,3/04/2020  22:00,93,0,3
42,,UK,3/04/2020  22:00,87,0,8
43,,Norway,3/04/2020  22:00,59,0,0
44,,Kuwait,3/04/2020  22:00,56,0,0
45,,Bahrain,3/04/2020  22:00,52,0,1
46,,Sweden,3/04/2020  22:00,52,0,1
47,,Malaysia,3/04/2020  22:00,50,0,22
48,,Thailand,3/04/2020  22:00,43,1,30
49,Taiwan,Taiwan,3/04/2020  22:00,42,1,12
50,,Netherlands,3/04/2020  22:00,38,0,0
51,,Iraq,3/04/2020  22:00,35,1,0
52,,Austria,3/04/2020  22:00,29,0,0
53,,India,3/04/2020  22:00,28,0,3
54,,UAE,3/04/2020  22:00,28,0,5
55,,Iceland,3/04/2020  22:00,26,0,1
56,Brussels,Belgium,3/04/2020  22:00,23,0,1
57,,Algeria,3/04/2020  22:00,17,0,0
58,,San Marino,3/04/2020  22:00,16,0,0
59,,Vietnam,3/04/2020  22:00,16,0,16
60,,Denmark,3/04/2020  22:00,15,0,0
61,,Israel,3/04/2020  22:00,15,0,1
62,,Lebanon,3/04/2020  22:00,15,0,0
63,,Oman,3/04/2020  22:00,15,0,2
64,Macau,Macao,3/04/2020  22:00,10,0,9
65,,Croatia,3/04/2020  22:00,10,0,0
66,,Ecuador,3/04/2020  22:00,10,0,0
67,,Greece,3/04/2020  22:00,9,0,0
68,,Czechia,3/04/2020  22:00,8,0,0
69,,Qatar,3/04/2020  22:00,8,0,0
70,,Finland,3/04/2020  22:00,7,0,1
71,,Belarus,3/04/2020  22:00,6,0,0
72,,Ireland,3/04/2020  22:00,6,0,0
73,,Mexico,3/04/2020  22:00,6,0,1
74,,Portugal,3/04/2020  22:00,6,0,0
75,,Romania,3/04/2020  22:00,6,0,1
76,,Pakistan,3/04/2020  22:00,5,0,0
77,,Senegal,3/04/2020  22:00,4,0,0
78,,Philippines,3/04/2020  22:00,3,1,2
79,,Azerbaijan,3/04/2020  22:00,3,0,0
80,,Brazil,3/04/2020  22:00,3,0,0
81,,Georgia,3/04/2020  22:00,3,0,0
82,,New Zealand,3/04/2020  22:00,3,0,0
83,,Russia,3/04/2020  22:00,3,0,2
84,,Chile,3/04/2020  22:00,3,0,0
85,,Egypt,3/04/2020  22:00,2,0,1
86,,Estonia,3/04/2020  22:00,2,0,0
87,,Indonesia,3/04/2020  22:00,2,0,0
88,,Saudi Arabia,3/04/2020  22:00,2,0,0
89,,Hungary,3/04/2020  22:00,2,0,0
90,,Afghanistan,3/04/2020  22:00,1,0,0
91,,Andorra,3/04/2020  22:00,1,0,0
92,,Armenia,3/04/2020  22:00,1,0,0
93,,Cambodia,3/04/2020  22:00,1,0,1
94,,Dominican Republic,3/04/2020  22:00,1,0,0
95,,Jordan,3/04/2020  22:00,1,0,0
96,,Latvia,3/04/2020  22:00,1,0,0
97,,Lithuania,3/04/2020  22:00,1,0,0
98,,Luxembourg,3/04/2020  22:00,1,0,0
99,,North Macedonia,3/04/2020  22:00,1,0,0
100,,Monaco,3/04/2020  22:00,1,0,0
101,,Morocco,3/04/2020  22:00,1,0,0
102,,Nepal,3/04/2020  22:00,1,0,1
103,,Nigeria,3/04/2020  22:00,1,0,0
104,,Sri Lanka,3/04/2020  22:00,1,0,1
105,,Tunisia,3/04/2020  22:00,1,0,0
106,,Ukraine,3/04/2020  22:00,1,0,0
107,,Argentina,3/04/2020  22:00,1,0,0
108,,Liechtenstein,3/04/2020  22:00,1,0,0
109,,Poland,3/04/2020  22:00,1,0,0
110,,Slovenia,3/04/2020  22:00,1,0,0
111,British Columbia,Canada,3/04/2020  22:00,13,0,3
112,Ontario,Canada,3/04/2020  22:00,20,0,3
113,Quebec,Canada,3/04/2020  22:00,1,0,0
114,WA,USA,3/04/2020  22:00,39,10,1
115,Oregon,USA,3/04/2020  22:00,3,0,0
116,California,USA,3/04/2020  22:00,40,1,2
117,Arizona,USA,3/04/2020  22:00,2,0,1
118,Texas,USA,3/04/2020  22:00,5,0,0
119,Florida,USA,3/04/2020  22:00,3,0,0
120,Georgia,USA,3/04/2020  22:00,2,0,0
121,North Carolina,USA,3/04/2020  22:00,1,0,0
122,New Jersey,USA,3/04/2020  22:00,1,0,0
123,New York,USA,3/04/2020  22:00,11,0,0
124,Rhode Island,USA,3/04/2020  22:00,2,0,0
125,Massachusetts,USA,3/04/2020  22:00,2,0,1
126,New Hampshire,USA,3/04/2020  22:00,2,0,0
127,Illinois,USA,3/04/2020  22:00,4,0,2
128,Wisconsin,USA,3/04/2020  22:00,1,0,0
129,From Diamond Princess cruise,USA,3/04/2020  22:00,42,0,0
130,Queensland,Australia,3/04/2020  22:00,11,0,8
131,New South Wales,Australia,3/04/2020  22:00,22,1,4
132,Victoria,Australia,3/04/2020  22:00,10,0,7
133,South Australia,Australia,3/04/2020  22:00,5,0,2
134,Western Australia,Australia,3/04/2020  22:00,2,1,0
135,Tasmania,Australia,3/04/2020  22:00,1,0,0
136,Northern Territory,Australia,3/04/2020  22:00,1,0,0
