,Country/Region,Confirmed,Deaths,Recovered
0,World,6200772,371763.0,2763928.0
1,USA,1819797,105634.0,535379.0
2,Brazil,501985,28872.0,205371.0
3,Russia,405843,4693.0,171883.0
4,Spain,286308,27125.0,196958.0
5,UK,274762,38489.0,0.0
6,Italy,232664,33340.0,155633.0
7,France,188625,28771.0,68268.0
8,India,186371,5269.0,88808.0
9,Germany,183370,8602.0,165200.0
10,Turkey,163103,4515.0,126984.0
11,Peru,155671,4371.0,66447.0
12,Iran,151466,7797.0,118848.0
13,Chile,94858,997.0,40431.0
14,Canada,90190,7073.0,48103.0
15,Mexico,87512,9779.0,61871.0
16,Saudi Arabia,85261,503.0,62442.0
17,Pakistan,69496,1483.0,25271.0
18,Belgium,58381,9467.0,15887.0
19,Qatar,56910,38.0,30290.0
20,Bangladesh,47153,650.0,9781.0
21,Netherlands,46442,5956.0,0.0
22,Belarus,42556,235.0,18514.0
23,Ecuador,38571,3334.0,19190.0
24,Sweden,37542,4395.0,4971.0
25,Singapore,34884,23.0,21699.0
26,UAE,34557,264.0,17932.0
27,Portugal,32500,1410.0,19409.0
28,South Africa,30967,643.0,16116.0
29,Switzerland,30862,1920.0,28400.0
30,Colombia,28236,890.0,7121.0
31,Kuwait,27043,212.0,11386.0
32,Indonesia,26473,1613.0,7308.0
33,Ireland,24929,1651.0,22089.0
34,Poland,23686,1064.0,11271.0
35,Ukraine,23672,708.0,9538.0
36,Egypt,23449,913.0,5693.0
37,Romania,19257,1266.0,13256.0
38,Philippines,18086,957.0,3909.0
39,Dominican Republic,17285,502.0,10559.0
40,Israel,17024,284.0,14812.0
41,Japan,16804,886.0,14406.0
42,Austria,16731,668.0,15593.0
43,Argentina,16214,530.0,5336.0
44,Afghanistan,15205,257.0,1328.0
45,Panama,13018,330.0,9414.0
46,Denmark,11669,574.0,10362.0
47,S. Korea,11468,270.0,10405.0
48,Oman,11437,47.0,2396.0
49,Serbia,11412,243.0,6698.0
50,Bahrain,11288,19.0,6673.0
51,Kazakhstan,10858,40.0,5404.0
52,Nigeria,9855,273.0,2856.0
53,Bolivia,9592,310.0,889.0
54,Armenia,9282,131.0,3386.0
55,Algeria,9267,646.0,5549.0
56,Czechia,9233,319.0,6546.0
57,Norway,8440,236.0,7727.0
58,Moldova,8251,295.0,4581.0
59,Ghana,7881,36.0,2841.0
60,Malaysia,7819,115.0,6353.0
61,Morocco,7783,204.0,5412.0
62,Australia,7195,103.0,6614.0
63,Finland,6859,320.0,5500.0
64,Iraq,6439,205.0,3156.0
65,Cameroon,5904,191.0,3568.0
66,Azerbaijan,5494,63.0,3428.0
67,Honduras,5094,201.0,536.0
68,Sudan,4800,262.0,1272.0
69,Guatemala,4739,102.0,706.0
70,Luxembourg,4016,110.0,3815.0
71,Tajikistan,3930,47.0,2004.0
72,Hungary,3876,526.0,2147.0
73,Guinea,3706,23.0,2030.0
74,Senegal,3645,42.0,1801.0
75,Uzbekistan,3583,15.0,2837.0
76,Djibouti,3194,22.0,1286.0
77,Thailand,3081,57.0,2963.0
78,DRC,3070,72.0,448.0
79,Greece,2917,175.0,1374.0
80,Ivory Coast,2799,33.0,1385.0
81,Gabon,2655,17.0,722.0
82,El Salvador,2517,46.0,1040.0
83,Bulgaria,2513,140.0,1074.0
84,Bosnia and Herzegovina,2510,153.0,1862.0
85,Croatia,2246,103.0,2072.0
86,North Macedonia,2226,133.0,1552.0
87,Cuba,2025,83.0,1795.0
88,Somalia,1976,78.0,348.0
89,Kenya,1962,64.0,478.0
90,Estonia,1869,68.0,1624.0
91,Haiti,1865,41.0,24.0
92,Iceland,1806,10.0,1794.0
93,Kyrgyzstan,1748,16.0,1170.0
94,Mayotte,1699,21.0,1385.0
95,Lithuania,1675,70.0,1236.0
96,Maldives,1672,5.0,406.0
97,Sri Lanka,1630,10.0,801.0
98,Nepal,1567,8.0,220.0
99,Slovakia,1521,28.0,1366.0
100,New Zealand,1504,22.0,1481.0
101,Slovenia,1473,108.0,1358.0
102,Venezuela,1459,14.0,302.0
103,Equatorial Guinea,1306,12.0,200.0
104,Guinea-Bissau,1256,8.0,42.0
105,Mali,1250,76.0,696.0
106,Lebanon,1220,27.0,712.0
107,Ethiopia,1172,11.0,209.0
108,Albania,1136,33.0,872.0
109,Hong Kong,1085,4.0,1037.0
110,Tunisia,1077,48.0,960.0
111,Latvia,1066,24.0,745.0
112,Zambia,1057,7.0,779.0
113,Costa Rica,1047,10.0,658.0
114,South Sudan,994,10.0,6.0
115,Paraguay,964,11.0,466.0
116,CAR,962,1.0,23.0
117,Niger,956,64.0,818.0
118,Cyprus,943,17.0,790.0
119,Sierra Leone,852,46.0,415.0
120,Burkina Faso,847,53.0,720.0
121,Uruguay,821,22.0,682.0
122,Georgia,783,12.0,605.0
123,Madagascar,771,6.0,168.0
124,Andorra,764,51.0,692.0
125,Chad,759,65.0,470.0
126,Nicaragua,759,35.0,370.0
127,Jordan,734,9.0,507.0
128,Diamond Princess,712,13.0,651.0
129,San Marino,671,42.0,357.0
130,Malta,618,9.0,534.0
131,Jamaica,581,9.0,290.0
132,Congo,571,19.0,161.0
133,Channel Islands,560,45.0,525.0
134,Tanzania,509,21.0,183.0
135,Mauritania,483,20.0,21.0
136,Sao Tome and Principe,479,12.0,68.0
137,French Guiana,477,1.0,185.0
138,Réunion,471,1.0,411.0
139,Palestine,448,3.0,368.0
140,Taiwan,442,7.0,423.0
141,Togo,433,13.0,206.0
142,Cabo Verde,421,4.0,167.0
143,Uganda,413,0.0,72.0
144,Rwanda,359,1.0,250.0
145,Isle of Man,336,24.0,309.0
146,Mauritius,335,10.0,322.0
147,Vietnam,328,0.0,279.0
148,Montenegro,324,9.0,315.0
149,Yemen,310,77.0,13.0
150,Liberia,288,27.0,157.0
151,Eswatini,283,2.0,168.0
152,Malawi,279,4.0,42.0
153,Mozambique,254,2.0,91.0
154,Benin,232,3.0,143.0
155,Myanmar,224,6.0,130.0
156,Martinique,200,14.0,98.0
157,Faeroe Islands,187,0.0,187.0
158,Mongolia,179,0.0,44.0
159,Zimbabwe,174,4.0,29.0
160,Gibraltar,170,0.0,149.0
161,Guadeloupe,162,14.0,138.0
162,Guyana,152,12.0,67.0
163,Brunei,141,2.0,138.0
164,Cayman Islands,141,1.0,68.0
165,Bermuda,140,9.0,92.0
166,Libya,130,5.0,50.0
167,Cambodia,125,0.0,123.0
168,Syria,122,4.0,43.0
169,Trinidad and Tobago,117,8.0,108.0
170,Comoros,106,2.0,26.0
171,Bahamas,102,11.0,48.0
172,Aruba,101,3.0,98.0
173,Monaco,99,4.0,90.0
174,Barbados,92,7.0,76.0
175,Angola,84,4.0,18.0
176,Liechtenstein,82,1.0,55.0
177,Sint Maarten,77,15.0,60.0
178,Burundi,63,1.0,33.0
179,French Polynesia,60,0.0,60.0
180,Macao,45,0.0,45.0
181,Bhutan,43,0.0,6.0
182,Saint Martin,41,3.0,33.0
183,Eritrea,39,0.0,39.0
184,Botswana,35,1.0,20.0
185,St. Vincent Grenadines,26,0.0,15.0
186,Antigua and Barbuda,25,3.0,19.0
187,Gambia,25,1.0,20.0
188,Namibia,24,0.0,14.0
189,Timor-Leste,24,0.0,24.0
190,Grenada,23,0.0,18.0
191,Curaçao,19,1.0,14.0
192,Laos,19,0.0,16.0
193,New Caledonia,19,0.0,18.0
194,Belize,18,2.0,16.0
195,Fiji,18,0.0,15.0
196,Saint Lucia,18,0.0,18.0
197,Dominica,16,0.0,16.0
198,Saint Kitts and Nevis,15,0.0,15.0
199,Suriname,14,1.0,9.0
200,Falkland Islands,13,0.0,13.0
201,Greenland,13,0.0,11.0
202,Turks and Caicos,12,1.0,11.0
203,Vatican City,12,0.0,2.0
204,Montserrat,11,1.0,10.0
205,Seychelles,11,0.0,11.0
206,MS Zaandam,9,2.0,0.0
207,Western Sahara,9,1.0,6.0
208,British Virgin Islands,8,1.0,7.0
209,Papua New Guinea,8,0.0,8.0
210,Caribbean Netherlands,6,0.0,6.0
211,St. Barth,6,0.0,6.0
212,Anguilla,3,0.0,3.0
213,Lesotho,2,0.0,1.0
214,Saint Pierre Miquelon,1,0.0,1.0
215,China,83001,4634.0,78304.0
