,Country/Region,Confirmed,Deaths,Recovered
0,World,3563689,248146.0,1153847.0
1,China,82877,4633.0,77713.0
2,USA,1188122,68598.0,178263.0
3,Spain,247122,25264.0,148558.0
4,Italy,210717,28884.0,81654.0
5,UK,186599,28446.0,0.0
6,France,168693,24895.0,50784.0
7,Germany,165664,6866.0,130600.0
8,Russia,134687,1280.0,16639.0
9,Turkey,126045,3397.0,63151.0
10,Brazil,101147,7025.0,42991.0
11,Iran,97424,6203.0,78422.0
12,Canada,59474,3682.0,24908.0
13,Belgium,49906,7844.0,12309.0
14,Peru,45928,1286.0,13550.0
15,India,42505,1391.0,11775.0
16,Netherlands,40571,5056.0,0.0
17,Switzerland,29905,1762.0,24500.0
18,Ecuador,29538,1564.0,3300.0
19,Saudi Arabia,27011,184.0,4134.0
20,Portugal,25282,1043.0,1689.0
21,Sweden,22317,2679.0,1005.0
22,Mexico,22088,2061.0,13447.0
23,Ireland,21506,1303.0,13386.0
24,Pakistan,20084,457.0,5114.0
25,Chile,19663,260.0,10041.0
26,Singapore,18205,18.0,1408.0
27,Belarus,16705,99.0,3196.0
28,Israel,16208,232.0,9749.0
29,Austria,15597,598.0,13228.0
30,Qatar,15551,12.0,1664.0
31,Japan,14877,487.0,3981.0
32,UAE,14163,126.0,2763.0
33,Poland,13693,678.0,3945.0
34,Romania,13163,790.0,4869.0
35,Ukraine,11913,288.0,1548.0
36,Indonesia,11192,845.0,1876.0
37,S. Korea,10793,250.0,9183.0
38,Denmark,9523,484.0,6987.0
39,Serbia,9464,193.0,1551.0
40,Bangladesh,9455,177.0,1063.0
41,Philippines,9223,607.0,1214.0
42,Dominican Republic,7954,333.0,1606.0
43,Norway,7847,211.0,32.0
44,Czechia,7781,248.0,3587.0
45,Colombia,7668,340.0,1722.0
46,Panama,7090,197.0,641.0
47,Australia,6801,95.0,5817.0
48,South Africa,6783,131.0,2549.0
49,Egypt,6465,429.0,1562.0
50,Malaysia,6298,105.0,4413.0
51,Finland,5254,230.0,3000.0
52,Kuwait,4983,38.0,1776.0
53,Morocco,4903,174.0,1438.0
54,Argentina,4783,246.0,1354.0
55,Algeria,4474,463.0,1936.0
56,Moldova,4121,125.0,1382.0
57,Kazakhstan,3920,27.0,1084.0
58,Luxembourg,3824,96.0,3379.0
