,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
0,Hubei,China,1/22/2020 00:00,444.0,17.0,,
1,Guangdong,China,1/22/2020 00:00,26.0,0.0,,1.0
2,Beijing,China,1/22/2020 00:00,14.0,0.0,,
3,Zhejiang,China,1/22/2020 00:00,10.0,0.0,,
4,Shanghai,China,1/22/2020 00:00,9.0,0.0,,10.0
5,Chongqing,China,1/22/2020 00:00,6.0,0.0,,
6,Henan,China,1/22/2020 00:00,5.0,0.0,,
7,Sichuan,China,1/22/2020 00:00,5.0,0.0,,2.0
8,Hainan,China,1/22/2020 00:00,4.0,0.0,,
9,Hunan,China,1/22/2020 00:00,4.0,0.0,,
10,Tianjin,China,1/22/2020 00:00,4.0,0.0,,
11,Guangxi,China,1/22/2020 00:00,2.0,0.0,,1.0
12,Jiangxi,China,1/22/2020 00:00,2.0,0.0,,
13,Liaoning,China,1/22/2020 00:00,2.0,0.0,,
14,Shandong,China,1/22/2020 00:00,2.0,0.0,,
15,,Japan,1/22/2020 00:00,2.0,0.0,,
16,,Thailand,1/22/2020 00:00,2.0,0.0,,
17,Anhui,China,1/22/2020 00:00,1.0,0.0,,4.0
18,Fujian,China,1/22/2020 00:00,1.0,0.0,,
19,Guizhou,China,1/22/2020 00:00,1.0,0.0,,
20,Hebei,China,1/22/2020 00:00,1.0,0.0,,
21,Jiangsu,China,1/22/2020 00:00,1.0,0.0,,
22,Macau,China,1/22/2020 00:00,1.0,0.0,,
23,Ningxia,China,1/22/2020 00:00,1.0,0.0,,
24,Shanxi,China,1/22/2020 00:00,1.0,0.0,,
25,Taiwan,China,1/22/2020 00:00,1.0,0.0,,
26,WA,USA,1/22/2020 00:00,1.0,0.0,,
27,Yunnan,China,1/22/2020 00:00,1.0,0.0,,
28,,S. Korea,1/22/2020 00:00,1.0,0.0,,
29,Gansu,China,1/22/2020 00:00,0.0,0.0,,
30,Heilongjiang,China,1/22/2020 00:00,0.0,0.0,,1.0
31,Inner Mongolia,China,1/22/2020 00:00,0.0,0.0,,
32,Jilin,China,1/22/2020 00:00,0.0,0.0,,1.0
33,Qinghai,China,1/22/2020 00:00,0.0,0.0,,
34,Shaanxi,China,1/22/2020 00:00,0.0,0.0,,
35,Tibet,China,1/22/2020 00:00,0.0,0.0,,
36,Xinjiang,China,1/22/2020 00:00,0.0,0.0,,
37,Hong Kong,China,1/22/2020 00:00,,,,117.0
