,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/03/2020 20:00,13522,414,396,
1,Guangdong,China,2/03/2020 20:00,725,0,21,
2,Zhejiang,China,2/03/2020 20:00,724,0,43,
3,Henan,China,2/03/2020 20:00,675,2,16,
4,Hunan,China,2/03/2020 20:00,521,0,22,
5,Anhui,China,2/03/2020 20:00,480,0,14,
6,Jiangxi,China,2/03/2020 20:00,391,0,18,
7,Chongqing,China,2/03/2020 20:00,337,2,9,
8,Jiangsu,China,2/03/2020 20:00,308,0,8,
9,Shandong,China,2/03/2020 20:00,270,0,7,
10,Sichuan,China,2/03/2020 20:00,254,1,14,
11,Beijing,China,2/03/2020 20:00,212,1,12,
12,Shanghai,China,2/03/2020 20:00,208,1,10,
13,Fujian,China,2/03/2020 20:00,179,0,1,
14,Shaanxi,China,2/03/2020 20:00,128,0,0,
15,Guangxi,China,2/03/2020 20:00,139,0,7,
16,Heilongjiang,China,2/03/2020 20:00,155,2,2,
17,Yunnan,China,2/03/2020 20:00,117,0,5,
18,Hebei,China,2/03/2020 20:00,126,1,3,
19,Liaoning,China,2/03/2020 20:00,74,0,1,
20,Shanxi,China,2/03/2020 20:00,74,0,2,
21,Hainan,China,2/03/2020 20:00,79,1,4,
22,Tianjin,China,2/03/2020 20:00,60,0,1,
23,Gansu,China,2/03/2020 20:00,55,0,3,
24,Guizhou,China,2/03/2020 20:00,56,0,2,
25,Inner Mongolia,China,2/03/2020 20:00,34,0,1,
26,Ningxia,China,2/03/2020 20:00,31,0,1,
27,Jilin,China,2/03/2020 20:00,42,0,1,
28,Xinjiang,China,2/03/2020 20:00,24,0,0,
29,,Japan,2/03/2020 20:00,20,0,1,
30,,Thailand,2/03/2020 20:00,19,0,7,
31,,Singapore,2/03/2020 20:00,18,0,0,
32,,S. Korea,2/03/2020 20:00,15,0,0,
33,Hong Kong,Hong Kong,2/03/2020 20:00,15,0,0,
34,Qinghai,China,2/03/2020 20:00,13,0,0,
35,,Germany,2/03/2020 20:00,12,0,0,
36,Taiwan,Taiwan,2/03/2020 20:00,10,0,0,
37,,Malaysia,2/03/2020 20:00,8,0,0,
38,Macau,Macao,2/03/2020 20:00,8,0,0,
39,,Vietnam,2/03/2020 20:00,8,0,1,
40,,France,2/03/2020 20:00,6,0,0,
41,,UAE,2/03/2020 20:00,5,0,0,
42,New South Wales,Australia,2/03/2020 20:00,4,0,3,
43,Victoria,Australia,2/03/2020 20:00,4,0,0,
44,California,USA,2/03/2020 20:00,4,0,0,"Los Angeles, Orange, Santa Clara"
45,Queensland,Australia,2/03/2020 20:00,2,0,0,
46,Ontario,Canada,2/03/2020 20:00,3,0,0,
47,,India,2/03/2020 20:00,3,0,0,
48,,Italy,2/03/2020 20:00,2,0,0,
49,,Philippines,2/03/2020 20:00,2,1,0,
50,,Russia,2/03/2020 20:00,2,0,0,
51,,UK,2/03/2020 20:00,2,0,0,
52,Illinois,USA,2/03/2020 20:00,2,0,0,Chicago
53,South Australia,Australia,2/03/2020 20:00,2,0,0,
54,,Cambodia,2/03/2020 20:00,1,0,0,
55,British Columbia,Canada,2/03/2020 20:00,1,0,0,
56,,Finland,2/03/2020 20:00,1,0,0,
57,Tibet,China,2/03/2020 20:00,1,0,0,
58,,Nepal,2/03/2020 20:00,1,0,0,
59,,Spain,2/03/2020 20:00,1,0,0,
60,,Sri Lanka,2/03/2020 20:00,1,0,1,
61,,Sweden,2/03/2020 20:00,1,0,0,
62,Massachusetts,USA,2/03/2020 20:00,1,0,0,Boston
63,WA,USA,2/03/2020 20:00,1,0,0,Seattle
64,Arizona,USA,2/03/2020 20:00,1,0,0,Tempe
